rank,front,variants,pos_codes,source
1,يف,صاهِّترولامجرةدنم | يف[ | ش | لا | ةَّ | ي | لك | تاعيون | ت | ةلم | ج | ،ةطوبضميه | تاج | رخ | م | يف | للخ | عوقو | نم | اً | ب | س | ماقديحوتب | تاعيونت؛ةملكلاامك | مسقاملاكل | راركتلا | ةملكلا,P\PRE,Al-Said 2023 Table 4
2,نأ,نأ,P\PO,Al-Said 2023 Table 4
3,من,ِّمن | من,P\PRE | N\RP,Al-Said 2023 Table 4
4,ة,تاملكلالاشةعئايفلالةغةَّيبرعلالام | دلاُةسارِّاميفيتأيَةمئاقتاملكلا | س،اًّيبو | ودةنل[،اًّيوغاحو | تاجملاعةجلام | ضمىلع:بيترَّتلا | ر(ةبت | لوقحت | ت | ا | د | نع | لاعفلأا | ىلع | ءامسلأا | ةَّ | ي | قبسأب | راركَّتلاوناروَّدلا[يفلام | ود،]ةن | وئملا | نلاوةبس | لزانم،]ةَّيرشع | .)]ةَّيرشع | م | ةملك | ةح | رَ | ق | لا | ة | مئاقلا,,Al-Said 2023 Table 4
5,عىل,عىل | لا,P\PRE | P\PO,Al-Said 2023 Table 4
6,ىلإ,ىلإ,P\PRE,Al-Said 2023 Table 4
7,هاذ,هاذ,N\DE,Al-Said 2023 Table 4
8,ناك,َناك,V\VP,Al-Said 2023 Table 4
9,نإ,نإ,P\PO,Al-Said 2023 Table 4
10,ام,ام,N\RP,Al-Said 2023 Table 4
11,له,له,P\PRE,Al-Said 2023 Table 4
12,انأ,انأ,PRO,Al-Said 2023 Table 4
13,عن,عن,P\PRE,Al-Said 2023 Table 4
14,ذكل,َذَكل,N\DE,Al-Said 2023 Table 4
15,مع,مع,ADV,Al-Said 2023 Table 4
16,به,به,P\PRE,Al-Said 2023 Table 4
17,يكنو,َيُكنو,V\VI,Al-Said 2023 Table 4
18,لم,َلم,P\PO,Al-Said 2023 Table 4
19,أنت,أنَت | ت | أن,PRO,Al-Said 2023 Table 4
20,هل,هل,P\QU,Al-Said 2023 Table 4
21,لايت,َّلايت,N\RP,Al-Said 2023 Table 4
22,لي,َلي | س,V\VP,Al-Said 2023 Table 4
23,لكن,َلكن | كَلنِّ,P\PO,Al-Said 2023 Table 4
24,كل,ُكل,N\CN | V\VR,Al-Said 2023 Table 4
25,هذه,هذه,N\DE,Al-Said 2023 Table 4
26,اي,اي,P\PO,Al-Said 2023 Table 4
27,لايذ,َّلايذ,N\RP,Al-Said 2023 Table 4
28,هو,هو,PRO,Al-Said 2023 Table 4
29,لقد,َلَقد,P\PO,Al-Said 2023 Table 4
30,شيء,شيء,N\CN,Al-Said 2023 Table 4
31,اذام,اذام,P\QU,Al-Said 2023 Table 4
32,حنسا,حًنسا,N\CN,Al-Said 2023 Table 4
33,يدير,ُيدير,V\VI,Al-Said 2023 Table 4
34,هان,ُهان,ADV,Al-Said 2023 Table 4
35,لاق,َلاق,V\VP,Al-Said 2023 Table 4
36,يمكن,ُيمكن,V\VI,Al-Said 2023 Table 4
37,بعد,َبعد,ADV,Al-Said 2023 Table 4
38,بعد,ُبعد | يأ | أي,N\CN | P\PO,Al-Said 2023 Table 4
39,يعرف,َيعرف | َعُيرف,V\VI,Al-Said 2023 Table 4
40,هكان,ُهكان,ADV,Al-Said 2023 Table 4
41,لىد,َلىد,ADV,Al-Said 2023 Table 4
42,نلآا,َنلآا,ADV,Al-Said 2023 Table 4
43,وأ,وأ,P\CO,Al-Said 2023 Table 4
44,اذإ,اذإ,ADV,Al-Said 2023 Table 4
45,نعم,َنَعم,P\PO,Al-Said 2023 Table 4
46,رسيئ,رسيئ,N\CN,Al-Said 2023 Table 4
47,ماع,ماع,N\CN | ADJ,Al-Said 2023 Table 4
48,هي,هي,PRO,Al-Said 2023 Table 4
49,يوم,َيوم,N\CN,Al-Said 2023 Table 4
