rank,source_front,front,paper_pos,camel_pos,camel_roots,camel_glosses,repair_method,confidence,note
1,في,في,P\PRE,prep,,in,exact,high,
2,أن,أن,P\PO,conj_sub,,that,exact,high,
3,من,من,P\PRE | N\RP,prep,,from,exact,high,
4,على,على,P\PRE,prep,,on;above,exact,high,
5,لا,لا,P\PO,part_neg,,no;not,exact,high,
6,إلى,إلى,P\PRE,prep,,to;towards,exact,high,
7,هذا,هذا,N\DE,pron_dem,,this,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
8,كان,كان,V\VP,verb,,was;were+he;it <verb>,exact,high,
9,إن,إن,P\PO,abbrev | verb_pseudo,,N. | and;so+that;indeed,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
10,ما,ما,N\RP,pron_rel | conj_sub | part_neg | pron_interrog,,what | while;during which | and;so+not | with what,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
11,له,له,P\PRE,prep,,to;for + it;him (it;he has),exact,high,
12,أنا,أنا,PRO,pron,,I,exact,high,
13,عن,عن,P\PRE,prep,,from;about,exact,high,
14,ذلك,ملك,N\DE,noun,م ل ك,the+king+[def.nom.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
15,مع,معا,ADV,adv,,together,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
16,به,به,P\PRE,prep,,with;by + it;them;her,exact,high,
17,يكون,يكون,V\VI,verb,,was;were+he;it <verb>,exact,high,
18,لم,لم,P\PO,part_neg,,not,exact,high,
19,أنت,أنت,PRO,pron,,you [masc.sg.],exact,high,
20,هل,هل,P\QU,part_interrog,,does;do?;did?;is;are?,exact,high,
21,التي,التي,N\RP,pron_rel,,which;who;whom [fem.sg.],exact,unresolved,Multiple equally plausible same-POS MSA repairs.
22,ليس,ليس,V\VP,verb,,be valiant+he;it <verb>,exact,high,
23,لكن,لكن,P\PO,conj,,however,exact,high,
24,كل,كل,N\CN | V\VR,noun,ك ل ل,every;all+[def.gen.],exact,high,
25,هذه,هذه,N\DE,pron_dem,,this,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
26,يا,يا,P\PO,part_voc,,oh;you,exact,high,
27,الذي,الذي,N\RP,pron_rel,,which;who;whom [fem.sg.],exact,unresolved,Multiple equally plausible same-POS MSA repairs.
28,هو,هو,PRO,pron,,it;he,exact,high,
29,لقد,لقد,P\PO,part_verb,,(has;have),exact,high,
30,شيء,شيء,N\CN,noun,,something,exact,high,
31,ماذا,ماذا,P\QU,pron_interrog,,what,exact,high,
32,حسنا,حسنا,N\CN,noun,ح س ن,good,exact,high,
33,يريد,يريد,V\VI,verb,,he;it+want;desire;intend,exact,high,
34,هنا,هنا,ADV,adv,,here,exact,high,
35,قال,قال,V\VP,verb,,said+he;it <verb>,exact,high,
36,يمكن,يمكن,V\VI,verb,م ك ن,he;it+be possible;make possible for,exact,high,
37,بعد,بعد,ADV,noun | verb,ب ع د,dimension;distance+[def.acc.] | it;they;she+be distant,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
38,أي,أي,P\PO | N\CN,pron_interrog | noun_quant,,which | any,exact,high,
39,يعرف,يعرف,V\VI,verb,ع ر ف,it;they;she+know,exact,high,
40,هناك,هناك,ADV,adv,,there;there (is;are),exact,high,
41,لدى,لدى,ADV,noun,,with;by,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
42,اآلن,الآن,ADV,noun,,the+time;moment+[def.acc.],source_override,unresolved,No sufficiently close same-POS MSA validation candidate.
43,أو,أو,P\CO,conj,,or,exact,high,
44,إذا,إذا,ADV,conj,,if;whether,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
45,عم,نعم,P\PO,interj | verb | noun,ن ع م,yes | he;it+live in comfort;be delighted;enjoy | by;with+wonderful+[indef.gen.],source_override,unresolved,No sufficiently close same-POS MSA validation candidate.
46,رئيس,رئيس,N\CN,noun,,president;head;chairman+[def.nom.],exact,high,
47,عام,عام,N\CN | ADJ,adj | noun,ع م م,the+general;common;public+[def.gen.] | year+[def.acc.],exact,high,
48,هي,هي,PRO,pron,,it;they;she,exact,high,
49,يوم,يوم,N\CN,noun,,the+day+[def.acc.],exact,high,
50,سيد,سيد,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
51,بين,بين,ADV | V\VP,verb,,I+declare;demonstrate,exact,high,
52,قد,قد,P\PO,part_verb,,(has;have),exact,high,
53,بعض,بعض,N\CN,noun,ع ض ض,by;with+biting+[def.gen.],exact,high,
54,فقط,فقط,KH,adv,ف ق ط,only,exact,high,
55,لن,لن,P\PO,part_neg,,(will) not,exact,high,
56,حتى,حتى,P\PRE,prep,,until;up to,exact,high,
57,أمر,أمر,N\CN | V\VP,noun | verb,,the+matter;issue+[def.nom.] | and+command;order;prescribe+he;it <verb>,exact,high,
58,عمل,عمل,N\CN | V\VP,noun | verb,ع م ل,the+work;action+[def.gen.] | it;they;she+work;function;act,exact,high,
59,يجب,يجب,V\VI,verb,,he;it+be necessary;be incumbent,exact,high,
60,أحد,أحد,N\CN,noun,,one;someone+[def.nom.],exact,high,
61,وقت,وقت,N\CN,noun,,the+time;moment;period of time+[def.gen.],exact,high,
62,أجل,أجل,P\PO,noun | verb,,for sake of;because of+[def.gen.] | postpone;delay+it;they;she <verb>,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
63,قبل,قبل,V\VP,verb,ق ب ل,it;they;she+accept;receive;approve,exact,high,
64,خالل,خالل,ADV,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
65,نفس,نفس,N\CN,noun,ن ف س,soul+its;his,exact,high,
66,يفعل,يفعل,V\VI,verb,ف ع ل,he;it+do;act,exact,high,
67,يعتقد,يعقد,V\VI,verb,ع ق د,be held;be convened;be concluded+it;they;she <verb>,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
68,يستطيع,يتطلع,V\VI,verb,ط ل ع,he;it+aspire;look (forward) to,fuzzy_repair,medium,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 2).
69,كما,كما,P\PO,conj,,and;as;also,exact,high,
70,رجل,رجل,N\CN,noun,ر ج ل,the+man+[def.acc.],exact,high,
71,عندما,عندما,ADV,noun,ع ن د,with;at,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
72,كيف,كي,P\QU,conj,,in order to,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
73,حن,نحن,PRO,pron,,we,source_override,high,Official Table 4 text resolves PDF extraction artifact.
74,أول,أول,N\CNU,adj,,the+first+[def.gen.],exact,unresolved,Multiple equally plausible same-POS MSA repairs.
75,جيد,جيد,ADJ,adj,,good+[acc.indef.],exact,high,
76,يقول,يقول,V\VI,verb,,said+he;it <verb>,exact,high,
77,يرى,يرى,V\VI,verb,,he;it+kindle;light,exact,high,
78,غير,غير,P\EX | V\VP,verb,,it;they;she+change;modify,exact,high,
79,واحد,واحد,N\CNU,noun,,one+[indef.gen.],exact,high,
80,جديد,جديد,ADJ,adj,ج د د,new;modern+[fem.sg.],exact,high,
81,أكثر,أثر,N\CN,noun,,effects;traces+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
82,مثل,مثل,N\CN,noun,م ث ل,same;like+[def.acc.],exact,high,
83,جدا,جدا,N\CN,noun,ج د د,seriousness;earnestness+[acc.indef.],exact,high,
84,آخر,آخر,N\CN,noun,,end;last+[def.acc.],exact,high,
85,سوف,سوف,P\PO,part_fut,,will;shall,exact,high,
86,كبير,كبير,ADJ,adj,ك ب ر,large;great;important+[fem.sg.],exact,high,
87,فريق,فريق,N\CN,noun,ف ر ق,team;band+[def.gen.],exact,high,
88,كثير,كبير,ADJ,adj,ك ب ر,large;great;important+[fem.sg.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
89,أياض,أياض,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
90,تلك,ملك,N\DE,noun,م ل ك,the+king+[def.nom.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
91,مجلس,مجلس,N\CN,noun,ج ل س,council;board;Majlis+[def.gen.],exact,high,
92,لماذا,ماذا,P\QU,pron_interrog,,what,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
93,أم,أم,P\PO | N\CN,conj | noun,,or | the+mother;maternal+[def.nom.],exact,high,
94,فعل,فعل,V\VP,verb,ف ع ل,he;it+do;act,exact,high,
95,عدد,عدد,N\CN,noun,ع د د,number;quantity;issue+[indef.gen.],exact,high,
96,يذهب,يذهب,V\VI,verb,ذ ه ب,take (with)+he;it <verb>,exact,high,
97,أخرى,أخرى,ADJ,adj,,other;another,exact,high,
98,كذلك,كذلك,N\DE,pron_dem,,that,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
99,شخص,شخص,N\CN,noun,ش خ ص,individual;person+[indef.gen.],exact,high,
100,مرة,مرة,N\CN,noun,م ر ر,once;one time+[fem.sg.],exact,high,
101,أمس,أمس,ADV,noun | adj,م س س,yesterday | by;with+urgent+[def.gen.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
102,حيث,حين,ADV,adv,,sometimes;occasionally+[acc.indef.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
103,حياة,حياة,N\CN,noun,,the+life+[fem.sg.],exact,high,
104,منذ,منذ,ADV,conj,,since;ago,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
105,ربما,ربما,P\PO,adv,ر ب ب,perhaps;maybe,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
106,أين,أن,P\QU,conj_sub,,that,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
107,جميع,جميع,N\CN,noun,ج م ع,all of;every one of+[def.gen.],exact,high,
108,مكان,مكان,N\CN,noun,,place;location;position+[indef.gen.],exact,high,
109,هيا,هنا,KH,adv,,here,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
110,لو,لو,P\PO,conj,,if,exact,high,
111,يبدو,يبدو,V\VI,verb,,start;begin+it;they;she <verb>,exact,high,
112,شكرا,شكرا,N\CN,noun,ش ك ر,thankfulness;thanks+[acc.indef.],exact,high,
113,سبب,سبب,N\CN | V\VP,noun | verb,س ب ب,by;with+reason;cause+[def.gen.] | he;it+cause;produce;provoke,exact,high,
114,ابن,ابن,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
115,عند,عند,ADV,noun,ع ن د,with;at,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
116,أفضل,فضل,N\CN,noun,ف ض ل,distinction;quality+[acc.indef.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
117,تم,تم,V\VP,verb,ت م م,conclude;take place+he;it <verb>,exact,high,
118,دولة,دولة,N\CN,noun,,the+state;country+[fem.sg.],exact,high,
119,يعلم,يعلم,V\VI,verb,ع ل م,be known;be found out+he;it <verb>,exact,high,
120,عالم,عالم,N\CN,noun,ع ل م,the+world+[def.gen.],exact,high,
121,ماضي,ماضي,ADJ,adj,,the+past;bygone,exact,high,
122,أب,أب,N\CN,noun,,the+father,exact,high,
123,دون,دون,ADV | V\VP,noun,,inferior;poor+[def.gen.],exact,unresolved,Multiple equally plausible same-POS MSA repairs.
124,يحب,يحب,V\VI,verb,ح ب ب,he;it+love;like,exact,high,
125,يعني,يعني,V\VI,verb,,he;it+mean;signify;concern,exact,high,
126,يقوم,يقوم,V\VI,verb,,it;they;she+undertake;carry out,exact,high,
127,مرحبا,مرحبا,N\CN,adv,ر ح ب,welcome!;hello!+[acc.indef.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
128,يعمل,يعمل,V\VI,verb,ع م ل,it;they;she+work;function;act,exact,high,
129,خير,خير,N\CN,noun,,better;best+[indef.gen.],exact,high,
130,خاصة,خاصة,ADJ,adj,خ ص ص,the+special;specific+[fem.sg.],exact,high,
131,أمام,أمام,ADV,noun,,front;forward+[def.acc.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
132,شركة,شركة,N\CN,noun,ش ر ك,company;corporation+[fem.sg.],exact,high,
133,حول,حول,ADV | V\VP,verb,,change;convert;switch+he;it <verb> you,exact,high,
134,أخبر,أخبر,V\VP | V\VR,verb,خ ب ر,notify;communicate+he;it <verb> us,exact,high,
135,طريق,طريق,N\CN,noun,ط ر ق,road;way+[def.gen.],exact,high,
136,إال,إلا,P\EX,part,,however;except,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
137,حال,حال,N\CN,noun,,situation;condition;case+[def.gen.],exact,high,
138,نسبة,نسبة,N\CN,noun,ن س ب,with;by + the+link;relation+[fem.sg.],exact,high,
