rank,front,lemma_undiac,pos,root,english_gloss,frequency,surface_types,top_surfaces
1,فِي,في,prep,,in,304402736,20,في:255725161 | فى:23234786 | وفي:8343819 | فيها:7844157 | فيه:6992618 | ففي:693491
2,مِن,من,prep,,from,234645273,25,من:205864175 | ومن:7997912 | منها:5301374 | مما:3781891 | منه:3504989 | منهم:2209646
3,عَلَى,على,prep,,on;above,161493446,22,على:122591931 | عليه:12318491 | علي:10208006 | عليها:5637347 | وعلى:3421391 | عليهم:1938690
4,أَنَّ,أن,conj_sub,,that,145742087,99,أن:64519408 | ان:29997999 | أنه:8426729 | بأن:4424068 | انه:4329361 | أنها:3285497
5,إِلَى,إلى,prep,,to;towards,88760790,30,إلى:49827053 | الى:27884671 | إليه:2145130 | إلي:1837470 | الي:1690943 | إليها:1355641
6,الَّذِي,الذي,pron_rel,,which;who;whom [fem.sg.],87871167,18,التي:40274151 | الذي:25340271 | الذين:6263052 | التى:4573879 | والتي:4264446 | الذى:2582584
7,مُنْتَدَى,منتدى,noun,,assembly room;gathering place,74643848,26,منتدى:46234347 | المنتدى:11596220 | منتديات:6185628 | المنتديات:4443169 | منتدي:2485107 | للمنتدى:1497029
8,وَ,و,conj,,and,68783652,1,و:68783652
9,هٰذا,هذا,pron_dem,,this,68511715,29,هذا:28359569 | هذه:24577123 | وهذا:3580996 | بهذا:1899582 | لهذا:1821476 | لهذه:1657393
10,كان,كان,verb,,was;were+he;it <verb>,65059747,74,كان:17616874 | كانت:9568841 | يكون:7229440 | تكون:5288225 | وكان:4893311 | كنت:3310623
11,عَن,عن,prep,,from;about,62743258,16,عن:53441991 | عنه:3344951 | عنها:2109594 | وعن:1203900 | عما:961306 | عنهم:593779
12,لا,لا,part_neg,,no;not,46813048,5,لا:33983381 | ولا:10872753 | فلا:1891877 | لأ:40152 | لآ:24885
13,قِسْم,قسم,noun,ق س م,portion+[def.gen.],45081537,24,قسم:35818776 | القسم:4280132 | الأقسام:1374022 | أقسام:906064 | الاقسام:879536 | اقسام:633098
14,ما,ما,pron_rel,,what,43470581,5,ما:32689041 | بما:4064244 | وما:3902505 | لما:2494111 | وبما:320680
15,مَع,مع,prep,,with,41112150,14,مع:34529253 | معه:1787480 | ومع:1281693 | معنا:1070776 | معها:1055881 | معهم:761288
16,أَو,أو,conj,,or,38492376,2,أو:31223847 | او:7268529
17,ذٰلِكَ,ذلك,pron_dem,,that,35128768,18,ذلك:15385023 | وذلك:5225167 | تلك:5134852 | وكذلك:2146298 | لذلك:2092913 | كذلك:1800192
18,لِ,ل,prep,,to;for + it;him (it;he has),34381494,23,له:9554679 | لها:6441327 | ل:3659194 | لك:3390409 | لهم:3365992 | لي:2146308
19,قال,قال,verb,,said+he;it <verb>,34195425,63,قال:9798209 | وقال:7928703 | يقول:2564930 | فقال:1745291 | وقالت:1631181 | قالت:1393939
20,يَوْم,يوم,noun,,the+day+[def.acc.],32386083,35,اليوم:15004241 | يوم:8509317 | أيام:2385703 | يوما:1351867 | الأيام:1035799 | يومين:794383
21,كُلّ,كل,noun,ك ل ل,every;all+[def.gen.],30741009,21,كل:19820041 | لكل:2739555 | بكل:2599767 | وكل:1625514 | كلها:812031 | كله:779461
22,بُعْد,بعد,noun,ب ع د,dimension;distance+[def.acc.],27723082,22,بعد:22047485 | وبعد:1878476 | بعدما:1209039 | بعدها:665517 | بعده:329203 | وبعدها:261759
23,هُوَ,هو,pron,,it;he,27244485,3,هو:16531309 | وهو:8775595 | فهو:1937581
24,عامّ,عام,adj,ع م م,the+general;common;public+[def.gen.],26503833,6,العام:15244255 | العامة:8582637 | عامة:1762083 | العامه:805232 | والعامة:72996 | والعام:36630
