rank,front,expected_english,kaikki_entry,kaikki_pos,kaikki_has_english_gloss,semantic_overlap,semantic_overlap_terms,wordfreq_attested,wordfreq_zipf,arabic_wordnet_entry,camel_analysis,lexique4_entry,lexique4_pos,urdu_ud_entry,urdu_ud_pos,support_count,confidence
1,في,in; at,True,prep|verb,True,False,,True,7.54,False,True,False,,False,,3,semantic_review
2,أن,that; to (subordinator: أَنْ / أَنَّ),True,conj|noun|verb,True,False,,True,7.03,True,True,False,,False,,4,semantic_review
7,هذا,this (masculine singular),True,pron,False,False,,True,6.67,False,True,False,,False,,3,form_only
8,كان,was; were; be (past form of كان),True,name|verb,True,False,,True,6.55,True,True,False,,False,,4,semantic_review
11,له,to him; for him; he has,True,prep,True,False,,True,6.12,True,True,False,,False,,4,semantic_review
12,أنا,I,True,noun|pron,True,False,,True,5.89,True,True,False,,False,,4,semantic_review
14,ذلك,that (masculine singular),True,pron,True,False,,True,6.45,False,True,False,,False,,3,semantic_review
16,به,with him; by him; with it; by it,False,,False,False,,True,6.05,True,True,False,,False,,3,form_only
17,يكون,is; is being; will be (يكون),True,verb,False,False,,True,5.99,True,True,False,,False,,4,form_only
21,التي,who; which; that (feminine singular relative pronoun),True,pron,True,False,,True,6.64,False,True,False,,False,,3,semantic_review
25,هذه,this (feminine singular),True,pron,False,False,,True,6.59,False,True,False,,False,,3,form_only
27,الذي,who; which; that (masculine singular relative pronoun),True,pron,False,False,,True,6.54,False,True,False,,False,,3,form_only
29,لقد,indeed; certainly; already (لَقَدْ),True,particle,True,False,,True,5.67,False,True,False,,False,,3,semantic_review
30,شيء,thing; something,True,noun|verb,True,False,,True,6.03,True,True,False,,False,,4,semantic_review
33,يريد,wants; desires; intends,True,verb,False,False,,True,5.20,False,True,False,,False,,3,form_only
35,قال,said; told,True,verb,True,False,,True,6.01,True,True,False,,False,,4,semantic_review
36,يمكن,can; is possible; may be possible,True,verb,False,False,,True,6.07,False,True,False,,False,,3,form_only
39,يعرف,knows; recognizes; defines/introduces (depending on vocalization),True,verb,False,False,,True,5.34,False,True,False,,False,,3,form_only
41,لدى,with; at; in the possession of,True,prep,True,False,,True,5.54,False,True,False,,False,,3,semantic_review
43,أو,or,True,conj,True,False,,True,6.57,False,True,False,,False,,3,semantic_review
59,يجب,must; should; is necessary,True,verb,False,False,,True,5.79,False,True,False,,False,,3,form_only
66,يفعل,does; performs,True,verb,False,False,,True,4.78,False,True,False,,False,,3,form_only
67,يعتقد,believes; thinks,True,verb,False,False,,True,5.03,False,True,False,,False,,3,form_only
68,يستطيع,can; is able to,True,verb,False,False,,True,5.11,False,True,False,,False,,3,form_only
69,كما,as; just as; as well as,True,conj|pron,True,False,,True,6.26,False,True,False,,False,,3,semantic_review
76,يقول,says; tells,True,verb,False,False,,True,5.73,False,True,False,,False,,3,form_only
77,يرى,sees; considers,True,verb,False,False,,True,5.00,True,True,False,,False,,4,form_only
90,تلك,that (feminine singular),True,noun|pron,True,False,,True,5.94,True,True,False,,False,,4,semantic_review
96,يذهب,goes,True,verb,False,False,,True,4.62,True,True,False,,False,,4,form_only
97,أخرى,other; another (feminine),True,adj,True,False,,True,5.94,False,True,False,,False,,3,semantic_review
99,شخص,person,True,noun|verb,True,False,,True,5.78,True,True,False,,False,,4,semantic_review
111,يبدو,seems; appears,True,verb,False,False,,True,5.44,False,True,False,,False,,3,form_only
119,يعلم,knows; teaches (depending on vocalization),True,verb,False,False,,True,5.17,False,True,False,,False,,3,form_only
121,ماضي,past; previous,True,adj,False,False,,True,4.13,True,True,False,,False,,4,form_only
124,يحب,loves; likes,True,verb,False,False,,True,4.93,False,True,False,,False,,3,form_only
125,يعني,means; signifies; concerns,True,intj|verb,True,False,,True,5.64,False,True,False,,False,,3,semantic_review
126,يقوم,stands; gets up; carries out; performs,True,verb,False,False,,True,5.42,False,True,False,,False,,3,form_only
128,يعمل,works; operates,True,verb,False,False,,True,5.37,True,True,False,,False,,4,form_only
150,يحتاج,needs; requires,True,verb,False,False,,True,4.99,False,True,False,,False,,3,form_only
160,الذين,who; those who (masculine plural relative pronoun),True,pron,True,False,,True,5.99,False,True,False,,False,,3,semantic_review
