rank,front,meaning,kaikki_entry,kaikki_semantic_agreement,kaikki_overlap_terms,omw_entry,omw_semantic_agreement,omw_overlap_terms,wordfreq_attested,calima_analysis,status
7,هذا,this (masculine singular),True,False,,False,False,,True,True,explicit_review_required
8,كان,was; were; be (past form of كان),True,False,,True,False,,True,True,explicit_review_required
11,له,to him; for him; he has,True,False,,False,False,,True,True,explicit_review_required
12,أنا,I,True,False,,True,False,,True,True,explicit_review_required
14,ذلك,that (masculine singular),True,False,,False,False,,True,True,explicit_review_required
16,به,with him; by him; with it; by it,False,False,,False,False,,True,True,explicit_review_required
17,يكون,is; is being; will be (يكون),False,False,,False,False,,True,True,explicit_review_required
21,التي,who; which; that (feminine singular relative pronoun),True,False,,False,False,,True,True,explicit_review_required
25,هذه,this (feminine singular),True,False,,False,False,,True,True,explicit_review_required
27,الذي,who; which; that (masculine singular relative pronoun),True,False,,False,False,,True,True,explicit_review_required
29,لقد,indeed; certainly; already (لَقَدْ),True,False,,False,False,,True,True,explicit_review_required
33,يريد,want; desire; intend,False,False,,False,False,,True,True,explicit_review_required
35,قال,said; told,True,False,,True,False,,True,True,explicit_review_required
36,يمكن,can; is possible; may be possible,False,False,,False,False,,True,True,explicit_review_required
39,يعرف,knows; recognizes; defines/introduces (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
43,أو,or,True,False,,False,False,,True,True,explicit_review_required
59,يجب,must; should; is necessary,False,False,,False,False,,True,True,explicit_review_required
66,يفعل,does; performs,False,False,,False,False,,True,True,explicit_review_required
67,يعتقد,believes; thinks,False,False,,False,False,,True,True,explicit_review_required
68,يستطيع,can; is able to,False,False,,False,False,,True,True,explicit_review_required
76,يقول,says; tells,False,False,,False,False,,True,True,explicit_review_required
77,يرى,sees; considers,False,False,,False,False,,True,True,explicit_review_required
90,تلك,that (feminine singular),True,False,,False,False,,True,True,explicit_review_required
94,فعل,did; acted,True,False,,True,False,,True,True,explicit_review_required
96,يذهب,goes,False,False,,False,False,,True,True,explicit_review_required
97,أخرى,other; another (feminine),True,False,,False,False,,True,True,explicit_review_required
111,يبدو,seems; appears,False,False,,False,False,,True,True,explicit_review_required
119,يعلم,knows; teaches (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
124,يحب,loves; likes,False,False,,False,False,,True,True,explicit_review_required
126,يقوم,stands; gets up; carries out; performs,False,False,,False,False,,True,True,explicit_review_required
128,يعمل,works; operates,False,False,,False,False,,True,True,explicit_review_required
150,يحتاج,needs; requires,False,False,,False,False,,True,True,explicit_review_required
160,الذين,who; those who (masculine plural relative pronoun),True,False,,False,False,,True,True,explicit_review_required
171,أضاف,added,True,False,,True,False,,True,True,explicit_review_required
181,يأتي,comes; arrives,False,False,,False,False,,True,True,explicit_review_required
191,يتم,is completed; takes place; is carried out,True,False,,True,False,,True,True,explicit_review_required
194,لذا,therefore; thus; for that reason,False,False,,False,False,,True,True,explicit_review_required
196,يتحدث,speaks; talks,False,False,,False,False,,True,True,explicit_review_required
198,دع,leave!; let!; allow! (دع),True,False,,False,False,,True,True,explicit_review_required
199,يحدث,happens; occurs; updates/tells (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
201,يعود,returns; goes back,False,False,,False,False,,True,True,explicit_review_required
202,رأى,saw,True,False,,True,False,,True,True,explicit_review_required
206,يظن,thinks; supposes,False,False,,False,False,,True,True,explicit_review_required
208,رجال,men,True,False,,True,False,,True,True,explicit_review_required
209,نسوة,women; group of women,True,False,,False,False,,True,True,explicit_review_required
216,يشعر,feels; senses,False,False,,False,False,,True,True,explicit_review_required
224,رغم,despite; in spite of (رغم),True,False,,True,False,,True,True,explicit_review_required
226,جاء,came; arrived,True,False,,True,False,,True,True,explicit_review_required
228,يحاول,tries; attempts,False,False,,False,False,,True,True,explicit_review_required
233,أصبح,became; came to be,True,False,,True,False,,True,True,explicit_review_required
236,انظر,look!; see!,False,False,,False,False,,True,True,explicit_review_required
243,يعد,counts; is considered; prepares (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
257,مازال,still was/is; continued to be (ما زال),False,False,,False,False,,True,True,explicit_review_required
259,يحصل,gets; obtains; happens; collects/achieves (depending on form),False,False,,False,False,,True,True,explicit_review_required
268,أطفال,children,True,False,,True,False,,True,True,explicit_review_required
269,لابد,must; necessarily; inevitably (لا بُدَّ),False,False,,False,False,,True,True,explicit_review_required
278,يأخذ,takes; receives,False,False,,False,False,,True,True,explicit_review_required
279,يجد,finds,False,False,,False,False,,True,True,explicit_review_required
296,العب,player,False,False,,False,False,,True,True,explicit_review_required
298,شركات,companies,True,False,,False,False,,True,True,explicit_review_required
303,يجعل,makes; renders; causes,False,False,,False,False,,True,True,explicit_review_required
311,يبقى,remains; stays,False,False,,False,False,,True,True,explicit_review_required
315,قوات,forces; troops,True,False,,False,False,,True,True,explicit_review_required
317,يصل,arrives; reaches,False,False,,False,False,,True,True,explicit_review_required
331,يبدأ,begins; starts,False,False,,False,False,,True,True,explicit_review_required
337,أعلن,announced; declared,True,False,,True,False,,True,True,explicit_review_required
338,إطلاقا,at all; absolutely,False,False,,False,False,,True,True,explicit_review_required
342,يخرج,goes out; exits; leaves,False,False,,False,False,,True,True,explicit_review_required
352,وزراء,ministers,True,False,,False,False,,True,True,explicit_review_required
361,اذهب,go!,False,False,,False,False,,True,True,explicit_review_required
364,يجري,runs; proceeds; takes place,False,False,,False,False,,True,True,explicit_review_required
365,أسعار,prices,True,False,,True,False,,True,True,explicit_review_required
368,انتخابات,elections,True,False,,False,False,,True,True,explicit_review_required
372,يصبح,becomes,False,False,,False,False,,True,True,explicit_review_required
