rank,front,expected_english,kaikki_entry,kaikki_pos,kaikki_has_english_gloss,semantic_overlap,semantic_overlap_terms,wordfreq_attested,wordfreq_zipf,arabic_wordnet_entry,camel_analysis,lexique4_entry,lexique4_pos,urdu_ud_entry,urdu_ud_pos,support_count,confidence
1,في,in; at,True,prep|verb,True,False,,True,7.54,False,True,False,,False,,3,semantic_review
2,أن,that; to (subordinator: أَنْ / أَنَّ),True,conj|noun|verb,True,False,,True,7.03,True,True,False,,False,,4,semantic_review
3,من,from (مِنْ); who; whom; whoever (مَنْ),True,noun|prep|pron|verb,True,True,whoever,True,7.50,True,True,False,,False,,4,strong
4,على,on; upon; over,True,adj|prep|verb,True,True,over,True,7.18,True,True,False,,False,,4,strong
5,لا,no; not,True,conj|particle|prefix,True,True,no|not,True,6.93,True,True,False,,False,,4,strong
6,إلى,to; toward,True,noun|prep,True,True,toward,True,6.91,False,True,False,,False,,3,strong
7,هذا,this (masculine singular),True,pron,False,False,,True,6.67,False,True,False,,False,,3,form_only
8,كان,was; were; be (past form of كان),True,name|verb,True,False,,True,6.55,True,True,False,,False,,4,semantic_review
9,إن,if (إِنْ); indeed; certainly (إِنَّ),True,conj|particle,True,True,if|inde,True,6.27,True,True,False,,False,,4,strong
10,ما,not; what; that which; whatever (conditional),True,adv|conj|particle|pron,True,True,conditional|not|what|whatever,True,6.85,False,True,False,,False,,3,strong
11,له,to him; for him; he has,True,prep,True,False,,True,6.12,True,True,False,,False,,4,semantic_review
12,أنا,I,True,noun|pron,True,False,,True,5.89,True,True,False,,False,,4,semantic_review
13,عن,about; from; away from,True,noun|prep|verb,True,True,about|away,True,6.77,False,True,False,,False,,3,strong
14,ذلك,that (masculine singular),True,pron,True,False,,True,6.45,False,True,False,,False,,3,semantic_review
15,مع,with; together with,True,prep,True,True,together,True,6.66,True,True,False,,False,,4,strong
16,به,with him; by him; with it; by it,False,,False,False,,True,6.05,True,True,False,,False,,3,form_only
17,يكون,is; is being; will be (يكون),True,verb,False,False,,True,5.99,True,True,False,,False,,4,form_only
18,لم,did not (past negation with the jussive),True,adv|particle|root|verb,True,True,not,True,6.39,True,True,False,,False,,4,strong
19,أنت,you (singular; masculine or feminine when unvocalized),True,pron|verb,True,True,you,True,6.03,False,True,False,,False,,3,strong
20,هل,yes/no question particle; is/are/do/does/did...?,True,particle,True,True,question,True,5.92,False,True,False,,False,,3,strong
21,التي,who; which; that (feminine singular relative pronoun),True,pron,True,False,,True,6.64,False,True,False,,False,,3,semantic_review
22,ليس,"is not; are not (ليس, negative copular verb)",True,adj|conj|noun|particle|verb,True,True,not,True,5.92,True,True,False,,False,,4,strong
23,لكن,but; however (لَكِنْ / لَكِنَّ),True,conj|noun,True,True,but|however,True,6.03,True,True,False,,False,,4,strong
24,كل,all; every; each; eat! (كُلّ / كُلْ),True,noun|verb,True,True,all|each|every,True,6.60,True,True,False,,False,,4,strong
25,هذه,this (feminine singular),True,pron,False,False,,True,6.59,False,True,False,,False,,3,form_only
26,يا,O...!; vocative particle,True,particle,True,True,vocative,True,6.31,False,True,False,,False,,3,strong
27,الذي,who; which; that (masculine singular relative pronoun),True,pron,False,False,,True,6.54,False,True,False,,False,,3,form_only
28,هو,he; it (masculine),True,noun|pron,True,True,he|it,True,6.57,False,True,False,,False,,3,strong
29,لقد,indeed; certainly; already (لَقَدْ),True,particle,True,False,,True,5.67,False,True,False,,False,,3,semantic_review
30,شيء,thing; something,True,noun|verb,True,False,,True,6.03,True,True,False,,False,,4,semantic_review
31,ماذا,what?,True,pron,True,True,what,True,5.43,False,True,False,,False,,3,strong
32,حسنا,well; okay; fine (حسنًا),True,adv|verb,True,True,fine|okay|well,True,4.67,True,True,False,,False,,4,strong
33,يريد,wants; desires; intends,True,verb,False,False,,True,5.20,False,True,False,,False,,3,form_only
34,هنا,here,True,adv,True,True,here,True,5.93,True,True,False,,False,,4,strong
35,قال,said; told,True,verb,True,False,,True,6.01,True,True,False,,False,,4,semantic_review
36,يمكن,can; is possible; may be possible,True,verb,False,False,,True,6.07,False,True,False,,False,,3,form_only
