rank,front,meaning,camel_analysis_count,flags
1,في,in; at,3,
2,أن,that; to (subordinator: أَنْ / أَنَّ),12,
3,من,from; who; whom,3,
4,على,on; upon; over,9,
5,لا,no; not,1,
6,إلى,to; toward,11,
7,هذا,this (masculine singular),1,
8,كان,was; were; be (past form of كان),5,
9,إن,if (إِنْ); indeed; certainly (إِنَّ),12,
10,ما,what; that which,4,
11,له,to him; for him; he has,1,
12,أنا,I,13,
13,عن,about; from; away from,3,
14,ذلك,that (masculine singular),9,
15,مع,with; together with,1,
16,به,with him; by him; with it; by it,1,
17,يكون,is; is being; will be (يكون),4,
18,لم,did not (past negation with the jussive),3,
19,أنت,you (singular; masculine or feminine when unvocalized),4,
20,هل,yes/no question particle; is/are/do/does/did...?,2,
21,التي,who; which; that (feminine singular relative pronoun),6,
22,ليس,"is not; are not; was not (ليس, negative copular verb)",8,
23,لكن,but; however (لَكِنْ / لَكِنَّ),12,
24,كل,all; every; each; eat! (كُلّ / كُلْ),7,
25,هذه,this (feminine singular),1,
26,يا,O...!; vocative particle,1,
27,الذي,who; which; that (masculine singular relative pronoun),2,
28,هو,he; it (masculine),2,
29,لقد,indeed; certainly; already (لَقَدْ),16,
30,شيء,thing; something,1,
31,ماذا,what?,1,
32,حسنا,well; okay; fine (حسنًا),17,
33,يريد,want; desire; intend,1,
34,هنا,here,6,
35,قال,said; told,1,
36,يمكن,can; is possible; may be possible,4,
37,بعد,after; later; afterwards,13,
38,أي,which; any; whichever,9,
39,يعرف,knows; recognizes; defines/introduces (depending on vocalization),3,
40,هناك,there; over there,5,
41,لدى,with; at; in the possession of,10,
42,الآن,now,8,
43,أو,or,2,
44,إذا,if; when,3,
45,نعم,yes; indeed,21,
46,رئيس,president; head; chief,6,
47,عام,year; general; public (depending on use),12,
48,هي,she; it (feminine),1,
49,يوم,day,7,
50,سيد,Mr.; gentleman; master,7,
51,بين,between; among; clarified/explained (بَيْن / بَيَّن),13,
52,قد,already; indeed; may; might (قَدْ),20,
53,بعض,some; part of,10,
54,فقط,only; just,22,
55,لن,will not,1,
56,حتى,until; up to; even,3,
57,أمر,matter; affair; order/command; ordered/commanded,33,
58,عمل,work; action; worked; functioned,8,
59,يجب,must; should; is necessary,6,
60,أحد,one; someone; anyone,29,
61,وقت,time,41,
62,أجل,for the sake of; because of; yes/indeed in أَجَلْ,28,
63,قبل,accepted; received; approved,11,
64,خلال,during; throughout; through,2,
65,نفس,self; same; soul; breath (depending on vocalization),21,
66,يفعل,does; performs,1,
67,يعتقد,believes; thinks,2,
68,يستطيع,can; is able to,1,
69,كما,as; just as; as well as,3,
70,رجل,man; leg/foot (depending on vocalization),14,
71,عندما,when,2,
72,كيف,how?,2,
73,نحن,we,2,
74,أول,first; foremost,19,
75,جيد,good; well,6,
76,يقول,says; tells,1,
77,يرى,sees; considers,2,
78,غير,other than; not; except; changed (غَيْر / غَيَّر),7,
79,واحد,one; single,99,
80,جديد,new,6,
81,أكثر,more; most,9,
82,مثل,like; similar to; example; proverb,17,
83,جدا,very; very much,7,
84,آخر,other; another (آخَر); last; final (آخِر),16,
85,سوف,will; shall (future marker),2,
86,كبير,big; large; great,6,
87,فريق,team; group,31,
88,كثير,many; much; a lot,6,
89,أيضا,also; too,3,
90,تلك,that (feminine singular),15,
91,مجلس,council; board; assembly,6,
92,لماذا,why?,2,
93,أم,or (أَمْ); mother (أُمّ),10,
94,فعل,did; acted,14,
95,عدد,number; count,7,
96,يذهب,goes,5,
97,أخرى,other; another (feminine),31,
98,كذلك,likewise; also; in that way,10,
99,شخص,person,7,
100,مرة,time; occasion; once,30,
101,أمس,yesterday,18,
102,حيث,where; in which; whereas,1,
103,حياة,life,11,
104,منذ,since; for (a period); ago,1,
105,ربما,perhaps; maybe,1,
106,أين,where?,4,
107,جميع,all; everyone; entire,48,
108,مكان,place; location,6,
109,هيا,come on!; let's go!,2,
110,لو,if; if only; even if (لَوْ),2,
111,يبدو,seems; appears,1,
112,شكرا,thanks; thank you,3,
113,سبب,reason; cause; caused,7,
114,ابن,son,14,
115,عند,at; with; by; near,3,
116,أفضل,better; best; preferable,9,
117,تم,was completed; took place; became complete,1,
118,دولة,state; country,11,
119,يعلم,knows; teaches (depending on vocalization),5,
120,عالم,world; scholar; scientist (depending on vocalization),18,
121,ماضي,past; previous,7,
122,أب,father,4,
123,دون,without; below; short of; recorded/wrote down (دُون / دَوَّن),10,
124,يحب,loves; likes,3,
125,يعني,means; signifies; concerns,5,
126,يقوم,stands; gets up; carries out; performs,2,
127,مرحبا,hello; welcome,2,
128,يعمل,works; operates,3,
129,خير,good; goodness; better/best in some expressions,18,
130,خاصة,special; particular; especially (خاصة),30,
131,أمام,in front of; before,20,
132,شركة,company; firm,20,
133,حول,around; about; concerning; changed/converted (حَوْل / حَوَّل),9,
134,أخبر,told; informed; tell!/inform!,6,
135,طريق,road; way; path,12,
136,إلا,except; unless; only (إلّا),5,
137,حال,condition; state; situation,7,
138,نسبة,ratio; percentage; proportion,25,
139,أكد,confirmed; affirmed,3,
140,ثم,then; afterwards,2,
141,تاريخ,date; history,12,
142,حقا,really; truly,3,
143,أيها,O...! (formal masculine vocative introducer أيها),2,
144,منطقة,region; area; zone,16,
145,وضع,situation; status; position; placed/put,15,
146,شكل,shape; form; appearance; formed/shaped,9,
147,صحيح,correct; true; valid,6,
148,آسف,sorry; regretful,17,
149,حكومة,government,7,
150,يحتاج,needs; requires,1,
151,جانب,side; aspect; beside; alongside,7,
152,اسم,name,9,
153,أخير,last; final; recent,11,
154,رائع,wonderful; excellent; great,12,
155,دولي,international,13,
156,ناس,people,9,
157,إدارة,administration; management,8,
158,نشر,publication; publishing; spreading; published/spread,18,
159,ثانية,second; a second (unit of time); feminine ordinal 'second',14,
160,الذين,who; those who (masculine plural relative pronoun),1,
161,كلا,"no; certainly not (كَلَّا); both (masculine, كِلَا)",9,
162,حق,right; truth; entitlement,8,
163,مدينة,city,36,
164,عدم,absence; nonexistence; lack,7,
165,حدث,happened; occurred,7,
166,اتحاد,union; federation,8,
167,أولى,first; former; feminine of أول / one of two in certain constructions,34,
168,ليلة,night,17,
169,مدير,director; manager,6,
170,سيارة,car; automobile,18,
171,أضاف,added,2,
172,صغير,small; little; young,6,
173,وزير,minister,7,
174,نادي,club,2,
175,قتل,killing; murder; killed,9,
176,دور,role; turn; function,13,
177,بدأ,began; started,5,
178,شأن,matter; affair; concern,7,
179,قام,stood; got up; carried out,1,
180,مباراة,match; game,14,
181,يأتي,comes; arrives,1,
182,خارج,outside; external to,8,
183,منزل,house; home; residence,18,
184,يوجد,exists; is present; there is,2,
185,مركز,center; centre,24,
186,لجنة,committee; commission,38,
187,سياسي,politician; political figure,14,
188,داخل,inside; within,9,
189,قدم,antiquity/oldness; presented/offered (depending on vocalization),15,
190,سنة,year; Sunnah/tradition (depending on vocalization),23,
191,يتم,is completed; takes place; is carried out,7,
192,أمن,secured; ensured; made safe,19,
193,شرطة,police,24,
194,لذا,therefore; thus; for that reason,3,
195,عربية,Arabic; Arab (feminine adjective/noun use),22,
196,يتحدث,speaks; talks,1,
197,مقبل,next; coming; forthcoming,6,
198,دع,leave!; let!; allow! (دع),2,
199,يحدث,happens; occurs; updates/tells (depending on vocalization),3,
200,كرة,ball; sphere,40,
201,يعود,returns; goes back,2,
202,رأى,saw,8,
203,حقيقة,truth; fact; reality,18,
204,الله,Allah; God,1,
205,سعيد,happy; pleased,7,
206,يظن,thinks; supposes,1,
207,فترة,period; interval,18,
208,رجال,men,6,
209,نسوة,women; group of women,10,
210,أعمال,works; businesses; actions,6,
211,مشكلة,problem; issue,44,
212,حالة,state; condition; case,12,
213,حزب,party; political party; group,9,
214,مليون,million,12,
215,حصل,happened/occurred; obtained/got; collected (depending on form),2,
216,يشعر,feels; senses,3,
217,طلب,request; demand; order; requested/asked,13,
218,تحقيق,investigation; achievement/realization (context-dependent),12,
219,جميل,beautiful; nice,7,
220,بيت,house; home,18,
221,هم,concern; worry (هَمّ); note: unvocalized spelling can also represent the pronoun 'they',8,
222,وزارة,ministry,25,
223,قرار,decision; resolution,6,
224,رغم,despite; in spite of (رغم),7,
225,ساعة,hour; watch; clock,14,
226,جاء,came; arrived,1,
227,أرض,earth; land; ground,9,
228,يحاول,tries; attempts,1,
229,عين,eye; spring; individual/notable; appointed/designated (depending on vocalization),23,
230,كي,so that; in order that,13,
231,كم,how many?; how much?,10,
232,أيام,days,6,
233,أصبح,became; came to be,3,
234,حسب,calculated; counted; considered/thought (depending on vocalization),15,
235,دائما,always,3,
236,انظر,look!; see!,2,
237,طريقة,way; method; manner,15,
238,فيما,in what; concerning what; while/insofar as (فيما),3,
239,صديق,friend,13,
240,عرض,presented; offered; displayed,27,
241,أبدا,ever; never (with negation); at all,10,
242,هدف,goal; target; objective,13,
243,يعد,counts; is considered; prepares (depending on vocalization),11,
244,وجود,existence; presence,6,
245,نهاية,end; ending; conclusion,8,
246,مجموعة,group; collection; set,18,
247,دول,countries; states,6,
248,فقد,loss; absence; losing (فَقْد),27,
249,مختلف,different; various,12,
250,ألف,authored; composed; compiled,52,
251,نائب,deputy; vice-president; representative,6,
252,أسبوع,week,6,
253,قانون,law,6,
254,مستوى,level; standard,10,
255,قطاع,sector,25,
256,نظام,system; regime,12,
257,مازال,still was/is; continued to be (ما زال),1,
258,مساعدة,help; assistance,22,
259,يحصل,gets; obtains; happens; collects/achieves (depending on form),2,
260,شهر,month,8,
261,فني,technician; technical/specialized (depending on use),26,
262,صفحة,page,13,
263,عامة,general; public; in general,23,
264,تحت,under; below,5,
265,حين,when; while; time,14,
266,قليل,little; few; small amount,6,
267,نحو,toward; about; approximately,14,
268,أطفال,children,6,
269,لابد,must; necessarily; inevitably (لا بُدَّ),16,
270,نوع,type; kind; form,9,
271,منتخب,team; national/select team; elected/selected (context-dependent),18,
272,شيخ,sheikh; elder; senior man,7,
273,مشروع,project; plan,12,
274,أشياء,things,4,
275,وحيد,only; lone; unique; lonely,28,
276,صباح,morning; in the morning,15,
277,شعب,people; nation; populace,19,
278,يأخذ,takes; receives,1,
279,يجد,finds,7,
280,توقف,stopped; halted; stop!,13,
281,لأن,because; because of the fact that (لأن),8,
282,بطولة,championship; tournament,15,
283,هيئة,body; authority; commission; organization,8,
284,عملية,process; operation,18,
285,طويل,long; tall,7,
286,بل,rather; but; instead,15,
287,تأكيد,confirmation; emphasis,6,
288,إذن,then; therefore; in that case (إذن),25,
289,أمور,matters; affairs; things,7,
290,فوز,victory; winning,25,
291,أقل,less; least; fewer,11,
292,ألا,attention/emphasis particle; also unvocalized form of أَلَّا 'that not',5,
293,شباب,youth; young people,7,
294,حقيقي,real; genuine; true,11,
295,كامل,complete; full; entire,11,
296,العب,player,5,
297,انتظر,waited; wait!,3,
298,شركات,companies,7,
299,مما,from/of what; from/of which (a contraction of مِن and ما),2,
300,سابق,previous; former; preceding; competed/raced (depending on vocalization),10,
301,غرفة,room; chamber,12,
302,مال,money; wealth; leaned/inclined (depending on vocalization),13,
303,يجعل,makes; renders; causes,1,
304,مشاركة,participation; sharing,18,
305,عزيز,dear; precious; respected,7,
306,إله,god; deity,23,
307,رؤية,vision; seeing; view,14,
308,وجه,face; direction; aspect; directed,13,
309,ضد,against; opposite,7,
310,خاص,special; private; particular,12,
311,يبقى,remains; stays,3,
312,لقاء,meeting; encounter,6,
313,عودة,return; comeback,12,
314,أكبر,bigger; larger; greatest; largest,14,
315,قوات,forces; troops,7,
316,نقل,transfer; transport; transmission; transferred/moved,21,
317,يصل,arrives; reaches,6,
318,إضافة,addition; adding,9,
319,رأس,head; top; headed/presided,16,
320,حسن,goodness; beauty; became good (depending on vocalization),17,
321,فكرة,idea; thought,52,
322,أخذ,taking; took,16,
323,أشار,indicated; pointed out; referred to,2,
324,فتاة,girl; young woman,16,
325,حركة,movement; motion,8,
326,هكذا,like this; thus; in this way,1,
327,قوة,strength; force; power,8,
328,برنامج,program; programme,6,
329,حصول,occurrence; obtaining; acquisition,12,
330,ذهب,gold; went (depending on vocalization),10,
331,يبدأ,begins; starts,3,
332,ذات,self/same; possessing (in constructions such as ذات),6,
333,تحدث,speaking; conversation; spoke/talked,13,
334,وصل,arrived; reached; connected,8,
335,علم,knowledge; science; flag; taught/instructed (depending on vocalization),21,
336,أما,as for; whereas; either (depending on vocalization/context),4,
337,أعلن,announced; declared,6,
338,إطلاقا,at all; absolutely,4,
339,تماما,completely; entirely; exactly,2,
340,فرصة,opportunity; chance,23,
341,بحث,research; search; searched/researched,13,
342,يخرج,goes out; exits; leaves,4,
343,حكم,judgment; ruling; government; ruled/judged,22,
344,طفل,child,12,
345,قضية,case; issue; cause,14,
346,أعلى,higher; highest; upper,4,
347,ما,how...!; what a...! (exclamative ما),4,
348,دعم,support; backing; supported,14,
349,حاجة,need; necessity,19,
350,تعال,come!,2,
351,مجرد,mere; simply; abstract/bare,12,
352,وزراء,ministers,4,
353,هؤلاء,these,1,
354,عقد,held; concluded; contracted; tied,27,
355,دقيقة,minute; precise/fine (context-dependent),22,
356,طبع,printing; nature/character; printed,14,
357,صورة,picture; image; form,20,
358,تقدم,progress; advance; advanced/progressed,17,
359,جامعة,university,30,
360,عبر,crossed; passed through; expressed (context-dependent),15,
361,اذهب,go!,6,
362,وجد,found,59,
363,قادم,coming; next,12,
364,يجري,runs; proceeds; takes place,4,
365,أسعار,prices,6,
366,حرب,war,6,
367,نقطة,point; dot,14,
368,انتخابات,elections,7,
369,سوق,market,19,
370,بناء,building; construction,14,
371,تعلم,learning; learned,17,
372,يصبح,becomes,2,
373,خصوصا,especially; particularly,2,
374,نصف,half,18,
375,ذهاب,going; departure,6,
376,رأي,opinion; view,8,
377,يفكر,thinks; considers,1,
378,وطني,national; patriotic,32,
379,اجتماع,meeting; assembly,6,
380,قيمة,value; worth,34,
381,بلاد,lands; countries,6,
382,بداية,beginning; start,14,
383,ذو,possessor of; having; with (ذو),1,
384,مدرسة,school; female teacher (depending on vocalization),18,
385,سرعة,speed; rapidity,13,
386,لما,when (لَمَّا); not yet / when used with negation; for what/to what (لِمَا),4,
387,أعضاء,members,8,
388,عمر,age; lifetime,11,
389,إسلامي,Islamic,13,
390,مرحلة,stage; phase,15,
391,بعيد,far; distant,11,
392,يخبر,tells; informs,5,
393,أوضح,clarified; explained; made clear,8,
394,حب,love,13,
395,مالية,financial; fiscal,20,
396,علاقة,relationship; relation,11,
397,يد,hand,6,
398,ينظر,looks; considers; examines,1,
399,مستقبل,future,13,
400,زوجة,wife,12,
401,جيش,army,7,
402,مدة,duration; period,12,
403,أهل,family; people; inhabitants; أهل,22,
404,يعيش,lives; resides,3,
405,قول,saying; speech; statement,6,
406,رقم,number; figure,14,
407,كتاب,book,18,
408,اقتصادي,economic,13,
409,مكتب,office; desk,6,
410,نظر,view; consideration; looked/considered,7,
411,زيادة,increase; addition,7,
412,حل,solution; solving; solved,14,
413,بلد,country; town; land,17,
414,عائلة,family,11,
415,إعادة,return; repetition; redoing,8,
416,حد,limit; boundary; extent,14,
417,يرجو,hopes; wishes; asks/request politely (يرجو),1,
418,مؤتمر,conference,6,
419,باب,door; gate,14,
420,يفهم,understands,4,
421,موضوع,subject; topic,12,
422,واقع,reality; actual situation; occurring/present,21,
423,مقابل,opposite; مقابل; in exchange for; counterpart,12,
424,محكمة,court; tribunal,29,
425,كلمة,word,21,
426,يتمنى,wishes; hopes,3,
427,جهاز,device; apparatus,6,
428,سمع,hearing; heard/listened,9,
429,اسمع,listen!; hear!,6,
430,ترك,leaving; abandonment; left,20,
431,عربي,Arab; Arabic,14,
432,قيادة,leadership; driving,18,
433,فضل,merit; virtue; favor; preferred,15,
434,انتهى,ended; finished,3,
435,طالب,student; seeker; demanded/claimed,14,
436,رفض,rejection; refusal; refused,7,
437,صاحب,companion; owner; accompanied,13,
438,بلغ,reached; amounted to; informed/notified (depending on form),9,
439,وصول,arrival; access,48,
440,دخول,entry; entrance,6,
441,عالمية,global; international (feminine),28,
442,مهمة,task; mission; assignment,25,
443,مزيد,more; additional amount; further,12,
444,رئاسة,presidency; chairmanship,7,
445,مجتمع,society; community,12,
446,قلب,turned; overturned; reversed,21,
447,ينتظر,waits,2,
448,تعاون,cooperation; collaborated/cooperated,11,
449,عبد,servant; slave; worshipped,9,
450,جزء,part; portion,1,
451,موسم,season,6,
452,صوت,voice; sound; vote,16,
453,يود,would like; wants,9,
454,قيام,standing; undertaking; carrying out,6,
455,خارجية,foreign; external; exterior (feminine adjective/noun use),20,
456,ذكر,mention; remembrance,14,
457,حديث,modern; recent; new (adjective حديث),18,
458,ظهر,noon; midday (ظُهْر),15,
459,عديد,many; numerous,6,
460,كأن,as if; as though,5,
461,لحظة,moment,20,
462,حوار,dialogue; conversation,8,
463,ارتفاع,rise; increase; elevation,6,
464,نار,fire,12,
465,حاول,tried; attempted; try!,1,
466,دين,religion; debt (depending on vocalization),18,
467,دوري,league; round/periodic competition; periodic (depending on use),24,
468,يبحث,searches; researches; looks for,1,
469,يعطي,gives,2,
470,غاية,goal; purpose; utmost extent,14,
471,تقديم,presentation; submission; provision,6,
472,دفع,payment; pushing; paid/pushed,13,
473,دعا,called; invited; prayed,2,
474,موقف,position; stance; situation,12,
475,مشيرا,indicating; pointing out; noting (مشيرًا),4,
476,تنفيذ,implementation; execution,6,
477,يقصد,means; intends; aims,4,
478,يذكر,mentions; remembers,5,
479,سالم,peace; safety; Salim/Salam as proper-name reading in context,9,
480,أصدقاء,friends,4,
481,وحدة,unit; unity,90,
482,قديم,old; ancient,6,
483,أزمة,crisis,24,
484,تقرير,report,12,
485,معلومات,information,14,
486,إمكان,possibility; potential,6,
487,نتيجة,result; outcome,7,
488,موقع,site; location; position,18,
489,سماء,sky; heaven (سماء); source POS annotation is anomalous,4,
490,مجال,field; domain; area,8,
491,وسط,middle; center; among,9,
492,جميعا,all together; altogether; everyone,12,
493,موت,death,10,
494,شعر,poetry; hair (depending on vocalization),13,
495,دفاع,defense; defence,18,
496,درجة,degree; grade; level,25,
497,اتصال,contact; communication,12,
498,عشر,ten; one tenth (depending on vocalization),13,
499,سؤال,question,6,
500,كلام,speech; statement; remark; talk; saying,12,
501,كأس,cup; trophy,24,
502,جعل,made; rendered; caused,13,
503,طوال,throughout; during; all through,7,
504,خطة,plan,16,
505,متى,when?,4,
506,ضبط,control; ضبط; ضبط = controlled/adjusted,13,
507,أثناء,during; while,7,
508,وطنية,national (feminine); nationality/national character in noun use,37,
509,معرفة,knowledge; knowing,7,
510,بيان,statement; declaration; data/itemization (context-dependent),7,
511,قرر,decided; determined,1,
512,عيد,holiday; feast; festival,7,
513,زوج,spouse; pair; married off,7,
514,تعليم,education; teaching,6,
515,خطأ,error; mistake,13,
516,تطوير,development; improvement,6,
517,عدة,several; a number of; waiting period; equipment/gear (depending on vocalization),26,
518,عضو,member; organ,12,
519,فتح,opening; conquest; opened,11,
520,مات,died,3,
521,غدا,tomorrow,3,
522,عظيم,great; magnificent; enormous,7,
523,كشف,discovery; exposure; revealed/uncovered,17,
524,طاقة,energy; capacity,15,
525,يعتبر,is considered; regards/considers,2,
526,عاد,returned; came back,3,
527,خلف,succeeded/followed; came after,30,
528,شرق,east,9,
529,داخلية,internal; domestic; interior (feminine),18,
530,ضمن,within; among; included/guaranteed (depending on vocalization),13,
531,اتفاق,agreement; accord,6,
532,مياه,water; waters,6,
533,مستشفى,hospital,1,
534,إنسان,human being; person,7,
535,أعطى,gave,4,
536,ألم,pain (أَلَم); did...not? / interrogative combination أَلَمْ depending on vocalization,15,
537,منظمة,organization; organisation,33,
538,كتب,books; wrote,8,
539,حضور,attendance; presence,12,
540,رفع,raising; lifting; raised,8,
541,لعب,play; playing; played,13,
542,خروج,exit; departure,6,
543,جهة,side; direction; entity/party,7,
544,رسالة,message; letter,21,
545,استخدام,use; usage,6,
546,سلطة,authority; power; government; salad (different vocalization),15,
547,ضرورة,necessity; need,7,
548,يدخل,enters,4,
549,ممكن,possible; feasible,6,
550,نتائج,results; consequences,4,
551,مدرب,coach; trainer,12,
552,يترك,leaves; abandons,4,
553,فهم,understood,17,
554,أساسي,basic; fundamental,12,
555,أشخاص,people; persons,6,
556,جنوب,south,6,
557,يسمع,hears; listens,5,
558,سجن,prison; imprisonment,14,
559,تحديد,determination; specification; identification,6,
560,وطن,homeland; nation; country,30,
561,ظل,shade; shadow; remained/continued,7,
562,ولد,boy; son; gave birth,66,
563,إعلان,announcement; advertisement,6,
564,شارع,street,12,
565,جولة,tour; round; trip,8,
566,ينتهي,ends; finishes,2,
567,تغيير,change; alteration,6,
568,أمين,trustworthy; honest; faithful,20,
569,قدر,fate; destiny; amount; ability; estimated,29,
570,يحمل,carries; bears; loads/imposes (depending on form),2,
571,يلعب,plays,1,
572,يضع,puts; places,4,
573,يساعد,helps; assists,1,
574,يموت,dies,2,
575,خط,line; route,13,
576,هاتف,telephone; phone; telephoned,12,
577,علاقات,relations; relationships,7,
578,عرف,knew; recognized,9,
579,أخ,brother,2,
580,مواجهة,confrontation; facing,18,
581,بنك,bank,20,
582,حرية,freedom; liberty,20,
583,خدمة,service,13,
584,حدود,borders; limits,6,
585,مدى,extent; range,4,
586,ليل,night,7,
587,يملك,owns; possesses,7,
588,إعلام,media; information/publicity,18,
589,أية,any; whichever; which (feminine form أية),10,
590,زيارة,visit,11,
591,مرأة,woman,25,
592,صحة,health; correctness,7,
593,مناسبة,occasion; event; suitable/appropriate (feminine),18,
594,قسم,section; department; oath; divided (depending on vocalization),26,
595,قائمة,list; menu,58,
596,مشاكل,problems,4,
597,غريب,strange; foreign; odd,12,
598,حقوق,rights,6,
599,جمعية,association; society; organization,18,
600,بيع,sale; selling,7,
601,حاليا,currently; at present,3,
602,رجاء,request; hope; please (as a polite formula),7,
603,أحضر,brought; prepared/presented (depending on form),5,
604,سيء,bad; poor,1,
605,سلاح,weapon; arms,12,
606,يطلب,asks for; requests; demands,1,
607,مناطق,regions; areas,4,
608,شخصية,personality; character,20,
609,رياضي,sporting; athletic,15,
610,يتذكر,remembers,1,
611,أداء,performance; execution,4,
612,مؤسسة,institution; organization,18,
613,سعر,price; priced,21,
614,تراجع,decline; retreat; retreated/declined,9,
615,أهمية,importance,9,
616,واضح,clear; obvious,15,
617,أحيان,times; occasions (commonly in أحيانًا = sometimes),6,
618,جريمة,crime,7,
619,مؤكدا,confirmed; certain; confirming/emphasizing (context-dependent),6,
620,أتى,came; arrived,9,
621,حالي,current; present,7,
622,يدفع,pays; pushes,1,
623,تالي,next; following,16,
624,إقامة,residence; establishment; holding,8,
625,إنتاج,production; output,6,
626,معا,together,1,
627,أطلق,launched; released; fired; set free,6,
628,أنتم,you (masculine plural),2,
629,حماية,protection,7,
630,صور,pictures; images; photographed,10,
631,يتكلم,speaks; talks,1,
632,إحدى,one of (feminine); one of two,11,
633,فوق,above; over,9,
634,سوى,except; other than; apart from,10,
635,سجل,record; register; recorded/registered,8,
636,وحده,alone; by himself/itself,90,
637,نساء,women,14,
638,قصة,story,20,
639,خذ,take!,1,
640,طبيب,doctor; physician,6,
641,مباشرة,directly; direct; immediate,23,
642,جمهورية,republic,18,
643,بأس,harm; hardship; بأس; often in لا بأس = no problem/not bad,19,
644,أشهر,months; more famous/most famous (depending on vocalization),15,
645,ملك,angel (مَلَك); unvocalized spelling can also represent king/possession in other contexts,29,
646,قضاء,judgment; ruling; judiciary; judicial authority; fulfillment/performance,12,
647,دراسة,study,29,
648,متأكد,sure; certain; confident,6,
649,سياسة,politics; policy,20,
650,صعب,was difficult; became hard,7,
651,دخل,income; revenue; entered,7,
652,يقتل,kills; is killed (voice depends on vocalization/context),3,
653,عالمي,global; worldwide; international,31,
654,أمم,nations; peoples,8,
655,أمل,hope,14,
656,اعتبار,consideration; regard,6,
657,نهائي,final; definitive,13,
658,مئة,one hundred; hundred,42,
659,تنظيم,organization; regulation; organizing,13,
660,نجاح,success,9,
661,دورة,course; cycle; round; session,30,
662,لعبة,game; toy,28,
663,رد,reply; response; return; replied/returned,13,
664,تنمية,development; growth,19,
665,اهتمام,interest; attention; concern,6,
666,إطار,framework; frame,6,
667,أمنية,wish; desire,24,
668,مسؤول,official; person responsible; responsible person,12,
669,قائد,leader; commander; driver,12,
670,مصادر,sources,10,
671,وقع,happened; occurred; fell; was located,21,
672,مباريات,matches; games,7,
673,لاحق,subsequent; later; following; followed/caught up with,25,
674,اتصل,contacted; connected; call!/contact!,6,
675,محاولة,attempt; try,18,
676,كون,being; existence; formed/created,17,
677,أراد,wanted; desired; intended,8,
678,إصابة,injury; casualty,15,
679,عشرة,ten; companionship/association (depending on vocalization),30,
680,مهما,whatever; no matter what,3,
681,يمثل,represents; constitutes; acts/portrays,3,
682,اختيار,choice; selection,12,
683,شهد,witnessed; observed,1,
684,إجراء,procedure; measure; action; carrying out,12,
