Front,Back
في,"Rank: 1

Meaning: in; at

Published POS: preposition

Sources:
- Al-Said (2023), Table 4 — rank 1 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
أن,"Rank: 2

Meaning: that; to (subordinator: أَنْ; أَنَّ)

Published POS: particle

Sources:
- Al-Said (2023), Table 4 — rank 2 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
من,"Rank: 3

Meaning: from; who; whom

Published POS: preposition / relative/interrogative pronoun

Sources:
- Al-Said (2023), Table 4 — rank 3 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
على,"Rank: 4

Meaning: on; upon; over

Published POS: preposition

Sources:
- Al-Said (2023), Table 4 — rank 4 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
لا,"Rank: 5

Meaning: no; not

Published POS: particle

Sources:
- Al-Said (2023), Table 4 — rank 5 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
إلى,"Rank: 6

Meaning: to; toward

Published POS: preposition

Sources:
- Al-Said (2023), Table 4 — rank 6 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
هذا,"Rank: 7

Meaning: this (masculine singular)

Published POS: demonstrative

Sources:
- Al-Said (2023), Table 4 — rank 7 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
كان,"Rank: 8

Meaning: was; were; be (past form of كان)

Published POS: perfect/past verb

Sources:
- Al-Said (2023), Table 4 — rank 8 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
إن,"Rank: 9

Meaning: if (إِنْ); indeed; certainly (إِنَّ)

Published POS: particle

Sources:
- Al-Said (2023), Table 4 — rank 9 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
ما,"Rank: 10

Meaning: what; that which

Published POS: relative/interrogative pronoun

Sources:
- Al-Said (2023), Table 4 — rank 10 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
له,"Rank: 11

Meaning: to him; for him; he has

Published POS: preposition

Sources:
- Al-Said (2023), Table 4 — rank 11 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
أنا,"Rank: 12

Meaning: I

Published POS: pronoun

Sources:
- Al-Said (2023), Table 4 — rank 12 and source POS/vocalization inventory
- CALIMA-MSA r13 via CAMeL Tools — morphology/root cross-check only
- Learner-safety semantic review — clean English meaning; raw analyzer glosses are not exposed"
