rank,front,meaning,status,wordfreq_zipf,kaikki_entry,kaikki_semantic_support,kaikki_overlap_terms,readurdu_entry,readurdu_semantic_support,calima_exact_analyses,flags
1001,منتدى,assembly room; gathering place,verified_strong,4.610,True,True,"assembly,gather,gathering,place",,,1,
1002,و,and,verified_morphology_review_semantics,6.870,True,False,,,,1,
1003,ل,for; to,verified_morphology_review_semantics,5.700,True,False,,,,1,
1004,ب,with; by,verified_morphology_review_semantics,5.850,True,False,,,,1,
1005,ثاني,second; next,verified_morphology_review_semantics,4.970,True,False,,,,1,
1006,خبر,news; report,verified_strong,4.860,True,True,"new,news",,,6,
1007,أمكن,be possible; make possible for,verified_strong,4.000,True,True,possible,,,4,
1008,عض,biting,verified_strong,3.280,True,True,"bit,biting",,,6,
1009,مطار,airport; airfield,verified_strong,4.890,True,True,"airfield,airport",,,6,
1010,أمريكي,American,verified_strong,5.000,True,True,american,,,6,
1011,سعودي,Saudi,verified_strong,4.800,True,True,saudi,,,6,
1012,مجاني,free; gratis,verified_strong,4.670,True,True,"free,grati,gratis",,,6,
1013,أبيض,white,verified_strong,4.500,True,True,white,,,4,
1014,فيلم,film; movie,verified_strong,5.450,True,True,"film,movie",,,6,
1015,مصري,Egyptian,verified_strong,4.860,True,True,egyptian,,,16,
1016,ولاية,state; province,verified_strong,5.050,True,True,province,,,7,
1017,أيض,metabolism,verified_strong,2.590,True,True,metabolism,,,6,
1018,شبكي,net-like; network,verified_morphology_review_semantics,2.700,False,False,,,,6,
1019,متحد,united,verified_strong,2.830,True,True,"unit,united",,,6,
1020,دولار,dollar,verified_strong,5.570,True,True,dollar,,,6,
1021,تصميم,determination; perseverance,verified_morphology_review_semantics,5.020,True,False,,,,12,
1022,حلقة,ring; circle; link,verified_strong,4.740,True,True,"link,ring",,,7,
1023,آن,time; moment,verified_strong,4.800,True,True,time,,,6,
1024,قناة,canal; channel,verified_strong,5.330,True,True,"canal,channel",,,7,
1025,دكتور,doctor,verified_strong,4.650,True,True,doctor,,,6,
1026,ليزر,laser,verified_strong,3.760,True,True,laser,,,1,
1027,إلكتروني,electronic,verified_strong,4.160,True,True,electronic,,,6,
1028,ثالث,third,verified_strong,4.580,True,True,third,,,6,
1029,سلام,peace,verified_strong,4.850,True,True,peace,,,12,
1030,معلومة,piece of data; known fact; item of information,verified_strong,4.300,True,True,"fact,information,item",,,7,
1031,ضعف,double; multiple,verified_strong,4.830,True,True,double,,,12,
1032,فيديو,video,verified_strong,5.550,True,True,video,,,1,
1033,مملكة,kingdom,verified_strong,4.550,True,True,kingdom,,,14,
1034,محتوى,content,verified_strong,4.580,True,True,content,,,1,
1035,مالي,financial; monetary,verified_strong,4.800,True,True,"financial,monetary",,,6,
1036,ثلاث,three,verified_strong,5.400,True,True,three,,,6,
1037,خارجي,outer; foreign; outside,verified_strong,4.060,True,True,"foreign,outer",,,6,
1038,جد,seriousness; earnestness,verified_morphology_review_semantics,4.620,True,False,,,,18,
1039,مسلسل,serial; sequence,verified_morphology_review_semantics,5.000,True,False,,,,6,
1040,تصحيح,correction,verified_strong,4.130,True,True,correction,,,6,
1041,مدون,record; entry; document,verified_morphology_review_semantics,3.520,False,False,,,,6,
1042,وجب,be necessary; be incumbent,verified_strong,4.070,True,True,"incumbent,necessary",,,5,
1043,فلسطيني,Palestinian,verified_strong,4.410,True,True,palestinian,,,6,
1044,كمبيوتر,computer,verified_strong,4.270,True,True,computer,,,6,
1045,مكتبة,library; bookstore,verified_strong,4.640,True,True,library,,,7,
1046,ثانوي,secondary,verified_strong,4.030,True,True,secondary,,,6,
1047,أمة,nation; people,verified_strong,4.550,True,True,"nation,people",,,14,
1048,علمي,scientific; scholarly; academic,verified_strong,4.500,True,True,"academic,scholarly,scientific",,,6,
