rank,front,meaning,pos,root,frequency,calima_exact_analyses,source
1001,منتدى,assembly room; gathering place,noun,,74643848,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1002,و,and,conj,,68783652,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1003,ل,for; to,prep,,34381494,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1004,ب,with; by,prep,,21420096,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1005,ثاني,second; next,adj,,13278290,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1006,خبر,news; report,noun,خ ب ر,12755221,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1007,أمكن,be possible; make possible for,verb,م ك ن,11733867,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1008,عض,biting,noun,ع ض ض,10419743,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1009,مطار,airport; airfield,noun,,10229592,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1010,أمريكي,American,adj,م ر ك,9755129,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1011,سعودي,Saudi,adj,س ع د,9645048,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1012,مجاني,free; gratis,adj,م ج ن,9560377,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1013,أبيض,white,noun,,9140956,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1014,فيلم,film; movie,noun,,8446797,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1015,مصري,Egyptian,adj,م ص ر,7981863,16,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1016,ولاية,state; province,noun,,7926860,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1017,أيض,metabolism,noun,,7797882,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1018,شبكي,net-like; network,adj,ش ب ك,7316898,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1019,متحد,united,adj,,7268154,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1020,دولار,dollar,noun,,7187111,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1021,تصميم,determination; perseverance,noun,ص م م,6797099,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1022,حلقة,ring; circle; link,noun,ح ل ق,6795392,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1023,آن,time; moment,noun,,6769445,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1024,قناة,canal; channel,noun,,6754311,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1025,دكتور,doctor,noun,,6728901,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1026,ليزر,laser,noun,,6572774,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1027,إلكتروني,electronic,adj,,6357071,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1028,ثالث,third,adj,ث ل ث,6333775,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1029,سلام,peace,noun,س ل م,6171841,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1030,معلومة,piece of data; known fact; item of information,noun,ع ل م,5939574,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1031,ضعف,double; multiple,noun,ض ع ف,5652992,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1032,فيديو,video,noun,,5603752,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1033,مملكة,kingdom,noun,م ل ك,5389691,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1034,محتوى,content,noun,,5359784,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1035,مالي,financial; monetary,adj,,5283007,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1036,ثلاث,three,adj,ث ل ث,5239361,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1037,خارجي,outer; foreign; outside,adj,خ ر ج,5128529,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1038,جد,seriousness; earnestness,noun,ج د د,5109449,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1039,مسلسل,serial; sequence,noun,س ل س ل,4981895,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1040,تصحيح,correction,noun,ص ح ح,4964256,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1041,مدون,record; entry; document,noun,,4961430,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1042,وجب,be necessary; be incumbent,verb,,4914109,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1043,فلسطيني,Palestinian,adj,,4871669,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1044,كمبيوتر,computer,noun,,4795367,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1045,مكتبة,library; bookstore,noun,ك ت ب,4705443,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1046,ثانوي,secondary,adj,,4696857,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1047,أمة,nation; people,noun,,4695919,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1048,علمي,scientific; scholarly; academic,adj,ع ل م,4688359,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1049,إسرائيلي,Israeli,adj,,4651605,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1050,سلم,hand over; surrender; greet,verb,س ل م,4651543,3,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1051,م,(A.D.); M; 13th; meter,abbrev,,4628056,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1052,تحميل,burdening; loading; shipment,noun,ح م ل,4568956,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
