rank,front,meaning,pos,root,frequency,calima_raw_meaning,kaikki_meaning,semantic_basis,source
1001,منتدى,assembly room; gathering place,noun,,74643848,assembly room;gathering place,"an internet forum, internet forums; place whither the people are called together, gathering place, meeting location, forum, assembly",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1002,خبر,news,noun,خ ب ر,12755221,news;report,"news; rumor, story; matter, affair",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1003,أمكن,be possible; make possible for,verb,م ك ن,11733867,be possible;make possible for,firmer established; to be possible for (someone); elative degree of مَكِين (makīn),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1004,عض,biting,noun,ع ض ض,10419743,biting,bite; biting; to taunt,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1005,مطار,airport; airfield,noun,,10229592,airport;airfield,"airport, airfield",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1006,أمريكي,American,adj,م ر ك,9755129,American,American,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1007,سعودي,Saudi,adj,س ع د,9645048,Saudi,Saudi,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1008,مجاني,free; gratis,adj,م ج ن,9560377,free;gratis,"free of charge, gratis",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1009,أبيض,white,noun,,9140956,white,white,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1010,فيلم,film; movie,noun,,8446797,film;movie,"film, movie",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1011,مصري,Egyptian,adj,م ص ر,7981863,Egyptian,Egyptian,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1012,ولاية,province,noun,,7926860,state;province,"authority; province, governorate; verbal noun of وَلِيَ (waliya) (form I)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1013,أيض,metabolism,noun,,7797882,metabolism,return; metabolism; to metabolize,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1014,متحد,united,adj,,7268154,united,united,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1015,دولار,dollar,noun,,7187111,dollar,dollar,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1016,حلقة,ring; link,noun,ح ل ق,6795392,ring;circle;link,"ring, loop; link of a chain; ring (as jewellery)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1017,آن,time,noun,,6769445,time;moment,"time; to be or become gentle with; to be or become at rest, at ease",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1018,قناة,canal; channel,noun,,6754311,canal;channel,"spear, lance; channel, canal; TV/YouTube, etc channel",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1019,دكتور,doctor,noun,,6728901,doctor,doctor,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1020,ليزر,laser,noun,,6572774,laser,laser,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1021,إلكتروني,electronic,adj,,6357071,electronic,electronic,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1022,ثالث,third,adj,ث ل ث,6333775,third,third,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1023,سلام,peace,noun,س ل م,6171841,peace,peace; greeting; verbal noun of سَالَمَ (sālama) (form III),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1024,معلومة,known fact; item of information,noun,ع ل م,5939574,piece of data;known fact;item of information,"fact, item of information; feminine singular of مَعْلُوم (maʕlūm)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1025,ضعف,double,noun,ض ع ف,5652992,double;multiple,double; weakness; to weaken,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1026,فيديو,video,noun,,5603752,video,video,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
