frequency,front,kaikki_meaning,reason
13278290,ثاني,,no_kaikki_semantic_entry
7316898,شبكي,,no_kaikki_semantic_entry
6797099,تصميم,"firm decision, fixed intention; austerity, stringency, strictness; verbal noun of صَمَّمَ (ṣammama) (form II)",no_calima_kaikki_semantic_agreement
5109449,جد,glory; ancient; Majesty,no_calima_kaikki_semantic_agreement
4981895,مسلسل,series; striped; soap opera,no_calima_kaikki_semantic_agreement
4961430,مدون,,no_kaikki_semantic_entry
4651543,سلم,peace; stones; captives,no_calima_kaikki_semantic_agreement
4568956,تحميل,verbal noun of حَمَّلَ (ḥammala) (form II),no_calima_kaikki_semantic_agreement
4381056,ال,the,no_calima_kaikki_semantic_agreement
4352966,صيانة,modesty; chastity; protection,no_calima_kaikki_semantic_agreement
4025066,مخالف,"against, anti-; opponent, objector, dissenter; contrary, disagreeing, opposed",no_calima_kaikki_semantic_agreement
4017299,راوند,rhubarb,no_calima_kaikki_semantic_agreement
3873852,قرني,,no_kaikki_semantic_entry
3609780,أوربي,,no_kaikki_semantic_entry
3604376,جمهوري,republican,no_calima_kaikki_semantic_agreement
3521258,جوال,"mobile phone; mobile, portable; ranger, rifleman",no_calima_kaikki_semantic_agreement
3511346,تبليغ,verbal noun of بَلَّغَ (ballaḡa) (form II),no_calima_kaikki_semantic_agreement
3399993,مدني,urban; citizen; Medinan,no_calima_kaikki_semantic_agreement
3398664,مقال,"a comment; a remark; speech, utterance; words; verbal noun of قَالَ (qāla) (form I)",no_calima_kaikki_semantic_agreement
3376968,جمع,to add; addition; to contain,no_calima_kaikki_semantic_agreement
3191524,أمني,,no_kaikki_semantic_entry
3130684,عامل,"motive power; active, effective; to do business with",no_calima_kaikki_semantic_agreement
3056172,وفق,logarithm; to assist; to succeed,no_calima_kaikki_semantic_agreement
2934532,أمارة,,no_kaikki_semantic_entry
2895031,أدب,culture; decency; civility,no_calima_kaikki_semantic_agreement
2881666,خصوص,"particular attachment, friendship, affection; particularity, speciality, specialty, peculiarity",no_calima_kaikki_semantic_agreement
2846694,تواصل,to be interconnected; to come at the same time; to be united by friendship,no_calima_kaikki_semantic_agreement
2815245,تركي,Turk,no_calima_kaikki_semantic_agreement
2809563,سبت,,no_kaikki_semantic_entry
2803737,ورى,show; creation; strike fire,no_calima_kaikki_semantic_agreement
2781373,تعريف,tariff; guessing; assertion,no_calima_kaikki_semantic_agreement
2771077,إطلاق,verbal noun of أَطْلَقَ (ʔaṭlaqa) (form IV),no_calima_kaikki_semantic_agreement
2737557,مباشر,manager; director; inspector,no_calima_kaikki_semantic_agreement
