rank,front,meaning,status,wordfreq_zipf,kaikki_entry,kaikki_semantic_support,kaikki_overlap_terms,readurdu_entry,readurdu_semantic_support,calima_exact_analyses,flags
1002,و,and,verified_morphology_review_semantics,6.870,True,False,,,,1,
1003,ل,for; to,verified_morphology_review_semantics,5.700,True,False,,,,1,
1004,ب,with; by,verified_morphology_review_semantics,5.850,True,False,,,,1,
1005,ثاني,second; next,verified_morphology_review_semantics,4.970,True,False,,,,1,
1018,شبكي,net-like; network,verified_morphology_review_semantics,2.700,False,False,,,,6,
1021,تصميم,determination; perseverance,verified_morphology_review_semantics,5.020,True,False,,,,12,
1038,جد,seriousness; earnestness,verified_morphology_review_semantics,4.620,True,False,,,,18,
1039,مسلسل,serial; sequence,verified_morphology_review_semantics,5.000,True,False,,,,6,
1041,مدون,record; entry; document,verified_morphology_review_semantics,3.520,False,False,,,,6,
1050,سلم,hand over; surrender; greet,verified_morphology_review_semantics,4.670,True,False,,,,3,
1051,م,(A.D.); M; 13th; meter,verified_morphology_review_semantics,5.510,True,False,,,,1,
1052,تحميل,burdening; loading; shipment,verified_morphology_review_semantics,4.770,True,False,,,,6,
1058,ال,the,verified_morphology_review_semantics,5.550,True,False,,,,1,
1060,صيانة,maintenance; preservation,verified_morphology_review_semantics,4.010,True,False,,,,7,
1070,مخالف,divergent; violating,verified_morphology_review_semantics,3.930,True,False,,,,6,
1072,قرني,centenary,verified_morphology_review_semantics,2.900,False,False,,,,12,
1079,ضرر,damage; injury; harm,verified_morphology_review_semantics,4.200,True,False,,,,12,
1082,شب,youth,verified_morphology_review_semantics,3.650,True,False,,,,12,
1083,زال,cease; stop being; stop doing,verified_morphology_review_semantics,4.920,True,False,,,,2,
1084,أوربي,European,verified_morphology_review_semantics,2.760,True,False,,,,6,
1085,جمهوري,multitude; public,verified_morphology_review_semantics,3.540,True,False,,,,1,
1089,جوال,itinerant; wandering,verified_morphology_review_semantics,3.990,True,False,,,,6,
1091,تبليغ,conveyance; notification; informing,verified_morphology_review_semantics,3.190,True,False,,,,6,
1092,أ,A; 1st,verified_morphology_review_semantics,4.980,True,False,,,,1,
1093,مدني,civilian,verified_morphology_review_semantics,4.400,True,False,,,,6,
1094,مقال,article; essay,verified_morphology_review_semantics,4.560,True,False,,,,8,
