Front,Back
urdu_word_1001,"Definition (EN):
Placeholder for word 1001

Example:
""Example sentence 1001""

Translation:
English translation 1001"
urdu_word_1002,"Definition (EN):
Placeholder for word 1002

Example:
""Example sentence 1002""

Translation:
English translation 1002"
urdu_word_1003,"Definition (EN):
Placeholder for word 1003

Example:
""Example sentence 1003""

Translation:
English translation 1003"
urdu_word_1004,"Definition (EN):
Placeholder for word 1004

Example:
""Example sentence 1004""

Translation:
English translation 1004"
urdu_word_1005,"Definition (EN):
Placeholder for word 1005

Example:
""Example sentence 1005""

Translation:
English translation 1005"
urdu_word_1006,"Definition (EN):
Placeholder for word 1006

Example:
""Example sentence 1006""

Translation:
English translation 1006"
urdu_word_1007,"Definition (EN):
Placeholder for word 1007

Example:
""Example sentence 1007""

Translation:
English translation 1007"
urdu_word_1008,"Definition (EN):
Placeholder for word 1008

Example:
""Example sentence 1008""

Translation:
English translation 1008"
urdu_word_1009,"Definition (EN):
Placeholder for word 1009

Example:
""Example sentence 1009""

Translation:
English translation 1009"
urdu_word_1010,"Definition (EN):
Placeholder for word 1010

Example:
""Example sentence 1010""

Translation:
English translation 1010"
urdu_word_1011,"Definition (EN):
Placeholder for word 1011

Example:
""Example sentence 1011""

Translation:
English translation 1011"
urdu_word_1012,"Definition (EN):
Placeholder for word 1012

Example:
""Example sentence 1012""

Translation:
English translation 1012"
urdu_word_1013,"Definition (EN):
Placeholder for word 1013

Example:
""Example sentence 1013""

Translation:
English translation 1013"
urdu_word_1014,"Definition (EN):
Placeholder for word 1014

Example:
""Example sentence 1014""

Translation:
English translation 1014"
urdu_word_1015,"Definition (EN):
Placeholder for word 1015

Example:
""Example sentence 1015""

Translation:
English translation 1015"
urdu_word_1016,"Definition (EN):
Placeholder for word 1016

Example:
""Example sentence 1016""

Translation:
English translation 1016"
urdu_word_1017,"Definition (EN):
Placeholder for word 1017

Example:
""Example sentence 1017""

Translation:
English translation 1017"
urdu_word_1018,"Definition (EN):
Placeholder for word 1018

Example:
""Example sentence 1018""

Translation:
English translation 1018"
urdu_word_1019,"Definition (EN):
Placeholder for word 1019

Example:
""Example sentence 1019""

Translation:
English translation 1019"
urdu_word_1020,"Definition (EN):
Placeholder for word 1020

Example:
""Example sentence 1020""

Translation:
English translation 1020"
urdu_word_1021,"Definition (EN):
Placeholder for word 1021

Example:
""Example sentence 1021""

Translation:
English translation 1021"
urdu_word_1022,"Definition (EN):
Placeholder for word 1022

Example:
""Example sentence 1022""

Translation:
English translation 1022"
urdu_word_1023,"Definition (EN):
Placeholder for word 1023

Example:
""Example sentence 1023""

Translation:
English translation 1023"
urdu_word_1024,"Definition (EN):
Placeholder for word 1024

Example:
""Example sentence 1024""

Translation:
English translation 1024"
urdu_word_1025,"Definition (EN):
Placeholder for word 1025

Example:
""Example sentence 1025""

Translation:
English translation 1025"
urdu_word_1026,"Definition (EN):
Placeholder for word 1026

Example:
""Example sentence 1026""

Translation:
English translation 1026"
urdu_word_1027,"Definition (EN):
Placeholder for word 1027

Example:
""Example sentence 1027""

Translation:
English translation 1027"
urdu_word_1028,"Definition (EN):
Placeholder for word 1028

Example:
""Example sentence 1028""

Translation:
English translation 1028"
urdu_word_1029,"Definition (EN):
Placeholder for word 1029

Example:
""Example sentence 1029""

Translation:
English translation 1029"
urdu_word_1030,"Definition (EN):
Placeholder for word 1030

Example:
""Example sentence 1030""

Translation:
English translation 1030"
urdu_word_1031,"Definition (EN):
Placeholder for word 1031

Example:
""Example sentence 1031""

Translation:
English translation 1031"
urdu_word_1032,"Definition (EN):
Placeholder for word 1032

Example:
""Example sentence 1032""

Translation:
English translation 1032"
urdu_word_1033,"Definition (EN):
Placeholder for word 1033

Example:
""Example sentence 1033""

Translation:
English translation 1033"
urdu_word_1034,"Definition (EN):
Placeholder for word 1034

Example:
""Example sentence 1034""

Translation:
English translation 1034"
urdu_word_1035,"Definition (EN):
Placeholder for word 1035

Example:
""Example sentence 1035""

Translation:
English translation 1035"
urdu_word_1036,"Definition (EN):
Placeholder for word 1036

Example:
""Example sentence 1036""

Translation:
English translation 1036"
urdu_word_1037,"Definition (EN):
Placeholder for word 1037

Example:
""Example sentence 1037""

Translation:
English translation 1037"
urdu_word_1038,"Definition (EN):
Placeholder for word 1038

Example:
""Example sentence 1038""

Translation:
English translation 1038"
urdu_word_1039,"Definition (EN):
Placeholder for word 1039

Example:
""Example sentence 1039""

Translation:
English translation 1039"
urdu_word_1040,"Definition (EN):
Placeholder for word 1040

Example:
""Example sentence 1040""

Translation:
English translation 1040"
urdu_word_1041,"Definition (EN):
Placeholder for word 1041

Example:
""Example sentence 1041""

Translation:
English translation 1041"
urdu_word_1042,"Definition (EN):
Placeholder for word 1042

Example:
""Example sentence 1042""

Translation:
English translation 1042"
urdu_word_1043,"Definition (EN):
Placeholder for word 1043

Example:
""Example sentence 1043""

Translation:
English translation 1043"
urdu_word_1044,"Definition (EN):
Placeholder for word 1044

Example:
""Example sentence 1044""

Translation:
English translation 1044"
urdu_word_1045,"Definition (EN):
Placeholder for word 1045

Example:
""Example sentence 1045""

Translation:
English translation 1045"
urdu_word_1046,"Definition (EN):
Placeholder for word 1046

Example:
""Example sentence 1046""

Translation:
English translation 1046"
urdu_word_1047,"Definition (EN):
Placeholder for word 1047

Example:
""Example sentence 1047""

Translation:
English translation 1047"
urdu_word_1048,"Definition (EN):
Placeholder for word 1048

Example:
""Example sentence 1048""

Translation:
English translation 1048"
urdu_word_1049,"Definition (EN):
Placeholder for word 1049

Example:
""Example sentence 1049""

Translation:
English translation 1049"
urdu_word_1050,"Definition (EN):
Placeholder for word 1050

Example:
""Example sentence 1050""

Translation:
English translation 1050"
urdu_word_1051,"Definition (EN):
Placeholder for word 1051

Example:
""Example sentence 1051""

Translation:
English translation 1051"
urdu_word_1052,"Definition (EN):
Placeholder for word 1052

Example:
""Example sentence 1052""

Translation:
English translation 1052"
urdu_word_1053,"Definition (EN):
Placeholder for word 1053

Example:
""Example sentence 1053""

Translation:
English translation 1053"
urdu_word_1054,"Definition (EN):
Placeholder for word 1054

Example:
""Example sentence 1054""

Translation:
English translation 1054"
urdu_word_1055,"Definition (EN):
Placeholder for word 1055

Example:
""Example sentence 1055""

Translation:
English translation 1055"
urdu_word_1056,"Definition (EN):
Placeholder for word 1056

Example:
""Example sentence 1056""

Translation:
English translation 1056"
urdu_word_1057,"Definition (EN):
Placeholder for word 1057

Example:
""Example sentence 1057""

Translation:
English translation 1057"
urdu_word_1058,"Definition (EN):
Placeholder for word 1058

Example:
""Example sentence 1058""

Translation:
English translation 1058"
urdu_word_1059,"Definition (EN):
Placeholder for word 1059

Example:
""Example sentence 1059""

Translation:
English translation 1059"
urdu_word_1060,"Definition (EN):
Placeholder for word 1060

Example:
""Example sentence 1060""

Translation:
English translation 1060"
urdu_word_1061,"Definition (EN):
Placeholder for word 1061

Example:
""Example sentence 1061""

Translation:
English translation 1061"
urdu_word_1062,"Definition (EN):
Placeholder for word 1062

Example:
""Example sentence 1062""

Translation:
English translation 1062"
urdu_word_1063,"Definition (EN):
Placeholder for word 1063

Example:
""Example sentence 1063""

Translation:
English translation 1063"
