rank,front,meaning,meaning_selection,frequency,wordfreq_zipf,legacy_agrees,kaikki_agrees,freedict_agrees,readurdu_agrees,omw_agrees,tufs_entry,tufs_omw_agrees,independent_semantic_sources,overlap_terms,status
1,être,be,freedict,43533.111,6.38,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""be"", ""kaikki"": ""be"", ""omw"": ""be""}",verified_strong
2,avoir,have; wear; have got,freedict,32763.514000000006,6.08,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""got|have|wear"", ""kaikki"": ""have"", ""omw"": ""got|have""}",verified_strong
3,de,at; by; of; on,freedict,26323.443,7.68,False,False,True,False,False,False,False,,"{""freedict"": ""at|by|of|on""}",review
4,je,I,freedict,25930.797,6.89,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""i"", ""kaikki"": ""i"", ""omw"": ""i""}",verified_strong
5,pas,not; pace; step; stride,freedict,18206.634000000002,7.00,False,True,True,False,True,False,False,kaikki|omw,"{""freedict"": ""not|pace|step|stride"", ""kaikki"": ""pace|step"", ""omw"": ""not|pace|step|stride""}",verified_strong
6,le,the; him; it (masculine direct-object pronoun),explicit_high_risk_review,16539.028,7.35,False,True,True,False,False,False,False,freedict|kaikki,"{""freedict"": ""him|it"", ""kaikki"": ""him|it""}",verified_explicit_review
7,que,who; than; that,freedict,14272.813999999998,7.07,False,True,True,False,False,False,False,kaikki,"{""freedict"": ""than"", ""kaikki"": ""than""}",verified
8,vous,ye; you; to you,freedict,14039.193,6.56,False,True,True,False,False,True,False,kaikki,"{""freedict"": ""ye|you"", ""kaikki"": ""you""}",verified
9,tu,you; thou,freedict,13851.563,6.50,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""thou|you"", ""kaikki"": ""you"", ""omw"": ""thou""}",verified_strong
10,et,and,freedict,12851.275,7.31,False,True,True,False,False,True,False,kaikki,"{""freedict"": ""and"", ""kaikki"": ""and""}",verified
11,il,he; it; him,freedict,12534.93,6.98,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""he|him|it"", ""kaikki"": ""he|it"", ""omw"": ""he""}",verified_strong
12,un,a; an; any; one,freedict,12499.551,7.11,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""any"", ""kaikki"": ""a|an|one"", ""omw"": ""an|one""}",verified_strong
13,aller,go; fare; ride; travel,freedict,9819.413999999999,5.61,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""fare|go|ride|travel"", ""kaikki"": ""go"", ""omw"": ""fare|go|ride|travel""}",verified_strong
14,faire,do; act; get; make,freedict,9060.416,6.34,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""act|do|get|make"", ""kaikki"": ""do|get|make"", ""omw"": ""act|do|get|make""}",verified_strong
15,en,at; by; in; on,freedict,8856.880000000001,7.17,False,False,True,False,True,False,False,omw,"{""freedict"": ""at|by|in|on"", ""omw"": ""at|in""}",verified
16,ça,that; it; this (informal demonstrative pronoun),explicit_high_risk_review,8446.718,6.53,False,True,False,False,False,True,False,kaikki,"{""kaikki"": ""it""}",verified_explicit_review
17,on,one; you; they,freedict,8250.566,6.71,False,True,True,False,False,True,False,kaikki,"{""freedict"": ""they|you"", ""kaikki"": ""you""}",verified
18,une,a; an; one (feminine),explicit_high_risk_review,8200.87,7.00,False,True,True,False,True,False,False,freedict|kaikki|omw,"{""freedict"": ""a|an"", ""kaikki"": ""an"", ""omw"": ""an""}",verified_explicit_review
19,ce,that; those; that over there,freedict,7973.8949999999995,6.78,False,False,True,False,False,True,False,,"{""freedict"": ""over|there|those""}",review
20,pour,to; for; per; in order to,freedict,7716.873,6.98,False,True,True,False,False,False,False,kaikki,"{""freedict"": ""order|per"", ""kaikki"": ""for""}",verified
21,pouvoir,be able to,freedict,6391.520999999999,5.50,False,False,True,False,False,False,False,,"{""freedict"": ""able""}",review
22,dire,say; tell,freedict,6158.514999999999,5.96,False,False,True,False,True,True,False,omw,"{""freedict"": ""say|tell"", ""omw"": ""say|tell""}",verified
23,vouloir,want; wish; be willing to,freedict,5240.313,4.88,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""want|will|wish"", ""kaikki"": ""want|will|wish"", ""omw"": ""want|will|wish""}",verified_strong
24,qui,who; that,freedict,5186.133,6.89,False,False,True,False,True,True,False,omw,"{""freedict"": ""that|who"", ""omw"": ""who""}",verified
25,mais,but,freedict,5100.756,6.62,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""but"", ""kaikki"": ""but"", ""omw"": ""but""}",verified_strong
26,savoir,know; know how,freedict,5002.518000000001,5.51,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""how|know"", ""kaikki"": ""know"", ""omw"": ""how|know""}",verified_strong
27,nous,us; we; to us,freedict,4773.32,6.43,False,True,True,False,False,True,False,kaikki,"{""freedict"": ""us|we"", ""kaikki"": ""us|we""}",verified
28,dans,a; in; on; per,freedict,4720.829,6.91,False,True,True,False,True,False,False,kaikki|omw,"{""freedict"": ""per"", ""kaikki"": ""in"", ""omw"": ""in""}",verified_strong
29,elle,it; her; she,freedict,4591.746999999999,6.49,False,True,True,False,False,True,False,kaikki,"{""freedict"": ""her|it|she"", ""kaikki"": ""it|she""}",verified
30,bien,yes; farm; okay; very,freedict,4550.016,6.37,False,False,True,False,True,True,False,omw,"{""freedict"": ""farm|okay|very|yes"", ""omw"": ""okay|very""}",verified
31,me,me; to me,freedict,4466.754,6.31,False,True,True,False,True,False,False,kaikki|omw,"{""freedict"": ""me"", ""kaikki"": ""me"", ""omw"": ""me""}",verified_strong
32,si,as; if; so; yes,freedict,4392.0509999999995,6.46,False,True,True,False,True,False,False,kaikki|omw,"{""freedict"": ""if|so|yes"", ""kaikki"": ""if"", ""omw"": ""so|yes""}",verified_strong
33,du,of the; from the; some (partitive),explicit_high_risk_review,4123.684,6.99,False,True,True,False,False,False,False,freedict|kaikki,"{""freedict"": ""of the"", ""kaikki"": ""partitive""}",verified_explicit_review
34,non,no,freedict,4073.962,6.08,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""no"", ""kaikki"": ""no"", ""omw"": ""no""}",verified_strong
35,avec,with,freedict,3938.06,6.65,False,True,True,False,False,True,False,kaikki,"{""freedict"": ""with"", ""kaikki"": ""with""}",verified
36,devoir,job; owe; duty; must,freedict,3888.9669999999996,4.99,False,True,True,False,True,False,False,kaikki|omw,"{""freedict"": ""duty|job|must|owe"", ""kaikki"": ""duty|must"", ""omw"": ""duty|must|owe""}",verified_strong
37,plus,on; else; more; plus,freedict,3765.469,6.68,False,True,True,False,True,False,False,kaikki|omw,"{""freedict"": ""else|more|plus"", ""kaikki"": ""more|plus"", ""omw"": ""more|plus""}",verified_strong
38,mon,my (masculine singular; also before vowel-initial feminine nouns),explicit_high_risk_review,3716.462,6.21,False,True,True,False,False,False,False,freedict|kaikki,"{""freedict"": ""my"", ""kaikki"": ""my|vowel-initial""}",verified_explicit_review
39,voir,see,freedict,3678.273999999999,5.94,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""see"", ""kaikki"": ""see"", ""omw"": ""see""}",verified_strong
40,te,you; yourself (object/reflexive pronoun),explicit_high_risk_review,3493.949,5.96,False,True,True,False,False,False,False,freedict|kaikki,"{""freedict"": ""you"", ""kaikki"": ""you""}",verified_explicit_review
41,moi,me; myself,explicit_high_risk_review,3272.8160000000003,6.17,False,True,True,False,True,True,False,freedict|kaikki|omw,"{""freedict"": ""me"", ""kaikki"": ""me"", ""omw"": ""me""}",verified_explicit_review
42,oui,yes,freedict,3111.411,5.80,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""yes"", ""kaikki"": ""yes"", ""omw"": ""yes""}",verified_strong
43,tout,all; very; quite; at all,freedict,2966.5670000000005,6.44,False,True,True,False,True,True,False,kaikki|omw,"{""freedict"": ""all|quite|very"", ""kaikki"": ""all"", ""omw"": ""all""}",verified_strong
44,sur,at; on; upon; with,freedict,2962.453,6.77,False,False,True,False,True,True,False,omw,"{""freedict"": ""upon"", ""omw"": ""at""}",verified
45,ils,they,freedict,2940.297,6.36,False,True,True,False,False,True,False,kaikki,"{""freedict"": ""they"", ""kaikki"": ""they""}",verified
46,se,itself; herself; himself,kaikki,2685.462,6.56,False,True,False,False,False,False,False,,"{""kaikki"": ""herself|himself|itself""}",review
