Front,Back
le,"Rank: 1

Meaning: on; a, an, per; him, her, it, them

Part of speech: article/determiner / noun / pronoun

Frequency evidence: 43109.44

Sources:
- Lexique 4 lemma frequency + Kaikki/Wiktextract English gloss
- Learner candidate only; requires independent verification before promotion"
je,"Rank: 2

Meaning: I

Part of speech: noun / pronoun

Frequency evidence: 35592.509

Sources:
- Lexique 4 lemma frequency + Kaikki/Wiktextract English gloss
- Learner candidate only; requires independent verification before promotion"
être,"Rank: 3

Meaning: to be; the passive voice; all reflexive verbs

Part of speech: auxiliary verb / noun / verb

Frequency evidence: 35040.212

Sources:
- Lexique 4 lemma frequency + Kaikki/Wiktextract English gloss
- Learner candidate only; requires independent verification before promotion"
d,"Rank: 4

Meaning: abbreviation of dame (“queen”): Q; The fourth letter of the French alphabet, written in the Latin script

Part of speech: adjective / noun / preposition

Frequency evidence: 34097.073

Sources:
- Lexique 4 lemma frequency + Kaikki/Wiktextract English gloss
- Learner candidate only; requires independent verification before promotion"
de,"Rank: 5

Meaning: by (an amount); after certain verbs; abbreviation of dame

Part of speech: noun / preposition

Frequency evidence: 34097.073

Sources:
- Lexique 4 lemma frequency + Kaikki/Wiktextract English gloss
- Learner candidate only; requires independent verification before promotion"
un,"Rank: 6

Meaning: one; an, a

Part of speech: adjective / article/determiner / noun / pronoun

Frequency evidence: 24523.364

Sources:
- Lexique 4 lemma frequency + Kaikki/Wiktextract English gloss
- Learner candidate only; requires independent verification before promotion"
une,"Rank: 7

Meaning: front page (of a publication); feminine singular of un (“one”); feminine singular of un (“a / an”), the feminine indefinite article

Part of speech: adjective / article/determiner / noun / pronoun

Frequency evidence: 24523.364

Sources:
- Lexique 4 lemma frequency + Kaikki/Wiktextract English gloss
- Learner candidate only; requires independent verification before promotion"
avoir,"Rank: 8

Meaning: to have (an age); asset, possession; to have (to), must

Part of speech: auxiliary verb / noun / verb

Frequency evidence: 19741.582

Sources:
- Lexique 4 lemma frequency + Kaikki/Wiktextract English gloss
- Learner candidate only; requires independent verification before promotion"
c,"Rank: 9

Meaning: Informal spelling of c'est; abbreviation of cavalier (“knight”): N; The third letter of the French alphabet, written in the Latin script

Part of speech: adjective / noun / pronoun

Frequency evidence: 18912.297

Sources:
- Lexique 4 lemma frequency + Kaikki/Wiktextract English gloss
- Learner candidate only; requires independent verification before promotion"
ce,"Rank: 10

Meaning: it; this, that; works council

Part of speech: adjective / pronoun

Frequency evidence: 18912.297

Sources:
- Lexique 4 lemma frequency + Kaikki/Wiktextract English gloss
- Learner candidate only; requires independent verification before promotion"
