rank,front,meaning,status,wordfreq_zipf,kaikki_entry,kaikki_semantic_support,kaikki_overlap_terms,readurdu_entry,readurdu_semantic_support,calima_exact_analyses,flags
1001,les,the (plural); them,explicit_review_required,7.250,True,False,,,,,
1002,réel,"real (reality); real (of a number); real (true, factual, not fictional)",verified_strong,4.690,True,True,"factual,fictional,not,number,real,reality,true",,,,
1003,reculer,"to go astern; to go backwards; to back down, to concede",verified_strong,3.870,True,True,"astern,back,backward,backwards,concede,down,go",,,,
1004,tas,"thing; heap, pile, a great many",verified_strong,4.540,True,True,"great,heap,many,pile,thing",,,,
1005,nécessaire,kit; necessary,verified_strong,4.980,True,True,"kit,necessary",,,,
1006,terrain,"ground, landscape; lot, plot, parcel; field (as in soccer field)",verified_strong,4.980,True,True,"field,ground,in,landscape,lot,parcel,plot,soccer",,,,
1007,billet,"ticket; note, a brief message; ellipsis of billet de banque (“banknote”)",verified_strong,4.460,True,True,"banknote,banque,billet,brief,de,ellipsi,ellipsis,message,note,ticket",,,,
1008,souci,a problem; worry; concern; marigold (flower),verified_strong,4.490,True,True,"concern,flower,marigold,problem,worry",,,,
1009,tante,"aunt; homosexual (man); faggot, fag (US); poof (UK)",verified_strong,4.150,True,True,"aunt,fag,faggot,homosexual,man,poof,uk,us",,,,
1010,portable,portable,verified_strong,4.510,True,True,portable,,,,
1011,poisson,fish (marine animal),verified_strong,4.500,True,True,"animal,fish,marine",,,,
1012,pitié,"pity, mercy",verified_strong,4.400,True,True,"mercy,pity",,,,
1013,oreille,ear,verified_strong,4.390,True,True,ear,,,,
1014,note,"note; mark (UK), grade (US); bill (UK, US), check (US)",verified_strong,4.960,True,True,"bill,check,grade,mark,note,uk,us",,,,
1015,lorsque,when (at a time when),verified_strong,5.240,True,True,"at,time,when",,,,
1016,grand-mère,grandmother,verified_strong,5.290,True,True,grandmother,,,,
1017,avenir,future,verified_strong,4.950,True,True,future,,,,
1018,commander,to order (ask for a product); to order (tell someone to do something),verified_strong,4.170,True,True,"ask,do,order,product,someone,someth,something,tell",,,,
1019,occasion,"cause; bargain, good deal; occasion, opportunity",verified_strong,5.120,True,True,"bargain,cause,deal,good,occasion,opportunity",,,,
1020,voisin,"similar; neighbour, neighbor; neighbouring, neighboring",verified_strong,4.470,True,True,"neighbor,neighboring,neighbour,neighbouring,similar",,,,
1021,cour,court; backyard; following (of a celebrity etc.),verified_strong,5.090,True,True,"backyard,celebrity,court,etc,follow,following",,,,
1022,moquer,to mock; to make fun (of someone); to be indifferent; to not care (about something),verified_strong,3.810,True,True,"about,care,fun,indifferent,make,mock,not,someone,someth,something",,,,
1023,glace,ice; glass; mirror,verified_strong,4.630,True,True,"glas,glass,ice,mirror",,,,
1024,accuser,to accuse; to find fault with; to show; to reveal,verified_strong,3.900,True,True,"accuse,fault,find,reveal,show",,,,
1025,avouer,to avow; to approve; to confess,verified_strong,4.260,True,True,"approve,avow,confes,confess",,,,
1026,concentrer,to concentrate,verified_strong,4.190,True,True,concentrate,,,,
1027,village,"village; town, city",verified_strong,4.900,True,True,"city,town,village",,,,
1028,concerner,"to concern (be concerned with, be associated with)",verified_strong,3.330,True,True,"associat,associated,concern,concerned",,,,
1029,solution,solution,verified_strong,4.970,True,True,solution,,,,
1030,organiser,to organise; to plan an event; to organise; to put something in a specific order,verified_strong,4.470,True,True,"event,in,order,organise,plan,put,someth,something,specific",,,,
1031,sol,"floor; ground; soil, earth",verified_strong,5.000,True,True,"earth,floor,ground,soil",,,,
1032,certainement,"certainly (with certainty, without doubt); probably (very likely, although not entirely sure)",verified_strong,4.740,True,True,"although,certainly,certainty,doubt,entirely,likely,not,probably,sure,very",,,,
1033,fric,"dosh, dough, bread (money)",verified_strong,3.990,True,True,"bread,dosh,dough,money",,,,
1034,spectacle,"a sight, a showing, a display; a show, a spectacle, a performance, a concert",verified_strong,4.730,True,True,"concert,display,performance,show,showing,sight,spectacle",,,,
1035,couple,an ordered pair; a pair of something; a force couple; a pure moment,verified_strong,4.900,True,True,"couple,force,moment,order,ordered,pair,pure,someth,something",,,,
1036,respect,respect,verified_strong,4.910,True,True,respect,,,,
1037,contrat,contract,verified_strong,4.960,True,True,contract,,,,
1038,lien,"link; tie, bond",verified_strong,5.100,True,True,"bond,link,tie",,,,
1039,considérer,"to consider (to look at); to consider, to think of; to consider (to think about)",verified_strong,4.410,True,True,"about,at,consider,look,think",,,,
1040,oiseau,bird,verified_strong,4.310,True,True,bird,,,,
1041,renvoyer,"to echo (of sound, to come back); to refer (somebody to something); to fire, dismiss, expel a student",verified_strong,4.030,True,True,"back,come,dismis,dismiss,echo,expel,fire,refer,somebody,someth",,,,
1042,marié,married; groom (husband to be),verified_strong,4.290,True,True,"groom,husband,marri,married",,,,
1043,énerver,"to be excited; to unnerve, to make nervous; to vex, to get on one's nerves",verified_strong,3.740,True,True,"excit,excited,get,make,nerv,nerve,nerves,nervou,nervous,on",,,,
1044,info,contraction of information; contraction of informatique,verified_strong,4.630,True,True,"contraction,information,informatique",,,,
1045,couteau,knife; razor clam; any bivalve in the genus Solen,verified_strong,4.320,True,True,"any,bivalve,clam,genu,genus,in,knife,razor,solen",,,,
1046,réalité,"reality; actuality; truth; realia, entity in the world",verified_strong,5.040,True,True,"actuality,entity,in,realia,reality,truth,world",,,,
1047,importance,importance; significance,verified_strong,4.850,True,True,"importance,significance",,,,
1048,partenaire,partner,verified_strong,4.510,True,True,partner,,,,
1049,français,French; Franco-American or Francophone,verified_strong,5.780,True,True,"american,franco,francophone,french",,,,
1050,maladie,"illness, disease",verified_strong,4.880,True,True,"disease,illnes,illness",,,,
1051,annuler,"to cancel (to invalidate, to annul)",verified_strong,4.090,True,True,"annul,cancel,invalidate",,,,
1052,piste,piste; runway; racecourse,verified_strong,4.630,True,True,"piste,racecourse,runway",,,,
1053,frais,"cost, charge; fresh (well-rested); fresh, recent (just happened)",verified_strong,4.970,True,True,"charge,cost,fresh,happen,happened,just,recent,rest,rested,well",,,,
1054,taper,"to put up with; to fuck (have sex); to slap, knock, beat",verified_strong,4.340,True,True,"beat,fuck,have,knock,put,sex,slap,up",,,,
1055,rechercher,"to search for, seek, to look for; to search again, to look for again",verified_strong,4.110,True,True,"again,look,search,seek",,,,
1056,déposer,"to deposit (money); to drop off (someone); to put down (set down), lay down",verified_strong,4.270,True,True,"deposit,down,drop,lay,money,off,put,set,someone",,,,
1057,juger,"to judge, to try; to judge, to deem",verified_strong,4.460,True,True,"deem,judge,try",,,,
1058,faible,"weak; low, small (amount, degree, percentage)",verified_strong,4.910,True,True,"amount,degree,low,percentage,small,weak",,,,
1059,pression,"pressure; popper (UK), snap (US) (fastener)",verified_strong,4.850,True,True,"fastener,popper,pressure,snap,uk,us",,,,
1060,salope,slovenly woman; bitch (mean woman); slut (promiscuous woman),verified_strong,4.310,True,True,"mean,slovenly,woman",,,,
1061,fil,"yarn, thread, wire; grain (of wood etc.); edge (of blade, razor etc.)",verified_strong,4.820,True,True,"blade,edge,etc,grain,razor,thread,wire,wood,yarn",,,,
1062,éloigner,"to remove; to distance, to draw or pull away from; to distance oneself, to pull oneself away from",verified_strong,4.050,True,True,"away,distance,draw,oneself,pull,remove",,,,
1063,produire,"to produce, to yield; to perform (of a singer, etc.); to happen, take place (of an event)",verified_strong,4.630,True,True,"etc,event,happen,perform,place,produce,singer,take,yield",,,,
1064,éteindre,"to die out, fade; to put out, to extinguish (a fire); to turn off (a switch, device, etc.)",verified_strong,3.980,True,True,"device,die,etc,extinguish,fade,fire,off,out,put,switch",,,,
1065,sortie,exit; way out; act of exiting; output; connector,verified_strong,5.130,True,True,"act,connector,exit,exiting,out,output,way",,,,
1066,refaire,"to get reaccustomed to; to freshen up, to recuperate; to redo, to do over, to do again, to repeat",verified_strong,4.370,True,True,"again,do,freshen,get,over,reaccustom,reaccustomed,recuperate,redo,repeat",,,,
1067,suivant,"next, following; follower, attendant",verified_strong,4.900,True,True,"attendant,follow,follower,following,next",,,,
1068,justice,justice,verified_strong,5.120,True,True,justice,,,,
1069,entrée,"ticket; mudroom; entrance, way in",verified_strong,5.040,True,True,"entrance,in,mudroom,ticket,way",,,,
1070,énergie,"energy, motivation; energy (quantity that denotes the ability to do work)",verified_strong,4.990,True,True,"ability,denot,denote,denotes,do,energy,motivation,quantity,work",,,,
1071,sexuel,sexual,verified_strong,4.200,True,True,sexual,,,,
1072,vert,green,verified_strong,4.740,True,True,green,,,,
1073,cible,"target; aim, goal",verified_strong,4.510,True,True,"aim,goal,target",,,,
1074,fantôme,ghost,verified_strong,3.990,True,True,ghost,,,,
1075,espace,space,verified_strong,5.050,True,True,space,,,,
1076,unité,unit; ones (in arithmetic),verified_strong,4.770,True,True,"arithmetic,in,one,ones,unit",,,,
1077,vacance,"vacancy; holidays, vacation",verified_strong,3.550,True,True,"holiday,holidays,vacancy,vacation",,,,
1078,entraîner,"to drag (along); to coach, to train; to carry, pull, drive",verified_strong,4.270,True,True,"along,carry,coach,drag,drive,pull,train",,,,
1079,intention,intention,verified_strong,4.670,True,True,intention,,,,
1080,sexy,sexy,verified_strong,4.430,True,True,sexy,,,,
1081,blessure,wound; injury,verified_strong,4.290,True,True,"injury,wound",,,,
1082,plaindre,to pity; to complain,verified_strong,4.250,True,True,"complain,pity",,,,
1083,gâcher,"to mess up, botch, bungle; to ruin, spoil, mar, wreck, waste",verified_strong,3.730,True,True,"botch,bungle,mar,mes,mess,ruin,spoil,up,waste,wreck",,,,
1084,vent,"wind; flatulence; empty words, hot air",verified_strong,4.800,True,True,"air,empty,flatulence,hot,wind,word,words",,,,
1085,représenter,"to represent (to show, as a replacement); to represent (to be the representative of); to represent; to re-present; to present again",verified_strong,4.350,True,True,"again,present,re,replacement,represent,representative,show",,,,
1086,costume,a suit worn by a man; an outfit or a disguise worn as fancy dress; a set of clothes appropriate for a particular occasion or task,verified_strong,4.200,True,True,"disguise,dres,dress,fancy,man,outfit,suit,worn",,,,
1087,contacter,to contact (all senses),verified_strong,4.190,True,True,"all,contact,sens,sense,senses",,,,
1088,bouteille,"alcohol; experience; bottle (container, typically made of glass or plastic and having a tapered neck, used primarily for holding liquids)",verified_strong,4.410,True,True,"alcohol,bottle,container,experience,glas,glass,hav,having,hold,holding",,,,
1089,conseiller,"to advise; to counsel; counsellor, advisor",verified_strong,4.710,True,True,"advise,advisor,counsel,counsellor",,,,
1090,finalement,finally; last; lastly; finally; eventually; after all,verified_strong,5.020,True,True,"after,all,eventually,finally,last,lastly",,,,
1091,stop,stop sign; hitchhiking; brake lights; stop lights,verified_strong,4.360,True,True,"hitchhik,hitchhiking,sign,stop",,,,
1092,série,"series; serial, television program in installments",verified_strong,5.240,True,True,"in,installment,installments,program,seri,serial,serie,series,sery,television",,,,
1093,rouler,"to roll; to revolve; to dupe, to trick",verified_strong,4.160,True,True,"dupe,revolve,roll,trick",,,,
1094,dépendre,"to unhang; to remove from a gallows; to belong to, to be part of",verified_strong,3.660,True,True,"belong,gallow,gallows,part,remove,unhang",,,,
1095,crise,"crisis; attack, fit; tantrum, scene, fit of anger",verified_strong,4.880,True,True,"anger,attack,crisi,crisis,fit,scene,tantrum",,,,
1096,nouvelle,"novella, short story; news, a piece of information",verified_strong,5.630,True,True,"information,new,news,novella,piece,short,story",,,,
