front,meaning,pos,frequency,lexique_cgram,kaikki_pos,kaikki_meaning,source,rank
les,the (plural); them,article/determiner / pronoun,1153.510000,ART:def|PRO:per,article|pron,,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1001
réel,"real (reality); real (of a number); real (true, factual, not fictional)",adjective / noun,61.482000,ADJ|NOM,adj|noun,"real (reality); real (of a number); real (true, factual, not fictional)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1002
reculer,"to go astern; to go backwards; to back down, to concede",verb,61.436000,VER,verb,"to go astern; to go backwards; to back down, to concede",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1003
tas,"thing; heap, pile, a great many",noun,61.411000,NOM,name|noun,"thing; heap, pile, a great many",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1004
nécessaire,kit; necessary,adjective / noun,61.209000,ADJ|NOM,adj|noun,kit; necessary,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1005
terrain,"ground, landscape; lot, plot, parcel; field (as in soccer field)",noun,61.209000,NOM,noun,"ground, landscape; lot, plot, parcel; field (as in soccer field)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1006
billet,"ticket; note, a brief message; ellipsis of billet de banque (“banknote”)",noun,60.971000,NOM,noun,"ticket; note, a brief message; ellipsis of billet de banque (“banknote”)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1007
souci,a problem; worry; concern; marigold (flower),noun,60.889000,NOM,noun,a problem; worry; concern; marigold (flower),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1008
tante,"aunt; homosexual (man); faggot, fag (US); poof (UK)",noun,60.833000,NOM,noun,"aunt; homosexual (man); faggot, fag (US); poof (UK)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1009
portable,portable,adjective,60.658000,ADJ,adj|noun,portable,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1010
poisson,fish (marine animal),noun,60.564000,NOM,name|noun,fish (marine animal),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1011
pitié,"pity, mercy",noun,60.437000,NOM,noun,"pity, mercy",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1012
oreille,ear,noun,60.405000,NOM,noun,ear,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1013
note,"note; mark (UK), grade (US); bill (UK, US), check (US)",noun,60.212000,NOM,noun|verb,"note; mark (UK), grade (US); bill (UK, US), check (US)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1014
lorsque,when (at a time when),conjunction,60.142000,CON,conj,when (at a time when),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1015
grand-mère,grandmother,noun,60.098000,NOM,noun,grandmother,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1016
avenir,future,noun,60.073000,NOM,noun,future,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1017
commander,to order (ask for a product); to order (tell someone to do something),verb,60.029000,VER,verb,to order (ask for a product); to order (tell someone to do something),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1018
occasion,"cause; bargain, good deal; occasion, opportunity",noun,59.997000,NOM,noun,"cause; bargain, good deal; occasion, opportunity",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1019
voisin,"similar; neighbour, neighbor; neighbouring, neighboring",adjective / noun,59.962000,ADJ|NOM,adj|noun,"similar; neighbour, neighbor; neighbouring, neighboring",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1020
cour,court; backyard; following (of a celebrity etc.),noun,59.867000,NOM,noun,court; backyard; following (of a celebrity etc.),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1021
moquer,to mock; to make fun (of someone); to be indifferent; to not care (about something),verb,59.814000,VER,verb,to mock; to make fun (of someone); to be indifferent; to not care (about something),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1022
glace,ice; glass; mirror,noun,59.579000,NOM,noun|verb,ice; glass; mirror,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1023
accuser,to accuse; to find fault with; to show; to reveal,verb,59.466000,VER,verb,to accuse; to find fault with; to show; to reveal,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1024
avouer,to avow; to approve; to confess,verb,59.067000,VER,verb,to avow; to approve; to confess,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1025
concentrer,to concentrate,verb,58.999000,VER,verb,to concentrate,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1026
village,"village; town, city",noun,58.936000,NOM,noun,"village; town, city",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1027
concerner,"to concern (be concerned with, be associated with)",verb,58.880000,VER,verb,"to concern (be concerned with, be associated with)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1028
solution,solution,noun,58.854000,NOM,noun,solution,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1029
organiser,to organise; to plan an event; to organise; to put something in a specific order,verb,58.724000,VER,verb,to organise; to plan an event; to organise; to put something in a specific order,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1030
sol,"floor; ground; soil, earth",noun,58.718000,NOM,noun,"floor; ground; soil, earth",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1031
certainement,"certainly (with certainty, without doubt); probably (very likely, although not entirely sure)",adverb,58.715000,ADV,adv,"certainly (with certainty, without doubt); probably (very likely, although not entirely sure)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1032
fric,"dosh, dough, bread (money)",noun,58.680000,NOM,noun,"dosh, dough, bread (money)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1033
spectacle,"a sight, a showing, a display; a show, a spectacle, a performance, a concert",noun,58.671000,NOM,noun,"a sight, a showing, a display; a show, a spectacle, a performance, a concert",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1034
couple,an ordered pair; a pair of something; a force couple; a pure moment,noun,58.475000,NOM,noun,an ordered pair; a pair of something; a force couple; a pure moment,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1035
respect,respect,noun,58.231000,NOM,noun,respect,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1036
contrat,contract,noun,58.196000,NOM,noun,contract,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1037
lien,"link; tie, bond",noun,57.987000,NOM,noun,"link; tie, bond",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1038
considérer,"to consider (to look at); to consider, to think of; to consider (to think about)",verb,57.940000,VER,verb,"to consider (to look at); to consider, to think of; to consider (to think about)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1039
oiseau,bird,noun,57.874000,NOM,noun,bird,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1040
renvoyer,"to echo (of sound, to come back); to refer (somebody to something); to fire, dismiss, expel a student",verb,57.850000,VER,verb,"to echo (of sound, to come back); to refer (somebody to something); to fire, dismiss, expel a student",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1041
