language,kind,rank,target,english,adjudicated_status
arabic,vocabulary,7,هذا,this (masculine singular),UNRESOLVED
arabic,vocabulary,14,ذلك,that (masculine singular),UNRESOLVED
arabic,vocabulary,20,هل,yes/no question particle; is/are/do/does/did...?,UNRESOLVED
arabic,vocabulary,25,هذه,this (feminine singular),UNRESOLVED
arabic,vocabulary,90,تلك,that (feminine singular),UNRESOLVED
arabic,vocabulary,123,دون,without; below; short of; recorded/wrote down (دُون / دَوَّن),CLEARED_VALID_VARIANT
arabic,vocabulary,159,ثانية,second; a second (unit of time); feminine ordinal second,UNRESOLVED
arabic,vocabulary,167,أولى,"first (feminine); more worthy; more entitled; more fitting; granted or bestowed (verb, depending on vocalization/use)",CLEARED_VALID_VARIANT
arabic,vocabulary,230,كي,so that; in order that,UNRESOLVED
arabic,vocabulary,232,أيام,days,UNRESOLVED
arabic,vocabulary,271,منتخب,team; national/select team; elected/selected (context-dependent),UNRESOLVED
arabic,vocabulary,347,ما,how...!; what a...! (exclamative ma in the ma afala pattern),UNRESOLVED
arabic,vocabulary,386,لما,when (لَمَّا); not yet (لَمَّا); for what / to what (لِمَا),UNRESOLVED
arabic,vocabulary,536,ألم,pain (أَلَم); did ... not? (أَ + لَمْ),UNRESOLVED
arabic,vocabulary,547,ضرورة,necessity; need,UNRESOLVED
arabic,vocabulary,598,حقوق,rights,UNRESOLVED
arabic,vocabulary,617,أحيان,times; occasions (commonly in أحيانًا = sometimes),UNRESOLVED
arabic,vocabulary,643,بأس,harm / hardship; might / strength,UNRESOLVED
arabic,vocabulary,644,أشهر,months; more famous; most famous (depending on vocalization/use),UNRESOLVED
arabic,vocabulary,829,كلية,college/faculty; kidney; entirety/totality (depending on vocalization/context),CLEARED_VALID_VARIANT
arabic,vocabulary,842,جاري,current; ongoing; my neighbor (depending on structure/vocalization),UNRESOLVED
arabic,vocabulary,977,عادة,habit; custom; usually (in adverbial use),UNRESOLVED
arabic,sentence,30,كُل خضراواتك.,Eat your vegetables.,UNRESOLVED
arabic,sentence,147,هل تحب كرة القدم؟,Do you like soccer?,UNRESOLVED
arabic,sentence,177,كُلْ ما تريد.,Eat whatever you like.,UNRESOLVED
arabic,sentence,181,هذا هو الباقي.,Here is your change.,UNRESOLVED
arabic,sentence,267,من أينَ تعرف هذا؟,How do you know this?,UNRESOLVED
arabic,sentence,429,ماذا تُسَمّى هذه الوردة؟,What do you call this flower?,UNRESOLVED
arabic,sentence,436,ماذا تريد أن تصبح في المستقبل؟,What do you want to be?,CLEARED_VALID_VARIANT
arabic,sentence,452,لماذا عصيت أمري؟,Why did you disobey my order?,UNRESOLVED
arabic,sentence,618,لا أجد كلمات تكفي لشكرك على مساعدتك.,I cannot thank you enough for your assistance.,UNRESOLVED
arabic,sentence,680,كم حقيبة ستأخذون في رحلتكم؟,How many suitcases are you taking on your trip?,UNRESOLVED
arabic,sentence,685,أثمّة ما تريد إخباري عنه؟,Is there anything that you want to tell me?,UNRESOLVED
arabic,sentence,745,أين هي الوثائق التي كانت على طاولتي؟,Where are the documents that were on my desk?,UNRESOLVED
arabic,sentence,747,لا يعرف أيٌّ من والديّ الاثنين كيف يسبح.,Neither of my two parents knows how to swim.,UNRESOLVED
arabic,sentence,818,خرجت مسرعًا لأرى ماذا كان يحدث في الخارج.,I rushed out to see what was going on.,CLEARED_VALID_VARIANT
arabic,sentence,945,كل ما أريده هو ألا تفعل شيئًا ستندم عليه.,I just don't want you to do something you'll be sorry for.,CLEARED_VALID_VARIANT
french,vocabulary,9,tu,you (informal singular),UNRESOLVED
french,vocabulary,38,mon,my (masculine singular; also before vowel-initial feminine nouns),UNRESOLVED
french,vocabulary,45,ils,they (masculine or mixed group),UNRESOLVED
french,vocabulary,77,laisser,"to let, to allow; to leave with, to give; to forget, to leave alone",UNRESOLVED
french,vocabulary,91,temps,tense; weather; time (in general),UNRESOLVED
french,vocabulary,99,quelque,some (singular),UNRESOLVED
french,vocabulary,143,déjà,"already, before; for a start, firstly; again (following a question)",UNRESOLVED
french,vocabulary,191,gars,"lad, guy; guys (usually all male)",UNRESOLVED
french,vocabulary,228,elles,they (feminine),UNRESOLVED
french,vocabulary,289,place,"place, seat; place, space, room; place, square, plaza, piazza",CLEARED_VALID_VARIANT
french,vocabulary,464,bizarre,"peculiar, quaint; bizarre, odd, strange, funny",UNRESOLVED
french,vocabulary,471,seconde,second (time unit); second (feminine adjective),UNRESOLVED
french,vocabulary,517,salle,gym; hall; room (in a house),UNRESOLVED
french,vocabulary,519,revoir,to see again; to re-examine,UNRESOLVED
french,vocabulary,556,calmer,"to calm, pacify, soothe; to calm down, abate, subside",CLEARED_VALID_VARIANT
french,vocabulary,608,situation,situation (all meanings),UNRESOLVED
french,vocabulary,623,cool,"cool! great!; cool (only its informal senses, mainly fashionable)",UNRESOLVED
french,vocabulary,631,est,is (form of être); east; eastern,UNRESOLVED
french,vocabulary,641,habitude,habit (action done on a regular basis),UNRESOLVED
french,vocabulary,643,ressentir,"to suffer from the effects of; to feel (an emotion, usually strongly)",UNRESOLVED
french,vocabulary,665,con,"stupid; dumb; idiot; jerk/asshole; cunt (vulgar, context-dependent)",UNRESOLVED
french,vocabulary,691,surveiller,"to monitor, to survey, to watch",UNRESOLVED
french,vocabulary,711,club,"club (an implement to hit the ball in certain ball games, such as golf); club (an association of members joining together for some common purpose, especially sports or recreation)",CLEARED_VALID_VARIANT
french,vocabulary,755,contrôle,"test; control (all senses); verification, checking",UNRESOLVED
french,vocabulary,758,bar,bass (fish); bar (counter); bar (establishment),UNRESOLVED
french,vocabulary,817,télé,"TV, telly",UNRESOLVED
french,vocabulary,835,parfaire,"to finish, to complete; to make a supplementary payment",UNRESOLVED
french,vocabulary,837,bosser,to work (informal); emboss/dent,UNRESOLVED
french,vocabulary,870,environ,"a surrounding area; about, close to, around",UNRESOLVED
french,vocabulary,919,laisse,"leash; lead; leaves/lets; leave!/let! (forms of laisser, context-dependent); foreshore (specialized)",UNRESOLVED
french,vocabulary,944,copine,"female equivalent of copain: female friend, girl friend, chum, pal; ellipsis of petite copine: girlfriend (girl/woman to whom one has a romantic attachment)",CLEARED_VALID_VARIANT
french,sentence,13,Je t'en prie.,You're welcome.,UNRESOLVED
french,sentence,62,Vous connaissons-nous ?,Do we know you?,UNRESOLVED
french,sentence,86,Que peut-on faire ?,What can you do?,UNRESOLVED
french,sentence,278,Peut-on y manger quelque chose ?,Can you eat something there?,UNRESOLVED
french,sentence,281,"Pouvez-vous parler plus lentement, s'il vous plaît ?","Can you speak more slowly, please?",UNRESOLVED
french,sentence,523,Merci de m'avoir accordé un peu de votre temps.,Thank you for your time.,CLEARED_VALID_VARIANT
french,sentence,539,Nous savons où il est.,We know where it is.,UNRESOLVED
french,sentence,554,On est ce qu'on mange.,You are what you eat.,UNRESOLVED
french,sentence,599,"Aide-moi avec mon devoir, s’il te plaît.","Help me with my homework, please.",UNRESOLVED
french,sentence,658,Comment oses-tu te montrer ici ?,How dare you show your face around here!,UNRESOLVED
french,sentence,688,"Puis-je avoir deux hamburgers et un coca, s'il vous plaît ?","Can I have two hamburgers and a Coke, please?",UNRESOLVED
french,sentence,719,"Peux-tu, s'il te plaît, me dire pourquoi tu l'aimes ?",Can you please tell me why you love her?,UNRESOLVED
french,sentence,722,Tu peux me montrer comment on se sert d'un tuba ?,Could you show me how to use a snorkel?,UNRESOLVED
french,sentence,747,Dois-je vous le clarifier ?,Do I have to clarify it for you?,UNRESOLVED
french,sentence,758,Un plan nous aide à savoir où nous sommes.,A map helps us to know where we are.,UNRESOLVED
french,sentence,769,"Tout ce que tu as à faire, c'est appuyer sur ce bouton.",All you have to do is push this button.,UNRESOLVED
