rank,status,note,proposed_target,proposed_english
501,PASS,,,
502,PASS,,,
503,PASS,,,
504,PASS,,,
505,PASS,,,
506,PASS,,,
507,PASS,,,
508,PASS,,,
509,PASS,,,
510,PASS,,,
511,PASS,,,
512,PASS,,,
513,PASS,,,
514,PASS,,,
515,PASS,,,
516,PASS,,,
517,PASS,,,
518,PASS,,,
519,PASS,,,
520,PASS,,,
521,PASS,,,
522,PASS,,,
523,PASS,,,
524,PASS,,,
525,PASS,,,
526,PASS,,,
527,PASS,,,
528,PASS,,,
529,PASS,,,
530,PASS,,,
531,PASS,,,
532,PASS,,,
533,PASS,,,
534,PASS,,,
535,PASS,,,
536,PASS,,,
537,PASS,,,
538,PASS,,,
539,PASS,,,
540,PASS,,,
541,PASS,,,
542,PASS,,,
543,PASS,,,
544,PASS,,,
545,PASS,,,
546,PASS,,,
547,PASS,,,
548,PASS,,,
549,PASS,,,
550,PASS,,,
