rank,status,note,proposed_target,proposed_english,proposed_pos
151,PASS,,,,
152,PASS,,,,
153,PASS,,,,
154,PASS,,,,
155,PASS,,,,
156,PASS,,,,
157,PASS,,,,
158,PASS,,,,
159,PASS,,,,
160,PASS,,,,
161,PASS,,,,
162,PASS,,,,
163,PASS,,,,
164,PASS,,,,
165,REPAIR,"حدث is also the common noun 'event' (حَدَث), not only the past verb 'happened/occurred'; the current entry omits this high-frequency homograph.",حدث,"event; happened; occurred (depending on vocalization/use)",noun / perfect-past verb
166,PASS,,,,
167,PASS,,,,
168,PASS,,,,
169,PASS,,,,
170,PASS,,,,
171,PASS,,,,
172,PASS,,,,
173,PASS,,,,
174,PASS,,,,
175,PASS,,,,
176,PASS,,,,
177,PASS,,,,
178,PASS,,,,
179,PASS,,,,
180,PASS,,,,
181,PASS,,,,
182,PASS,,,,
183,PASS,,,,
184,PASS,,,,
185,PASS,,,,
186,PASS,,,,
187,PASS,,,,
188,PASS,,,,
189,PASS,,,,
190,PASS,,,,
191,PASS,,,,
192,PASS,,,,
193,PASS,,,,
194,PASS,,,,
195,PASS,,,,
196,PASS,,,,
197,PASS,,,,
198,PASS,,,,
199,PASS,,,,
200,PASS,,,,
