rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
1,être,to be,verb / auxiliary verb,ˈɛtʁ,aytr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
2,avoir,to have; to possess; to have to; to be [age],auxiliary verb / verb,avwˈaʁ,avwar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
3,de,of; from,preposition,də-,dohohh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
4,je,I,pronoun,ʒə-,zhohohh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
5,pas,not; step,adverb / noun,pˈa,pa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
6,le,the; him; it (masculine direct-object pronoun),definite article / determiner / pronoun,lˈə-,lohohh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
7,que,that; what; than,conjunction / pronoun,kˈə,kohohh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
8,vous,you (plural or formal singular),pronoun,vˈu,vohoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
9,tu,you (informal singular),pronoun,tˈy,ty,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
10,et,and,conjunction,ˈe,ay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
11,il,he; it,pronoun,ˈil,ayayl,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
12,un,a; an; one,article / determiner / noun / pronoun,ˈœ̃,ohohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
13,aller,to go; to suit; to be (feeling),noun / verb,alˈe,alay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
14,faire,"to do; to make; to become, to get",verb,fˈɛʁ,fayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
15,en,in; of it; some; from there (pronoun/adverb uses),preposition / pronoun,ˈɑ̃,an,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
16,ça,that; it; this (informal demonstrative pronoun),pronoun,sˈa,sa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
17,on,one; we; people; they (indefinite subject pronoun),pronoun,ˈɔ̃,ohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
18,une,a; an; one (feminine),article / determiner / noun,ˈyn,yn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
19,ce,this; that; it,adjective / pronoun,sˈə-,sohohh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
20,pour,for; to; in order to,preposition,pˈuʁ,pohohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
21,pouvoir,can; to be able to; power; authority,noun / verb,puvwˈaʁ,pohohvwar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
22,dire,to say; to tell; statement/saying (noun),noun / verb,dˈiʁ,dayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
23,vouloir,want; wish; be willing to,noun / verb,vulwˈaʁ,vohohlwar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
24,qui,who; which; that,pronoun,kˈi,kayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
25,mais,but; however,conjunction,mˈɛ,may,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
26,savoir,know; know how,noun / verb,savwˈaʁ,savwar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
27,nous,we; us,noun / pronoun,nˈu,nohoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
28,dans,in; into,preposition,dˈɑ̃,dan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
29,elle,she; it (feminine),noun / pronoun,ˈɛl,ayl,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
30,bien,well; good; quite; indeed,adjective / adverb / noun,bjˈɛ̃,byayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
31,me,me; myself,object / reflexive pronoun,mə-,mohohh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
32,si,if; whether; so; yes (replying to a negative question),adverb / conjunction / noun,sˈi,sayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
33,du,of the; from the; some (partitive),article / determiner,dy-,dy,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
34,non,no; not,adverb / noun,nˈɔ̃,nohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
35,avec,with,adverb / preposition,avˈɛk,avayk,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
36,devoir,must; have to; owe; duty,noun / verb,dəvwˈaʁ,dohohhvwar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
37,plus,more; most; no more (with negation),adverb / noun,plˈy,ply,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
