rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
1,کے,"of; belonging to (genitive, masculine plural/oblique)",particle,keː,kay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
2,میں,I; in; into (depending on context),postposition / pronoun,mˈẽ,mẽ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
3,کی,"of; belonging to (genitive, feminine singular)",particle,ki,kayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
4,ہے,is; is/exists (third-person singular present of ہونا),particle / verb,hɛ,hay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
5,اور,and; more; other; another,conjunction / adverb / adjective-determiner,ɔr,ohr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
6,سے,from; with; by; than,postposition,seː,say,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
7,کا,"of; belonging to (genitive, masculine singular)",particle,kaː,ka,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
8,کو,to; for; marks dative/accusative objects,postposition,kˈoː,koh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
9,نے,ergative marker,postposition,neː,nay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
10,اس,this/that; him/her/it (oblique singular),determiner / pronoun,ɪs,ayays,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
11,کہ,that; saying/having said (depending on construction),conj / particle / pronoun,ke,kay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
12,ہیں,are (plural/honorific present of ہونا),verb,hẽ,hẽ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
13,پر,"on; at; upon; but/yet; feather/wing (پَر, context-dependent)",postposition / conjunction / noun,pˈʌr,pʌr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
14,کر,do; having done; verb stem/conjunctive form of کرنا,verb,kar,kar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
15,ہو,be; become (form of ہونا),verb,hˈoː,hoh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
16,بھی,also; too; even,adv,bʰˈiː,bʰayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
17,ایک,one; a; an,adj / numeral,ˈeːk,ayk,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
18,یہ,this; these; he/she/it/they (proximal),determiner / pronoun,jeːh,yayh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
19,نہیں,no; not,adv / particle,nahˈiːn,nahayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
20,ان,"those; them; these (oblique plural, depending on context)",determiner / prefix / pronoun / suffix,ɪn,ayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
