rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
451,PENDING,Je sais ce que tu sais.,I know what you know.,ʒə- sˈɛ sə- kə ty sˈɛ.,zhohohh- say sohohh- kohohh ty say.,,,
452,PENDING,Je sais ce que tu veux.,I know what you want.,ʒə- sˈɛ sə- kə ty vˈø.,zhohohh- say sohohh- kohohh ty veu.,,,
453,PENDING,Je sais où il est.,I know where he is.,ʒə- sˈɛz u il ˈɛ.,zhohohh- sayz ohoh ayayl ay.,,,
454,PENDING,Je sais où c'est.,I know where it is.,ʒə- sˈɛz u sˈɛ.,zhohohh- sayz ohoh say.,,,
455,PENDING,Je sais où elle est.,I know where she is.,ʒə- sˈɛz u ɛl ˈɛ.,zhohohh- sayz ohoh ayl ay.,,,
456,PENDING,Je sais où ils sont.,I know where they are.,ʒə- sˈɛz u il sˈɔ̃.,zhohohh- sayz ohoh ayayl sohn.,,,
457,PENDING,Je sais où on est.,I know where we are.,ʒə- sˈɛz u ɔ̃n ˈɛ.,zhohohh- sayz ohoh ohnn ay.,,,
458,PENDING,Je sais où tu es.,I know where you are.,ʒə- sˈɛz u ty ˈɛ.,zhohohh- sayz ohoh ty ay.,,,
459,PENDING,Je sais où tu habites.,I know where you live.,ʒə- sˈɛz u ty abˈit.,zhohohh- sayz ohoh ty abayayt.,,,
460,PENDING,Je sais où tu travailles.,I know where you work.,ʒə- sˈɛz u ty tʁavˈaj.,zhohohh- sayz ohoh ty travay.,,,
461,PENDING,Je sais qui a fait ça.,I know who did that.,ʒə- sˈɛ ki a fˈɛ sˈa.,zhohohh- say kayay a fay sa.,,,
462,PENDING,Je sais qui c'est.,I know who that is.,ʒə- sˈɛ ki sˈɛ.,zhohohh- say kayay say.,,,
463,PENDING,Je sais que tu n'es pas prêt.,I know you aren't ready.,ʒə- sˈɛ kə ty nɛ pa pʁˈɛ.,zhohohh- say kohohh ty nay pa pray.,,,
464,PENDING,Je sais que tu ne peux pas attendre.,I know you can't wait.,ʒə- sˈɛ kə ty nə- pˈø paz atˈɑ̃dʁ.,zhohohh- say kohohh ty nohohh- peu paz atandr.,,,
465,PENDING,Je sais que tu te sens seul.,I know you feel lonely.,ʒə- sˈɛ kə ty tə- sˈɑ̃ sˈœl.,zhohohh- say kohohh ty tohohh- san seul.,,,
466,PENDING,Je sais que tu te sens triste.,I know you feel sad.,ʒə- sˈɛ kə ty tə- sˈɑ̃ tʁˈist.,zhohohh- say kohohh ty tohohh- san trayayst.,,,
467,PENDING,Je sais que tu détestes l'école.,I know you hate school.,ʒə- sˈɛ kə ty detˈɛst lekˈɔl.,zhohohh- say kohohh ty daytayst laykohl.,,,
468,PENDING,Je sais que tu l'as.,I know you have it.,ʒə- sˈɛ kə ty lˈa.,zhohohh- say kohohh ty la.,,,
469,PENDING,Je sais que tu aimes le café.,I know you like coffee.,ʒə- sˈɛ kə ty ˈɛm lə- kafˈe.,zhohohh- say kohohh ty aym lohohh- kafay.,,,
470,PENDING,Je sais que tu m'apprécies.,I know you like me.,ʒə- sˈɛ kə ty mapʁesˈi.,zhohohh- say kohohh ty mapraysayay.,,,
