rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
901,PENDING,اطلاع,information; notice; notification; news,ˈɪtlaː,ayaytla,,,
902,PENDING,یقینا,"indeed, definitely, for sure, surely, undoubtedly",jəqˈiːnaː,yohohhqayayna,,,
903,PENDING,نشانہ,"aim, target",nɪʃˈaːna,nayayshana,,,
904,PENDING,شعر,couplet (of Urdu poetry),ʃˈeːr,shayr,,,
905,PENDING,معطل,suspended,mˌɔatˈal,mohatal,,,
906,PENDING,حالانکہ,"although, however",haːlˈaːnkeː,halankay,,,
907,PENDING,پیسے,"money; paise/coins; paisa (oblique/vocative singular, context-dependent)",pˈeːseː,paysay,,,
908,PENDING,خصوصا,"mainly, primarily; especially, particularly",xəʂˈoːʂaː,khohohhʂohʂa,,,
909,PENDING,رہنا,to stay; to remain; to live; to reside; progressive auxiliary use,rˈɛhnaː,rayhna,,,
910,PENDING,دکھ,"pain, hardship; sadness, grief; suffering, distress",dˈʌkʰ,dʌkʰ,,,
911,PENDING,علیحدہ,"different, various; separately, apiece; separate, apart from, asunder, disconnected, distinct",ˈalɛhdˌa,alayhda,,,
912,PENDING,ماہر,"expert, professional; skilled, masterful, proficient; scholar of a specific discipline",mˈaːhər,mahohohhr,,,
913,PENDING,سرمایہ,"capital; materials, goods, stuff; wealth; financial means",sˌərmˈaːja,sohohhrmaya,,,
914,PENDING,سلامتی,safety; security; well-being; welfare,səlˈaːmtˌiː,sohohhlamtayay,,,
915,PENDING,امکان,possibility; chance; likelihood; feasibility,ˌɪmkˈaːn,ayaymkan,,,
916,PENDING,بحال,"reinstated, restored",bəhˈaːl,bohohhhal,,,
917,PENDING,تصویر,picture; image; photograph; portrait; representation,təʂʋˈiːr,tohohhʂʋayayr,,,
918,PENDING,خالی,empty; vacant; free; bare; only/merely (context-dependent),xˈaːli,khalayay,,,
919,PENDING,مستقل,permanent; constant; stable; regular,mˌʊstˈaqɪl,mohohstaqayayl,,,
920,PENDING,جمہوری,democratic,ɟˌəmhˈuːri,gyohohhmhohohrayay,,,
921,PENDING,پس,therefore; so; then; behind; after (context-dependent),pˈʌs,pʌs,,,
922,PENDING,بادشاہ,"king; Badshah, Padishah",bˌaːdʃˈaːh,badshah,,,
923,PENDING,جذبہ,emotion; feeling; sentiment; passion; drive,ɟˈaðba,gyadhba,,,
924,PENDING,مقامی,local; native; local resident,məqˈaːmi,mohohhqamayay,,,
925,PENDING,مخالف,"opposer; contrary, opposite; opponent, adversary",mʊxˈaːlɪf,mohohkhalayayf,,,
926,PENDING,سہولت,"ease, convenience; facility (ie. something provided)",sˌahuːlˈat,sahohohlat,,,
927,PENDING,اچانک,suddenly; unexpectedly; all of a sudden,acˈaːnək,acanohohhk,,,
928,PENDING,کرا,caused/made someone do; had done (causative form of کرنا),kˈʌraː,kʌra,,,
929,PENDING,انتقال,"death, passing; transfer, moving",ˌɪntɪqˈaːl,ayayntayayqal,,,
930,PENDING,نقل,copy; imitation; transcription; quotation; transfer/transport (context-dependent),nˈaql,naql,,,
931,PENDING,آسانی,"ease, simplicity, convenience; an instance of above; an easy thing",aːsˈaːni,asanayay,,,
932,PENDING,ورنہ,else; if not; otherwise,ʋˈarna,ʋarna,,,
933,PENDING,سماعت,"attention; sense of hearing; hearing, proceeding",səmˈaːat,sohohhmaat,,,
934,PENDING,خشک,dry; parched; withered,xˈʊʃk,khohohshk,,,
935,PENDING,موبائل,"phone, telephone, mobile",moːbˈaɪl,mohbaayayl,,,
936,PENDING,پنجابی,Punjabi; Punjabi language; Punjabi person,pənɟˈaːbi,pohohhngyabayay,,,
937,PENDING,افسوس,"pity; sorrow; regret, remorse",ˌafsˈoːs,afsohs,,,
938,PENDING,فصل,crop; harvest; season; chapter; section,fˈaʂl,faʂl,,,
939,PENDING,مغرب,west; the West; sunset/Maghrib time; Maghrib prayer,mˈaɣrˌɪb,maghrayayb,,,
940,PENDING,عہد,"covenant; era, epoch; vow, pledge",ˈɛhɛd,ayhayd,,,
941,PENDING,غم,grief; sorrow,ɣˈʌm,ghʌm,,,
942,PENDING,طبی,medical,tˈɪbi,tayaybayay,,,
943,PENDING,صدی,century,ʂˈʌdi,ʂʌdayay,,,
944,PENDING,مطالعہ,"study, reading, perusal; considering, inspecting, contemplation",mʊtˈaːla,mohohtala,,,
945,PENDING,آنا,"to come; to arrive; to know how (in ability constructions, context-dependent)",ˈaːnaː,ana,,,
946,PENDING,انسانیت,humanity,ɪnsˈaːniˌat,ayaynsanayayat,,,
947,PENDING,رہائش,"residence, stay",rəhˈaɪʃ,rohohhhaayaysh,,,
948,PENDING,تاریخی,historical,taːrˈiːxi,tarayaykhayay,,,
949,PENDING,مبتلا,afflicted,mˈʊbtɪlˌaː,mohohbtayayla,,,
950,PENDING,منظوری,"approval, consent, acceptance",mˌanʐˈuːri,manʐohohrayay,,,
