rank,front,meaning,meaning_selection,frequency,wordfreq_zipf,legacy_agrees,kaikki_agrees,freedict_agrees,readurdu_agrees,omw_agrees,tufs_entry,tufs_omw_agrees,independent_semantic_sources,overlap_terms,status
1,کے,"of; belonging to (genitive, masculine plural/oblique)",explicit_high_risk_review,743949,7.63,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""oblique"", ""readurdu"": ""genitive|oblique""}",verified_explicit_review
2,میں,I; in; into (depending on context),explicit_high_risk_review,582882,7.50,False,True,False,True,False,True,False,kaikki|readurdu,"{""kaikki"": ""in"", ""readurdu"": ""into""}",verified_explicit_review
3,کی,"of; belonging to (genitive, feminine singular)",explicit_high_risk_review,575545,7.50,False,False,False,False,False,False,False,,{},verified_explicit_review
4,ہے,is; is/exists (third-person singular present of ہونا),explicit_high_risk_review,466908,7.43,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""third-person"", ""readurdu"": ""third-person""}",verified_explicit_review
5,اور,and; more; other,explicit_high_risk_review,413788,7.36,False,True,False,True,False,True,False,kaikki|readurdu,"{""kaikki"": ""more|other"", ""readurdu"": ""more|other""}",verified_explicit_review
6,سے,from; with; by; than,explicit_high_risk_review,368155,7.26,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""from|with""}",verified_explicit_review
7,کا,"of; belonging to (genitive, masculine singular)",explicit_high_risk_review,306103,7.25,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""belong|genitive""}",verified_explicit_review
8,کو,to; for; marks dative/accusative objects,explicit_high_risk_review,281922,7.19,False,True,False,False,False,False,False,kaikki,"{""kaikki"": ""dative|mark""}",verified_explicit_review
9,نے,ergative postposition used with many perfective transitive clauses,explicit_high_risk_review,254385,7.01,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""ergative|transitive"", ""readurdu"": ""ergative|transitive""}",verified_explicit_review
10,اس,this/that; him/her/it (oblique singular),explicit_high_risk_review,244017,7.09,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""her|him|it|oblique"", ""readurdu"": ""her|him|it|oblique""}",verified_explicit_review
11,کہ,that; saying/having said (depending on construction),explicit_high_risk_review,237419,6.84,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""that"", ""readurdu"": ""having|said""}",verified_explicit_review
12,ہیں,are (plural/honorific present of ہونا),explicit_high_risk_review,217948,7.07,False,False,False,False,False,False,False,,{},verified_explicit_review
13,پر,on; at; upon; but/yet (depending on use),explicit_high_risk_review,207921,7.08,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""but"", ""readurdu"": ""but|yet""}",verified_explicit_review
14,کر,do; having done; verb stem/conjunctive form of کرنا,explicit_high_risk_review,173407,6.87,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""stem"", ""readurdu"": ""do""}",verified_explicit_review
15,ہو,be; become (form of ہونا),explicit_high_risk_review,145669,6.70,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""be""}",verified_explicit_review
16,بھی,also; too; even,explicit_high_risk_review,140157,6.93,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""also|too"", ""readurdu"": ""also|too""}",verified_explicit_review
17,ایک,one; a; an,explicit_high_risk_review,129851,6.89,False,True,False,True,False,True,False,kaikki|readurdu,"{""kaikki"": ""one"", ""readurdu"": ""a|an""}",verified_explicit_review
18,یہ,this; these; he/she/it/they (proximal),explicit_high_risk_review,128103,6.86,False,True,False,True,False,True,False,kaikki|readurdu,"{""kaikki"": ""he|it|proximal|she|these|they"", ""readurdu"": ""he|it|proximal|she|these|they""}",verified_explicit_review
19,نہیں,no; not,explicit_high_risk_review,115341,6.85,False,True,False,True,False,True,False,kaikki|readurdu,"{""kaikki"": ""no|not"", ""readurdu"": ""no|not""}",verified_explicit_review
20,ان,"those; them; these (oblique plural, depending on context)",explicit_high_risk_review,110463,6.67,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""oblique|them|these|those""}",verified_explicit_review
21,کیا,what?; did/done (depending on context),explicit_high_risk_review,108414,6.73,False,False,False,True,False,True,False,readurdu,"{""readurdu"": ""done|what""}",verified_explicit_review
22,تو,then; so; you (informal),explicit_high_risk_review,88137,6.77,False,True,False,True,False,True,False,kaikki|readurdu,"{""kaikki"": ""so|then"", ""readurdu"": ""informal|so|then|you""}",verified_explicit_review
23,وہ,that; those; he/she/it/they (distal),explicit_high_risk_review,83613,6.71,False,True,False,True,False,True,False,kaikki|readurdu,"{""kaikki"": ""distal|he|it|she|they|those"", ""readurdu"": ""distal|he|it|she|they|those""}",verified_explicit_review
24,لئے,for; taken (context-dependent; often in کے لئے 'for'),explicit_high_risk_review,66765,6.12,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""taken""}",verified_explicit_review
25,تھا,was (masculine singular),explicit_high_risk_review,61762,6.66,False,False,False,False,False,False,False,,{},verified_explicit_review
26,گیا,"Gaya (a city in Bihar, India); masculine singular perfect adjectival of جانا (jānā): went, left",kaikki,57360,6.50,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""adjectival|bihar|city|gaya|india|left|perfect|went"", ""readurdu"": ""went""}",verified
27,جو,who; which; that (relative pronoun),explicit_high_risk_review,57041,6.64,False,True,False,False,False,False,False,kaikki,"{""kaikki"": ""who""}",verified_explicit_review
28,و,and,explicit_high_risk_review,56038,6.51,False,True,False,False,False,False,False,kaikki,"{""kaikki"": ""and""}",verified_explicit_review
29,گا,will (masculine singular future marker),explicit_high_risk_review,49586,6.35,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""marker|will""}",verified_explicit_review
30,ہی,only; just; emphatic particle,explicit_high_risk_review,48594,6.56,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""emphatic"", ""readurdu"": ""emphatic|just|only""}",verified_explicit_review
31,نہ,not; neither; do not,explicit_high_risk_review,46989,6.50,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""neither|not"", ""readurdu"": ""neither|not""}",verified_explicit_review
32,جب,when,explicit_high_risk_review,46894,6.31,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""when"", ""readurdu"": ""when""}",verified_explicit_review
33,اپنے,one's own; own (masculine plural/oblique form of اپنا),explicit_high_risk_review,46829,6.37,False,False,False,False,False,False,False,,{},verified_explicit_review
34,آپ,you (formal/honorific); oneself,explicit_high_risk_review,46299,6.47,False,True,False,True,False,True,False,kaikki|readurdu,"{""kaikki"": ""formal|oneself|you"", ""readurdu"": ""oneself|you""}",verified_explicit_review
35,جس,who/which/that (oblique singular relative pronoun),explicit_high_risk_review,45733,6.50,False,False,False,False,False,False,False,,{},verified_explicit_review
36,دیا,gave; given (masculine singular form of دینا); lamp,explicit_high_risk_review,45394,6.28,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""lamp"", ""readurdu"": ""gave|lamp""}",verified_explicit_review
37,تھے,were (masculine plural/honorific),explicit_high_risk_review,43418,6.43,False,False,False,False,False,False,False,,{},verified_explicit_review
38,ہوئے,became; happened; were (plural/honorific form),explicit_high_risk_review,42427,6.26,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""became|happen""}",verified_explicit_review
39,تک,until; up to; as far as,explicit_high_risk_review,42422,6.29,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""far|up""}",verified_explicit_review
40,بعد,after; afterwards,explicit_high_risk_review,40860,6.38,False,True,False,True,False,False,False,kaikki|readurdu,"{""kaikki"": ""after"", ""readurdu"": ""after""}",verified_explicit_review
41,ساتھ,"together; side (figuratively, the region near someone)",kaikki,38807,6.32,False,True,False,False,False,True,False,,"{""kaikki"": ""figuratively|near|region|side|together""}",review
42,لیکن,but; however,explicit_high_risk_review,38482,6.14,False,True,False,True,False,True,False,kaikki|readurdu,"{""kaikki"": ""but"", ""readurdu"": ""but|however""}",verified_explicit_review
43,گی,will (feminine future marker),explicit_high_risk_review,37533,6.12,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""marker""}",verified_explicit_review
44,کوئی,someone; anyone; some; any,explicit_high_risk_review,36801,6.38,False,True,False,True,False,True,False,kaikki|readurdu,"{""kaikki"": ""any|some"", ""readurdu"": ""any|some""}",verified_explicit_review
45,گے,will (masculine plural/honorific future marker),explicit_high_risk_review,36725,6.29,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""marker""}",verified_explicit_review
46,اپنی,one's own; own (feminine form of اپنا),explicit_high_risk_review,33693,6.22,False,False,False,False,False,False,False,,{},verified_explicit_review
47,وقت,"time; turn; era, duration",kaikki,33424,6.11,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""duration|era|time|turn"", ""readurdu"": ""duration|era|time|turn""}",verified
48,بہت,"many, much; enough, sufficient",kaikki,33032,6.19,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""enough|many|much|sufficient"", ""readurdu"": ""enough|many|much|sufficient""}",verified
49,کسی,"oblique of کوئی (koī): anyone, someone; oblique of کوئی (koī): some, a certain, a given",kaikki,32246,6.34,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""anyone|certain|given|ko|oblique|some"", ""readurdu"": ""anyone|certain|given|ko|oblique|some""}",verified
50,تھی,was (feminine singular),explicit_high_risk_review,31627,6.33,False,False,False,False,False,False,False,,{},verified_explicit_review
51,یا,or; O!/oh! (vocative in some contexts),explicit_high_risk_review,31361,6.33,False,True,False,False,False,False,False,kaikki,"{""kaikki"": ""oh""}",verified_explicit_review
52,ہم,also; either; as well,kaikki,30962,6.35,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""also|either|well"", ""readurdu"": ""also|either|well""}",verified
53,ہوں,first-person singular present indicative/subjunctive of ہونا (honā),kaikki,30623,6.23,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""first-person|hon|indicative|subjunctive"", ""readurdu"": ""first-person|hon|indicative|subjunctive""}",verified
54,زیادہ,"more, very many, excessive; more, much, a lot, excessively",kaikki,29541,6.12,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""excessive|excessively|lot|many|more|much|very"", ""readurdu"": ""excessive|excessively|lot|many|more|much|very""}",verified
55,ملک,"realm; country, land",kaikki,29528,6.17,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""country|land|realm"", ""readurdu"": ""country""}",verified
56,بات,"saying; thing, point; matter, affair",kaikki,29415,6.26,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""affair|matter|point|saying"", ""readurdu"": ""saying""}",verified
57,طرح,"condition; type, kind; method, manner, mode",kaikki,28965,6.03,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""condition|kind|manner|method|mode|type"", ""readurdu"": ""kind|manner|method|mode|type""}",verified
58,اگر,if; agarwood,kaikki,28729,6.24,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""agarwood|if"", ""readurdu"": ""agarwood|if""}",verified
59,اب,as; thus; father,kaikki,28345,6.18,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""father|thus"", ""readurdu"": ""father|thus""}",verified
60,حکومت,"government; power, reign, rule; jurisdiction; authority",kaikki,28332,6.16,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""authority|govern|jurisdiction|power|reign|rule"", ""readurdu"": ""govern|rule""}",verified
61,دو,two,kaikki,28236,6.10,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""two"", ""readurdu"": ""two""}",verified
62,ہوا,air; whiff; wind; breeze,kaikki,27535,6.22,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""air|breeze|whiff|wind"", ""readurdu"": ""air|wind""}",verified
63,دی,gave (feminine singular form of دینا),explicit_high_risk_review,27265,6.01,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""gave""}",verified_explicit_review
64,ہوتا,is/becomes/happens habitually; would be (masculine singular),explicit_high_risk_review,26341,6.11,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""happen""}",verified_explicit_review
65,کام,love; lust; wish,kaikki,26218,5.99,False,True,False,False,False,True,False,,"{""kaikki"": ""love|lust|wish""}",review
66,حاصل,"conclusion, result; obtained, acquired; achieved",kaikki,25881,6.00,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""achiev|acquir|conclusion|obtain|result"", ""readurdu"": ""achiev|acquir|conclusion|obtain|result""}",verified
67,سب,all; every,kaikki,24486,6.19,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""all|every"", ""readurdu"": ""all|every""}",verified
68,کرنا,to do; to make; to cause,kaikki,24242,6.00,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""cause|do|make"", ""readurdu"": ""cause|do|make""}",verified
69,ہر,each; every,kaikki,24102,6.14,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""each|every"", ""readurdu"": ""each|every""}",verified
70,سی,like; as; -like (feminine comparative/resemblance form),explicit_high_risk_review,23927,5.88,False,False,False,False,False,False,False,,{},verified_explicit_review
71,طور,"hill, mount; manner, way; state, condition",kaikki,22284,6.12,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""condition|hill|manner|mount|state|way"", ""readurdu"": ""condition|hill|manner|mount|state|way""}",verified
72,خان,khan,kaikki,21801,6.05,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""khan"", ""readurdu"": ""khan""}",verified
73,پہلے,direct masculine plural; oblique masculine singular/plural,kaikki,21641,6.08,False,True,False,False,False,False,False,,"{""kaikki"": ""direct|oblique""}",review
74,کچھ,some,kaikki,21568,6.19,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""some"", ""readurdu"": ""some""}",verified
75,صرف,"busy; morphology; only, just",kaikki,21425,6.06,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""busy|just|morphology|only"", ""readurdu"": ""only""}",verified
76,انہیں,them; to them,explicit_high_risk_review,20853,5.81,False,False,False,False,False,False,False,,{},verified_explicit_review
77,سال,hall; year; house,kaikki,20564,6.03,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""hall|house|year"", ""readurdu"": ""year""}",verified
78,وجہ,reason; cause,explicit_high_risk_review,20301,5.97,False,False,False,True,False,False,False,readurdu,"{""readurdu"": ""cause|reason""}",verified_explicit_review
79,کم,few; little (not much); less (in lower degree; to smaller extent),kaikki,20261,5.88,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""degree|extent|few|less|little|lower|much|not|smaller"", ""readurdu"": ""degree|extent|few|less|little|lower|much|not|smaller""}",verified
80,جنگ,war; fight; battle,kaikki,20095,5.62,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""battle|fight|war"", ""readurdu"": ""battle|war""}",verified
81,اسے,him; her; it; to him/her/it,explicit_high_risk_review,19942,6.04,False,False,False,False,False,False,False,,{},verified_explicit_review
82,لیے,for; for the sake of,explicit_high_risk_review,19820,6.45,False,False,False,False,False,False,False,,{},verified_explicit_review
83,صدر,"president; chief, head; host (of an event etc.); Saddar (a neighbourhood of Karachi, Sindh, Pakistan)",kaikki,19575,5.69,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""chief|etc|event|head|host|karachi|neighbourhood|pakistan|president|saddar|sindh"", ""readurdu"": ""chief|etc|event|head|host|karachi|neighbourhood|pakistan|president|saddar|sindh""}",verified
84,تمام,all; every,kaikki,19203,5.93,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""all|every"", ""readurdu"": ""all|every""}",verified
85,اسی,eighty,kaikki,19032,5.93,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""eighty"", ""readurdu"": ""eighty""}",verified
86,خلاف,"against, opposed",kaikki,18573,5.97,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""against|oppos"", ""readurdu"": ""against""}",verified
87,احمد,"an epithet for Prophet Muhammad; a male surname, Ahmed or Ahmad, from Arabic; a male given name, Ahmed or Ahmad, from Arabic",kaikki,18454,5.67,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""ahmad|ahmed|arabic|epithet|given|male|muhammad|name|prophet|surname"", ""readurdu"": ""ahmad|ahmed|arabic|epithet|given|male|muhammad|name|prophet|surname""}",verified
88,طرف,side; direction,kaikki,17960,5.89,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""direction|side"", ""readurdu"": ""direction|side""}",verified
89,دنیا,Earth; world; kingdom,kaikki,17856,6.02,False,True,False,True,False,False,False,readurdu,"{""kaikki"": ""earth|kingdom|world"", ""readurdu"": ""earth|world""}",verified
90,شروع,onset; beginning; commencement,kaikki,17615,5.85,False,True,False,True,False,True,False,readurdu,"{""kaikki"": ""beginn|commence|onset"", ""readurdu"": ""beginn|commence|onset""}",verified
