rank,front,meaning,meaning_selection,frequency,wordfreq_zipf,legacy_agrees,kaikki_agrees,freedict_agrees,readurdu_agrees,omw_agrees,tufs_entry,tufs_omw_agrees,independent_semantic_sources,overlap_terms,status
47,یا,or; oh!,kaikki,31361,6.33,False,True,False,False,False,False,False,,"{""kaikki"": ""oh""}",review
59,دی,gave (feminine of دینا),existing_candidate_fallback,27265,6.01,False,False,False,True,False,False,False,,"{""readurdu"": ""gave""}",review
60,ہوتا,masculine singular contrafactual; masculine singular habitual participle,kaikki,26341,6.11,False,True,False,False,False,False,False,,"{""kaikki"": ""contrafactual|habitual|participle""}",review
66,سی,the English letter C (in acronyms),existing_candidate_fallback,23927,5.88,False,False,False,True,False,False,False,,"{""readurdu"": ""acronym|english|letter""}",review
71,انہیں,to them / them,legacy_learner_translation,20853,5.81,True,False,False,False,False,False,False,,"{""legacy"": ""them""}",review
73,وجہ,"face, visage, countenance, aspect; presence, appearance, shape, semblance; means of subsistence; wages, salary; money",kaikki,20301,5.97,False,True,False,False,False,False,False,,"{""kaikki"": ""appearance|aspect|countenance|face|mean|money|presence|salary|semblance|shape|subsistence|visage""}",review
76,اسے,him / her / it (acc / dat),legacy_learner_translation,19942,6.04,True,False,False,False,False,False,False,,"{""legacy"": ""acc|dat|her|him|it""}",review
77,لیے,for / for the sake of,legacy_learner_translation,19820,6.45,True,False,False,False,False,False,False,,"{""legacy"": ""sake""}",review
89,جن,whom / those / which (plural oblique),legacy_learner_translation,16169,5.96,True,False,False,False,False,False,False,,"{""legacy"": ""oblique|those""}",review
92,آ,"A vowel of Urdu, the variant of alif used for initial /aː/",kaikki,15727,5.68,False,True,False,False,False,False,False,,"{""kaikki"": ""alif|initial|urdu|variant|vowel""}",review
98,لے,stem; second-person singular present imperative; second/third-person singular present subjunctive,kaikki,15060,6.00,False,True,False,False,False,False,False,,"{""kaikki"": ""imperative|second|second-person|stem|subjunctive|third-person""}",review
101,میل,"desire, interest; dirt, filth, scum; crookedness, curve",kaikki,14694,5.04,False,True,False,False,False,False,False,,"{""kaikki"": ""crookednes|curve|desire|dirt|filth|interest|scum""}",review
105,روپے,direct plural; oblique/vocative singular,kaikki,14043,5.54,False,True,False,False,False,False,False,,"{""kaikki"": ""direct|oblique|vocative""}",review
107,اے,vocative particle: O!,kaikki,13987,5.92,False,True,False,False,False,False,False,,"{""kaikki"": ""vocative""}",review
113,آئی,feminine singular perfect indicative; feminine singular perfective participle,kaikki,13692,6.06,False,True,False,False,False,False,False,,"{""kaikki"": ""indicative|participle|perfect|perfective""}",review
114,ہمارے,inflection of हमारा (hamārā): | also: plural masculine of ہَمارا (hamārā — first-person plural possessive determiner: our; pl),existing_candidate_fallback,13575,5.92,False,False,False,True,False,False,False,,"{""readurdu"": ""also|determiner|first-person|ham|inflection|our|pl|possessive""}",review
124,دوران,during (کے دوران),existing_candidate_fallback,12921,5.80,False,False,False,True,False,True,False,,"{""readurdu"": ""during""}",review
130,ایسے,like this; in this manner,existing_candidate_fallback,12310,5.84,False,False,False,True,False,False,False,,"{""readurdu"": ""like|manner""}",review
137,ممالک,plural of مَمْلُکَت /مَمْلَکَت (mamlukat) and مُلْک (mulk),kaikki,11902,5.61,False,True,False,False,False,False,False,,"{""kaikki"": ""mamlukat|mulk""}",review
140,میرے,inflection of मेरा (merā):,existing_candidate_fallback,11590,5.86,False,False,False,True,False,False,False,,"{""readurdu"": ""inflection|mer""}",review
147,بڑے,direct masculine plural; oblique masculine singular/plural,kaikki,11090,5.69,False,True,False,False,False,False,False,,"{""kaikki"": ""direct|oblique""}",review
160,علاوہ,"besides, in addition to (کے علاوہ)",existing_candidate_fallback,10312,5.69,False,False,False,True,False,True,False,,"{""readurdu"": ""addition|besid""}",review
165,ایسا,"pron. adj. & adv. (f. -ī), This-like, such, of this sort; like ( = sā, in which case it is subjoined to the…",existing_candidate_fallback,10067,5.77,False,False,False,True,False,True,False,,"{""readurdu"": ""adj|adv|case|it|like|pron|sort|subjoin|such|this-like""}",review
166,خیال,"the khyal genre; impression, opinion; imagination; notion, fancy",kaikki,10033,5.53,False,True,False,False,False,False,False,,"{""kaikki"": ""fancy|genre|imagin|impression|khyal|notion|opinion""}",review
172,ہماری,feminine singular of हमारा (hamārā); feminine plural of हमारा (hamārā) | also: feminine singular of ہَمارا (hamārā — first-person plural possessive determiner: our; pl),existing_candidate_fallback,9526,5.68,False,False,False,True,False,False,False,,"{""readurdu"": ""also|determiner|first-person|ham|our|pl|possessive""}",review
