front,frequency,reason
کرنے,64589,insufficient_lexical_support
کہا,61090,insufficient_lexical_support
جائے,47470,insufficient_lexical_support
انہوں,39903,no_clean_dictionary_meaning
رہے,39784,insufficient_lexical_support
کریں,37351,insufficient_lexical_support
کرتے,34818,insufficient_lexical_support
ہونے,34212,insufficient_lexical_support
گئے,34143,insufficient_lexical_support
والے,33589,insufficient_lexical_support
جا,32228,insufficient_lexical_support
گئی,31279,insufficient_lexical_support
کیلئے,30164,insufficient_lexical_support
رہا,29272,insufficient_lexical_support
رہی,25044,insufficient_lexical_support
جاتا,24185,insufficient_lexical_support
ہوتی,19935,insufficient_lexical_support
ٹیم,19654,insufficient_lexical_support
مطابق,19398,insufficient_lexical_support
بی,19140,insufficient_lexical_support
ہوئی,19080,insufficient_lexical_support
والی,18238,insufficient_lexical_support
سکتا,18132,insufficient_lexical_support
دے,17951,insufficient_lexical_support
پھر,17870,insufficient_lexical_support
لوگوں,17644,insufficient_lexical_support
جاتی,17374,insufficient_lexical_support
بارے,16822,insufficient_lexical_support
ای,16230,insufficient_lexical_support
جائیں,15569,insufficient_lexical_support
لیا,15557,insufficient_lexical_support
جانے,15262,insufficient_lexical_support
کئے,14970,insufficient_lexical_support
پی,14811,insufficient_lexical_support
دونوں,13393,insufficient_lexical_support
امریکی,13287,insufficient_lexical_support
ہوتے,13202,insufficient_lexical_support
کرتا,13089,insufficient_lexical_support
ایم,12767,insufficient_lexical_support
پرنٹ,12459,insufficient_lexical_support
بتایا,12431,insufficient_lexical_support
پولیس,12285,insufficient_lexical_support
کیجیئے,12200,insufficient_lexical_support
کرے,12199,insufficient_lexical_support
سکتے,12034,insufficient_lexical_support
جاتے,11618,insufficient_lexical_support
سکتی,11225,insufficient_lexical_support
میچ,10866,insufficient_lexical_support
بن,10756,insufficient_lexical_support
دیں,10570,insufficient_lexical_support
سکے,10490,insufficient_lexical_support
ٹی,10449,insufficient_lexical_support
علاوہ,10312,insufficient_lexical_support
خبریں,10245,insufficient_lexical_support
سیریز,9568,insufficient_lexical_support
ٹیسٹ,9559,insufficient_lexical_support
آئے,9322,insufficient_lexical_support
عالمی,9318,insufficient_lexical_support
حوالے,9300,insufficient_lexical_support
دینے,8818,insufficient_lexical_support
آنے,8769,insufficient_lexical_support
کرتی,8665,insufficient_lexical_support
ایسی,8556,insufficient_lexical_support
سید,8359,insufficient_lexical_support
تعمیر,8317,insufficient_lexical_support
ذریعے,8140,insufficient_lexical_support
بنانے,8052,insufficient_lexical_support
دیتے,7977,insufficient_lexical_support
مشرف,7877,insufficient_lexical_support
پابندی,7664,insufficient_lexical_support
ڈی,7662,insufficient_lexical_support
پوری,7528,insufficient_lexical_support
لیں,7420,insufficient_lexical_support
ایس,7301,insufficient_lexical_support
نئے,7289,insufficient_lexical_support
والوں,7248,insufficient_lexical_support
مل,7226,insufficient_lexical_support
جیسے,7159,no_clean_dictionary_meaning
اسمبلی,7049,insufficient_lexical_support
دیئے,7006,insufficient_lexical_support
اعلان,6976,insufficient_lexical_support
تحت,6919,insufficient_lexical_support
آف,6752,insufficient_lexical_support
امدادی,6748,insufficient_lexical_support
لیگ,6693,insufficient_lexical_support
بھر,6633,insufficient_lexical_support
چکے,6570,insufficient_lexical_support
حالات,6537,insufficient_lexical_support
تکنیکی,6529,insufficient_lexical_support
لگا,6494,insufficient_lexical_support
سلسلے,6491,insufficient_lexical_support
تازہ ترین,6469,insufficient_lexical_support
رکھنے,6429,insufficient_lexical_support
گرفتار,6428,insufficient_lexical_support
رنز,6280,insufficient_lexical_support
اقبال,6264,insufficient_lexical_support
پروگرام,6197,insufficient_lexical_support
نمبر,6107,insufficient_lexical_support
لی,6097,insufficient_lexical_support
رپورٹ,6039,insufficient_lexical_support
رکھا,6023,insufficient_lexical_support
خطاب,5872,insufficient_lexical_support
سرکاری,5791,insufficient_lexical_support
کہتے,5722,insufficient_lexical_support
سکیں,5715,insufficient_lexical_support
بورڈ,5620,insufficient_lexical_support
باوجود,5583,insufficient_lexical_support
چکا,5540,insufficient_lexical_support
حسن,5403,insufficient_lexical_support
بنایا,5383,insufficient_lexical_support
ڈیم,5350,insufficient_lexical_support
صوبائی,5348,insufficient_lexical_support
متاثرہ,5289,insufficient_lexical_support
دیکھ,5191,insufficient_lexical_support
متاثرین,5152,insufficient_lexical_support
کانفرنس,5120,insufficient_lexical_support
ادارے,5116,insufficient_lexical_support
مولانا,5090,insufficient_lexical_support
اداروں,5061,insufficient_lexical_support
میر,5046,insufficient_lexical_support
پہنچ,4983,insufficient_lexical_support
پیداوار,4983,insufficient_lexical_support
کیے,4976,insufficient_lexical_support
کونسل,4975,insufficient_lexical_support
صورتحال,4933,insufficient_lexical_support
کھلاڑی,4929,insufficient_lexical_support
پروفیسر,4915,insufficient_lexical_support
درج,4899,insufficient_lexical_support
چاہتے,4858,insufficient_lexical_support
چودھری,4853,insufficient_lexical_support
دیتا,4845,insufficient_lexical_support
رکھتے,4826,insufficient_lexical_support
معاشی,4819,insufficient_lexical_support
قیام,4801,insufficient_lexical_support
ڈالر,4749,insufficient_lexical_support
بہترین,4740,insufficient_lexical_support
زیر,4719,insufficient_lexical_support
وزیراعظم,4705,insufficient_lexical_support
زخمی,4700,insufficient_lexical_support
شخصیت,4699,insufficient_lexical_support
متاثر,4625,insufficient_lexical_support
کھلاڑیوں,4614,insufficient_lexical_support
سکول,4546,insufficient_lexical_support
سری,4533,insufficient_lexical_support
نیوز,4524,insufficient_lexical_support
حیثیت,4516,insufficient_lexical_support
کہیں,4506,insufficient_lexical_support
این,4481,insufficient_lexical_support
ملا,4477,insufficient_lexical_support
ایف,4414,insufficient_lexical_support
چل,4407,insufficient_lexical_support
