rank,front,expected_english,kaikki_entry,kaikki_pos,kaikki_has_english_gloss,semantic_overlap,semantic_overlap_terms,wordfreq_attested,wordfreq_zipf,arabic_wordnet_entry,camel_analysis,lexique4_entry,lexique4_pos,urdu_ud_entry,urdu_ud_pos,support_count,confidence
3,کی,"of; belonging to (genitive, feminine singular)",True,particle,False,False,,True,7.50,False,False,False,,True,adp|aux|noun|propn|verb,3,form_only
11,کہ,that; saying/having said (depending on construction),True,conj|particle|pron,False,False,,True,6.84,False,False,False,,True,adp|noun|part|pron|sconj,3,form_only
12,ہیں,are (plural/honorific present of ہونا),True,intj|verb,True,False,,True,7.07,False,False,False,,True,aux|propn|verb,3,semantic_review
15,ہو,be; become (form of ہونا),True,verb,True,False,,True,6.70,False,False,False,,True,adj|adp|aux|noun|verb,3,semantic_review
17,ایک,one; a; an,True,adj|num,True,False,,True,6.89,False,False,False,,True,adj|adv|noun|num|pron|propn,3,semantic_review
24,لئے,taken; for (in کے لیے),True,verb,True,False,,True,6.12,False,False,False,,True,adp|propn|verb,3,semantic_review
25,تھا,was (masculine singular),True,verb,True,False,,True,6.66,False,False,False,,True,aux|verb,3,semantic_review
28,و,and,True,character|conj,True,False,,True,6.51,False,False,False,,True,adv|cconj|noun|part|propn,3,semantic_review
29,گا,will (masculine singular future marker),False,,False,False,,True,6.35,False,False,False,,True,aux|verb,2,form_only
33,اپنے,one's own; own (masculine plural/oblique form of اپنا),False,,False,False,,True,6.37,False,False,False,,True,pron,2,form_only
35,جس,whom/which/that (oblique singular relative pronoun),False,,False,False,,True,6.50,False,False,False,,True,det|pron,2,form_only
37,تھے,were (masculine plural/honorific),True,verb,True,False,,True,6.43,False,False,False,,True,aux|verb,3,semantic_review
38,ہوئے,became; happened; were (plural/honorific form),True,verb,True,False,,True,6.26,False,False,False,,True,adj|aux|verb,3,semantic_review
39,تک,until; up to; as far as,False,,False,False,,True,6.29,False,False,False,,True,adp|part,2,form_only
43,گی,will (feminine future marker),True,suffix,True,False,,True,6.12,False,False,False,,True,aux,3,semantic_review
45,گے,will (masculine plural/honorific future marker),True,noun,True,False,,True,6.29,False,False,False,,True,aux|verb,3,semantic_review
46,اپنی,one's own; own (feminine form of اپنا),False,,False,False,,True,6.22,False,False,False,,True,pron,2,form_only
50,تھی,was (feminine singular),True,verb,True,False,,True,6.33,False,False,False,,True,aux|verb,3,semantic_review
63,دی,gave (feminine singular form of دینا),False,,False,False,,True,6.01,False,False,False,,True,propn|verb,2,form_only
64,ہوتا,is/becomes/happens habitually; would be (masculine singular),True,verb,True,False,,True,6.11,False,False,False,,True,aux|verb,3,semantic_review
70,سی,like; as; -like (feminine resemblance/comparative form),False,,False,False,,True,5.88,False,False,False,,True,adp|noun|part|propn|verb,2,form_only
76,انہیں,them; to them,True,pron,True,False,,True,5.81,False,False,False,,True,det|pron,3,semantic_review
81,اسے,him; her; it; to him/her/it,True,pron,True,False,,True,6.04,False,False,False,,True,pron,3,semantic_review
82,لیے,"for; for the sake of (in کے لیے); taken (form of لینا, context-dependent)",True,verb,True,False,,True,6.45,False,False,False,,True,adp|pron|verb,3,semantic_review
96,آ,come; come! (stem/imperative of آنا),True,character,True,False,,True,5.68,False,False,False,,True,adj|cconj|noun|pron|propn|verb,3,semantic_review
108,دوسرے,second; other (masculine plural/oblique form of دوسرا),False,,False,False,,True,5.72,False,False,False,,True,adj|det|noun|pron,2,form_only
117,آئی,came (feminine singular),True,verb,True,False,,True,6.06,False,False,False,,True,noun|propn|verb,3,semantic_review
118,ہمارے,our; ours (masculine plural/oblique form),False,,False,False,,True,5.92,False,False,False,,True,pron,2,form_only
128,دوران,duration; course; period; during (in کے دوران),False,,False,False,,True,5.80,False,False,False,,True,adp|adv|noun,2,form_only
132,بڑی,"big; large; elder/older; great (feminine form of بڑا, context-dependent)",True,adj,True,False,,True,5.77,False,False,False,,True,adj|adv|det|propn,3,semantic_review
134,مجھے,me; to me,True,pron,True,False,,True,5.93,False,False,False,,True,pron,3,semantic_review
135,ایسے,such; like this/that; in this way,False,,False,False,,True,5.84,False,False,False,,True,det|pron,2,form_only
144,ممالک,countries,True,noun,True,False,,True,5.61,False,False,False,,True,noun,3,semantic_review
147,میرے,my; mine (masculine plural/oblique form),False,,False,False,,True,5.86,False,False,False,,True,pron,2,form_only
162,ہمیں,us; to us,True,pron,True,False,,True,5.76,False,False,False,,True,pron,3,semantic_review
168,بچوں,children,True,noun,True,False,,True,5.54,False,False,False,,True,noun|propn,3,semantic_review
171,ایسا,such; like this/that; of this kind,False,,False,False,,True,5.77,False,False,False,,True,adv|det|pron,2,form_only
175,خواتین,women; ladies,True,noun,True,False,,True,5.55,False,False,False,,True,adj|noun,3,semantic_review
178,ہماری,our; ours (feminine form),False,,False,False,,True,5.68,False,False,False,,True,pron,2,form_only
182,دوسری,second; other (feminine),False,,False,False,,True,5.65,False,False,False,,True,adj|num,2,form_only
195,میری,my; mine (feminine),True,pron,True,False,,True,5.72,False,False,False,,True,pron,3,semantic_review
197,سامنے,in front; in front of; facing; opposite,False,,False,False,,True,5.70,False,False,False,,True,adp|adv,2,form_only
213,مسائل,problems; issues,True,noun,True,False,,True,5.13,False,False,False,,True,noun,3,semantic_review
214,تاکہ,so that; in order that,False,,False,False,,True,5.31,False,False,False,,True,sconj,2,form_only
221,تھیں,were (feminine plural past of ہونا),False,,False,False,,True,5.69,False,False,False,,True,aux|verb,2,form_only
225,پہلی,first (feminine),True,adj,True,False,,True,5.54,False,False,False,,True,adj|num,3,semantic_review
229,یہی,this very; this same; exactly this,False,,False,False,,True,5.73,False,False,False,,True,det|pron,2,form_only
234,وی,the letter V (especially in acronyms),False,,False,False,,True,5.39,False,False,False,,True,noun|propn,2,form_only
245,فراہم,provided; supplied; available; furnished,True,adj,True,False,,True,5.26,False,False,False,,True,adj|noun,3,semantic_review
257,او,O!; oh!; the letter O (context-dependent),True,adv|prep|pron,True,False,,True,5.41,False,False,False,,True,noun|propn,3,semantic_review
262,کس,"whom; which; whose/of whom (singular oblique interrogative, context-dependent)",True,noun|pron,True,False,,True,5.62,False,False,False,,True,adj|det|noun|pron,3,semantic_review
263,بڑھ,increase; grow; advance (stem/imperative base of بڑھنا),False,,False,False,,True,5.30,False,False,False,,True,adj|verb,2,form_only
299,انتخابات,elections,True,noun,True,False,,True,5.49,False,False,False,,True,noun,3,semantic_review
301,تعلقات,relations; relationships; connections,True,noun,True,False,,True,5.33,False,False,False,,True,noun|propn,3,semantic_review
306,شرکت,participation; involvement; association; company/partnership (context-dependent),True,noun,True,False,,True,5.20,False,False,False,,True,noun,3,semantic_review
309,رہ,remain; stay; live (stem/imperative base of رہنا),False,,False,False,,True,5.51,False,False,False,,True,propn|verb,2,form_only
348,زر,gold; money; wealth,False,,False,False,,True,4.42,False,False,False,,True,noun,2,form_only
349,مسلمانوں,Muslims (oblique plural),True,noun,False,False,,True,5.43,False,False,False,,True,noun|propn,3,form_only
357,سمیت,including; together with; along with,False,,False,False,,True,5.27,False,False,False,,True,adp,2,form_only
360,فی,per; each; for each,False,,False,False,,True,5.43,False,False,False,,True,adj|adp|adv|part,2,form_only
393,کون,who?,True,noun|pron,True,False,,True,5.37,False,False,False,,True,det|pron,3,semantic_review
417,ذرائع,sources; means; resources,True,noun,True,False,,True,5.38,False,False,False,,True,adp|noun|propn,3,semantic_review
422,اقوام,nations; peoples,True,noun,True,False,,True,5.26,False,False,False,,True,noun|propn,3,semantic_review
423,دورہ,visit; tour; round; attack/fit (medical/context-dependent),False,,False,False,,True,5.07,False,False,False,,True,noun,2,form_only
425,جسے,whom; which; to whom; to which,False,,False,False,,True,5.47,False,False,False,,True,pron,2,form_only
437,از,"from, by",True,prep,False,False,,True,5.32,False,False,False,,True,adp|adv|part,3,form_only
454,آر,the letter R (especially in acronyms),False,,False,False,,True,5.39,False,False,False,,True,noun|propn,2,form_only
457,مذاکرات,negotiations; talks,True,noun,True,False,,True,4.64,False,False,False,,True,noun,3,semantic_review
464,لگے,"seemed; began; were attached (form of لگنا, context-dependent)",True,verb,True,False,,True,5.43,False,False,False,,True,verb,3,semantic_review
476,مستقبل,future,True,adj|noun,True,False,,True,5.13,False,False,False,,True,noun,3,semantic_review
478,خدمات,services,True,noun,True,False,,True,5.14,False,False,False,,True,noun,3,semantic_review
479,ون,"one (English loan, especially in compounds); forest/wood (literary)",False,,False,False,,True,4.80,False,False,False,,True,noun|num,2,form_only
503,داری,possession; holding; practice/state; -holding/-keeping (especially in compounds),False,,False,False,,True,5.14,False,False,False,,False,,1,weak
509,کن,"which; whom (plural/oblique interrogative, context-dependent)",False,,False,False,,True,4.93,False,False,False,,False,,1,weak
518,روڈ,road,False,,False,False,,True,5.06,False,False,False,,True,noun|propn,2,form_only
540,چنانچہ,therefore; consequently; accordingly,False,,False,False,,True,5.23,False,False,False,,True,adv|sconj,2,form_only
541,واقعات,events; incidents,True,noun,True,False,,True,5.29,False,False,False,,True,noun,3,semantic_review
551,سوچ,thought; thinking; think! (stem/imperative of سوچنا),False,,False,False,,True,5.21,False,False,False,,True,adj|noun,2,form_only
555,سکا,could; was able to (masculine singular form),True,noun,True,False,,True,4.98,False,False,False,,True,aux,3,semantic_review
564,ساری,all; whole (feminine),True,det,False,False,,True,5.27,False,False,False,,True,adj|det,3,form_only
