Front,Back
بہی,"Rank: 1001

Meaning: n. quince | Platts: s.f. Book of daily accounts, inerchant's or banker's book, ledger, register, diary, journal… | also: feminine singular of بَہْنا (bahnā — to flow)

Part of speech: noun

Frequency evidence: 140157

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
کرنے,"Rank: 1002

Meaning: inflection of करना (karnā): | also: infinitive indirect of کَرْنا (karnā — to do)

Part of speech: content word

Frequency evidence: 64589

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
تہا,"Rank: 1003

Meaning: Was, (irreg. past tense masc. sing. of the verb honā, 'to be'; — fem. sing. thī: see Gram.)

Part of speech: content word

Frequency evidence: 61762

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
کہا,"Rank: 1004

Meaning: said (of کہنا)

Part of speech: content word

Frequency evidence: 61090

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
رہے,"Rank: 1005

Meaning: remained (plural)

Part of speech: content word

Frequency evidence: 39784

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
کریں,"Rank: 1006

Meaning: do (polite/plural of کرنا)

Part of speech: content word

Frequency evidence: 37351

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
کرتے,"Rank: 1007

Meaning: do (plural of کرنا)

Part of speech: content word

Frequency evidence: 34818

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
ہونے,"Rank: 1008

Meaning: inflection of होना (honā, “to be”):

Part of speech: content word

Frequency evidence: 34212

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
گئے,"Rank: 1009

Meaning: went (plural)

Part of speech: content word

Frequency evidence: 34143

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
والے,"Rank: 1010

Meaning: the ones who/that (plural suffix)

Part of speech: content word

Frequency evidence: 33589

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
جا,"Rank: 1011

Meaning: the inflected base, in Braj, of the rel. pron. jo, and = the Hindī jis; — e.g. jā-su, From whom, from which;…

Part of speech: content word

Frequency evidence: 32228

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
تہی,"Rank: 1012

Meaning: adj. Empty, void, vacant, vain: — tihī-dast, adj. Empty-handed; poor: — tihī-dastī, s.f. Poverty, penury: —…

Part of speech: content word

Frequency evidence: 31627

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
گئی,"Rank: 1013

Meaning: went (feminine of جانا)

Part of speech: content word

Frequency evidence: 31279

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
رہا,"Rank: 1014

Meaning: remained; continuous marker (of رہنا)

Part of speech: content word

Frequency evidence: 29272

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
رہی,"Rank: 1015

Meaning: remained (feminine)

Part of speech: content word

Frequency evidence: 25044

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
جاتا,"Rank: 1016

Meaning: (fem. of jāta, jāt, q.v.), s.f. Female offspring, a daughter

Part of speech: content word

Frequency evidence: 24185

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
ہوتی,"Rank: 1017

Meaning: happens, is (feminine)

Part of speech: content word

Frequency evidence: 19935

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
ٹیم,"Rank: 1018

Meaning: team

Part of speech: content word

Frequency evidence: 19654

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
مطابق,"Rank: 1019

Meaning: according to (کے مطابق)

Part of speech: content word

Frequency evidence: 19398

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
بی,"Rank: 1020

Meaning: the English letter B (in acronyms)

Part of speech: content word

Frequency evidence: 19140

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
ہوئی,"Rank: 1021

Meaning: happened, became (feminine of ہونا)

Part of speech: content word

Frequency evidence: 19080

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
والی,"Rank: 1022

Meaning: the one who/that (feminine suffix)

Part of speech: content word

Frequency evidence: 18238

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
سکتا,"Rank: 1023

Meaning: can, is able (masculine of سکنا)

Part of speech: content word

Frequency evidence: 18132

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
دے,"Rank: 1024

Meaning: inflection of देना (denā):

Part of speech: content word

Frequency evidence: 17951

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
پہر,"Rank: 1025

Meaning: n. unit of time equalling three hours | Platts: s.m. A division of time consisting of eight ghaṛīs or three hours, an eighth part of a day, a watch: —…

Part of speech: noun

Frequency evidence: 17870

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
جاتی,"Rank: 1026

Meaning: s.f. See jāt, s.f

Part of speech: content word

Frequency evidence: 17374

Sources:
- CLE Urdu 5,000 corpus frequency list — ranking/form authority
- ReadUrdu and/or Kaikki/Wiktextract — learner-semantic evidence
- CLE WordNet/closed-class lists — independent lexical-support signals where available
- Continuation candidate; requires independent verification before promotion"
