Front,Back
پاکستان,"Rank: 1001

Meaning: Pakistan

Frequency evidence: wordfreq Zipf 6.50
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: modern-corroborated core sense — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — modern corpus-derived bilingual corroboration"
اللہ,"Rank: 1002

Meaning: Allah

Frequency evidence: wordfreq Zipf 6.44
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: modern-corroborated core sense — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — modern corpus-derived bilingual corroboration"
پھر,"Rank: 1003

Meaning: then

Frequency evidence: wordfreq Zipf 6.17
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: modern-corroborated core sense — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — modern corpus-derived bilingual corroboration"
گئے,"Rank: 1004

Meaning: went

Frequency evidence: wordfreq Zipf 6.17
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: modern-corroborated core sense — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — modern corpus-derived bilingual corroboration"
اسلام,"Rank: 1005

Meaning: Islam

Frequency evidence: wordfreq Zipf 6.01
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: modern-corroborated core sense — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — modern corpus-derived bilingual corroboration"
کہا,"Rank: 1006

Meaning: said

Frequency evidence: wordfreq Zipf 6.00
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: modern-corroborated core sense — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — modern corpus-derived bilingual corroboration"
محمد,"Rank: 1007

Meaning: Muhammad

Frequency evidence: wordfreq Zipf 5.95
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: modern-corroborated core sense — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — modern corpus-derived bilingual corroboration"
کرتا,"Rank: 1008

Meaning: does

Frequency evidence: wordfreq Zipf 5.90
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: modern-corroborated core sense — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — modern corpus-derived bilingual corroboration"
مطابق,"Rank: 1009

Meaning: according to

Frequency evidence: wordfreq Zipf 5.87
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: modern-corroborated core sense — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — modern corpus-derived bilingual corroboration"
لیا,"Rank: 1010

Meaning: took

Frequency evidence: wordfreq Zipf 5.86
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: modern-corroborated core sense — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — modern corpus-derived bilingual corroboration"
