rank,front,meaning,pos,frequency,cle_wordnet,cle_closed_class,readurdu_entry,readurdu_meaning,kaikki_entry,kaikki_meaning,source
1001,بہی,"n. quince | Platts: s.f. Book of daily accounts, inerchant's or banker's book, ledger, register, diary, journal… | also: feminine singular of بَہْنا (bahnā — to flow)",noun,140157,False,False,True,"n. quince | Platts: s.f. Book of daily accounts, inerchant's or banker's book, ledger, register, diary, journal… | also: feminine singular of بَہْنا (bahnā — to flow)",True,quince,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1002,پہر,"n. unit of time equalling three hours | Platts: s.m. A division of time consisting of eight ghaṛīs or three hours, an eighth part of a day, a watch: —…",noun,17870,False,True,True,"n. unit of time equalling three hours | Platts: s.m. A division of time consisting of eight ghaṛīs or three hours, an eighth part of a day, a watch: —…",True,unit of time equalling three hours,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1003,علاوہ,"besides, in addition to (کے علاوہ)",closed-class,10312,False,True,True,"besides, in addition to (کے علاوہ)",False,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1004,بہائی,"adj. Baháʼí | n. Baháʼí | Platts: s.f. A spirit, supposed to tease infants by whispering alternately sad and pleasing things in their ears…",adj|noun,5738,False,False,True,"adj. Baháʼí | n. Baháʼí | Platts: s.f. A spirit, supposed to tease infants by whispering alternately sad and pleasing things in their ears…",True,Baháʼí,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1005,نصف,"(inf. n. of نصف 'to halve,' &c.), s.m. The half; — adj. Half; semi-; — middle-aged…",closed-class,1407,False,True,True,"(inf. n. of نصف 'to halve,' &c.), s.m. The half; — adj. Half; semi-; — middle-aged…",False,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1006,آرام,"rest, comfort",noun,1405,True,False,True,"rest, comfort",True,rest; comfort; leisure,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1007,مواقع,"plural of مَوْقِع (mauqaʻ) | also: plural formal of مَوقَعْ (mauqa' — chance, opportunity)",noun,1404,False,False,True,"plural of مَوْقِع (mauqaʻ) | also: plural formal of مَوقَعْ (mauqa' — chance, opportunity)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1008,ڈیرہ,settlement,noun,1403,False,False,True,settlement,True,settlement,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1009,لوٹ,"spoils; loot; swag | also: form of لُوٹنا (lūṭnā — to loot, steal) | also: form of لَوٹْنا (lauṭnā — to return)",noun,1401,False,False,True,"spoils; loot; swag | also: form of لُوٹنا (lūṭnā — to loot, steal) | also: form of لَوٹْنا (lauṭnā — to return)",True,loot; swag; spoils,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
1010,سفید,"adj. white; clean; blank | Platts: adj. White; clean, blank: — safaid-posh, adj. & s.m. Clothed in white; — a man dressed in white…",adj,1399,False,False,True,"adj. white; clean; blank | Platts: adj. White; clean, blank: — safaid-posh, adj. & s.m. Clothed in white; — a man dressed in white…",True,blank; clean; white,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
