rank,front,meaning,wordfreq_zipf,semantic_support,kaikki_readurdu_agree,kaikki_word2word_agree,readurdu_word2word_agree,kaikki_meaning,readurdu_meaning,word2word_meaning
1001,پاکستان,Pakistan,6.50,Kaikki+ReadUrdu+word2word,True,True,True,"Pakistan (a country in South Asia; official name: اسلامی جمہوریہ پاکستان (islāmī jamhūriya-e pākistān, “Islamic Republic of Pakistan”); capital: اسلام آباد (islām-ābād, “Islamabad”))","Pakistan (a country in South Asia; official name: اسلامی جمہوریہ پاکستان (islāmī jamhūriya-e pākistān,…",Pakistan; Paks; Pakistani; low-level; Mullah-crack-a-dulla
1002,اللہ,Allah,6.44,ReadUrdu+word2word,True,True,True,God; Allah,n. Allah; God,Allahu; Akbar; Allah; Bismillah; al-Rahim
1003,پھر,then; again,6.17,ReadUrdu+word2word,False,False,True,,"then, afterwards; so; again",again; Then; then; Turk; Or
1004,گئے,went,6.17,ReadUrdu+word2word,False,False,True,,went (plural),gone; went; took; Went; changed
1005,اسلام,Islam,6.01,Kaikki+ReadUrdu+word2word,True,True,True,Islam,name: Islam,Islam; religion; Balawi; 45; Islamabad
1006,کہا,said,6.00,ReadUrdu+word2word,False,False,True,,said (of کہنا),said; Mother; told; asked; called
1007,محمد,Mohammed,5.95,ReadUrdu+word2word,True,True,True,"the Islamic prophet Muhammad; a male given name, Muhammad, Mohammed, or Mohammad, from Arabic","name: the Islamic prophet Muhammad; a male given name, Muhammad, Mohammed, or Mohammad, from Arabic",Shaikh; Mohammed; facilitators; Mohamed; messenger
1008,کرتا,does,5.90,ReadUrdu+word2word,False,False,True,,does (masculine of کرنا); kurta (shirt),works; does; PLAYS; MUSIC; uses
1009,مطابق,according to,5.87,ReadUrdu+word2word,False,False,True,,according to (کے مطابق),According; date; table; intruder; release
1010,لیا,took,5.86,ReadUrdu+word2word,False,False,True,,took (masculine of لینا),took; taken; appointment; saved; captured
1011,سکتا,can,5.85,ReadUrdu+word2word,False,False,True,,"can, is able (masculine of سکنا)",might; Can; couldn; breathe; happen
1012,پنجاب,Punjab,5.83,Kaikki+ReadUrdu,True,False,False,"Punjab (a province in Pakistan); Punjab (a state in northern India); Punjab (a geographical region in South Asia, politically divided between India and Pakistan)","Punjab (a geographical region in South Asia, politically divided between India and Pakistan); Punjab (a state in northern India); Punjab (a province in Pakistan)",
1013,پولیس,police,5.80,ReadUrdu+word2word,False,False,True,,police,police; Police; cop; policeman; cops
1014,آئے,came,5.75,ReadUrdu+word2word,False,False,True,,came (plural),come; came; COME; HAVE; forgot
1015,امریکی,American,5.75,ReadUrdu+word2word,False,False,True,,American,American; U.S; breathe; citizen; Army
