rank,front,meaning,wordfreq_zipf,semantic_support,kaikki_meaning,readurdu_meaning,word2word_meaning
1001,پاکستان,Pakistan,6.50,Kaikki+ReadUrdu+word2word,"Pakistan (a country in South Asia; official name: اسلامی جمہوریہ پاکستان (islāmī jamhūriya-e pākistān, “Islamic Republic of Pakistan”); capital: اسلام آباد (islām-ābād, “Islamabad”))","Pakistan (a country in South Asia; official name: اسلامی جمہوریہ پاکستان (islāmī jamhūriya-e pākistān,…",Pakistan; Paks; Pakistani; low-level; Mullah-crack-a-dulla
1002,اللہ,Allah; God,6.44,Kaikki+ReadUrdu+word2word,God; Allah,"n. Allah; God | Platts: (i.e. al ilāh, 'the God,' by way of eminence), s.m. God, the Supreme Being…",Allahu; Akbar; Allah; Bismillah; al-Rahim
1003,پھر,then; again,6.17,ReadUrdu+word2word,,"then, afterwards; so; again | also: form of پِھرْنا (phirnā — to wander, sightsee, walk)",again; Then; then; Turk; Or
1004,گئے,went,6.17,ReadUrdu+word2word,,went (plural),gone; went; took; Went; changed
1005,اسلام,Islam,6.01,Kaikki+ReadUrdu+word2word,Islam,"name: Islam | Platts: s.m. The Mohammadan religion; orthodoxy (according to Moḥammadans): — islām lānā, islām qubūl karnā, v.n. To…",Islam; religion; Balawi; 45; Islamabad
1006,کہا,said,6.00,ReadUrdu+word2word,,said (of کہنا),said; Mother; told; asked; called
1007,محمد,Mohammed; a male given name,5.95,Kaikki+ReadUrdu+word2word,"the Islamic prophet Muhammad; a male given name, Muhammad, Mohammed, or Mohammad, from Arabic","name: the Islamic prophet Muhammad; a male given name, Muhammad, Mohammed, or Mohammad, from Arabic | Platts: (pass. part. of حمّد 'to praise much or repeatedly,' ii of حمد 'to praise'), part. Greatly (or highly)…",Shaikh; Mohammed; facilitators; Mohamed; messenger
1008,کرتا,does,5.90,ReadUrdu+word2word,,does (masculine of کرنا); kurta (shirt),works; does; PLAYS; MUSIC; uses
1009,مطابق,according to,5.87,ReadUrdu+word2word,,according to (کے مطابق),According; date; table; intruder; release
1010,لیا,took,5.86,ReadUrdu+word2word,,took (masculine of لینا),took; taken; appointment; saved; captured
1011,سکتا,Can,5.85,ReadUrdu+word2word,,"can, is able (masculine of سکنا)",might; Can; couldn; breathe; happen
1012,پنجاب,Punjab,5.83,Kaikki+ReadUrdu,"Punjab (a province in Pakistan); Punjab (a state in northern India); Punjab (a geographical region in South Asia, politically divided between India and Pakistan)","Punjab (a geographical region in South Asia, politically divided between India and Pakistan); Punjab (a state in northern India); Punjab (a province in Pakistan)",
1013,پولیس,police,5.80,ReadUrdu+word2word,,police,police; Police; cop; policeman; cops
1014,آئے,came,5.75,ReadUrdu+word2word,,came (plural),come; came; COME; HAVE; forgot
1015,امریکی,American,5.75,ReadUrdu+word2word,,American,American; U.S; breathe; citizen; Army
