rank,front,meaning,wordfreq_zipf,dictionary_source,opus_strength,opus_details
1001,پاکستان,Pakistan,6.50,Kaikki,33.138,"[{""stem"":""pakistan"",""cooccurrence_sentences"":546,""urdu_sentences"":763,""english_sentences"":697,""observed_rate"":0.7156,""lift"":246.32}]"
1002,اللہ,God,6.44,Kaikki,20.62,"[{""stem"":""god"",""cooccurrence_sentences"":27,""urdu_sentences"":168,""english_sentences"":265,""observed_rate"":0.16071,""lift"":145.51}]"
1003,رہے,remained,6.31,ReadUrdu,21.841,"[{""stem"":""remain"",""cooccurrence_sentences"":158,""urdu_sentences"":7526,""english_sentences"":1099,""observed_rate"":0.02099,""lift"":4.58}]"
1004,پھر,then,6.17,ReadUrdu,34.177,"[{""stem"":""then"",""cooccurrence_sentences"":789,""urdu_sentences"":2981,""english_sentences"":1960,""observed_rate"":0.26468,""lift"":32.4}]"
1005,اسلام,Islam,6.01,Kaikki,24.896,"[{""stem"":""islam"",""cooccurrence_sentences"":69,""urdu_sentences"":145,""english_sentences"":102,""observed_rate"":0.47586,""lift"":1119.32}]"
1006,کہا,said,6.00,ReadUrdu,41.91,"[{""stem"":""said"",""cooccurrence_sentences"":14126,""urdu_sentences"":25315,""english_sentences"":17176,""observed_rate"":0.55801,""lift"":7.79}]"
1007,محمد,Mohammed,5.95,Kaikki,25.955,"[{""stem"":""mohamm"",""cooccurrence_sentences"":105,""urdu_sentences"":551,""english_sentences"":125,""observed_rate"":0.19056,""lift"":365.76}]"
1008,کرتا,does,5.90,ReadUrdu,20.687,"[{""stem"":""does"",""cooccurrence_sentences"":104,""urdu_sentences"":4853,""english_sentences"":870,""observed_rate"":0.02143,""lift"":5.91}]"
1009,مطابق,according to,5.87,ReadUrdu,30.681,"[{""stem"":""accord"",""cooccurrence_sentences"":500,""urdu_sentences"":5654,""english_sentences"":1290,""observed_rate"":0.08843,""lift"":16.45}]"
1010,لیا,took,5.86,ReadUrdu,23.123,"[{""stem"":""took"",""cooccurrence_sentences"":121,""urdu_sentences"":2908,""english_sentences"":904,""observed_rate"":0.04161,""lift"":11.04}]"
