rank,front,meaning,frequency,cle_wordnet,cle_closed_class,kaikki_meaning,readurdu_meaning,word2word_meaning,kaikki_readurdu_agreement,kaikki_word2word_agreement,readurdu_word2word_agreement,semantic_basis
1001,آرام,rest; comfort,1405,True,False,rest; comfort; leisure,"rest, comfort",rest; relax; Easy; calm; stay,True,True,True,kaikki+readurdu+word2word
1002,کب,when,1383,False,True,when,,When; long; spoke; attack; longer,False,True,False,kaikki+word2word
1003,تیس,thirty,1313,False,True,thirty,,Thirty; Thirty-eight; seconds; Twenty; turn,False,True,False,kaikki+word2word
1004,جون,June,1276,False,True,June,,June; Can; bun; hot; seat,False,True,False,kaikki+word2word
1005,تب,then,1261,False,True,then,,woods; Into; since; Then; Fine,False,True,False,kaikki+word2word
1006,سردی,winter (season of the year),1258,False,True,the cold; shivering; winter (season of the year),,sweaty; shirt; winter; catch; change,False,True,False,kaikki+word2word
1007,جناب,sir; mister,1221,False,True,"sir, mister; Excellency, Honour",,sir; Mr; Sir; Mister; Luthor,False,True,False,kaikki+word2word
1008,رواں,flowing; fluent; well-versed,1219,True,False,"flowing; fluent, well-versed; free (ie. of part of a machine)","flowing; fluent, well-versed; en route, set off (of a vehicle, group etc. on a journey)",climate; current; able; being; Staff,True,False,False,kaikki+readurdu
1009,روح,soul; spirit,1214,True,False,"soul, spirit; essence, quintessence","soul, spirit",spirit; soul; her; Too; independent,True,True,True,kaikki+readurdu+word2word
1010,چالیس,forty,1196,False,True,forty,,Forty; 40.; Back; somewhere; Fifty,False,True,False,kaikki+word2word
1011,تمہیں,contracted dative; accusative of تم (tum),1194,False,True,contracted dative/accusative of تم (tum),contracted dative/accusative of تم (tum),wanna; YOU; understand; sure; TO,True,False,False,kaikki+readurdu
1012,مزاج,humor; temperament,1190,False,True,humor; temperament,humor; temperament,mood; marching; Max; seconds; was,True,False,False,kaikki+readurdu
1013,سورج,Sun; sun,1148,True,False,"Sun, sun; sunshine",,sun; center; Sun; With; moving,False,True,False,kaikki+word2word
1014,رب,Lord; An epithet for God,1128,True,False,owner; possessor; Lord; An epithet for God,"Lord, God",Lord; Praise; butchers; Brother; everlasting,True,True,True,kaikki+readurdu+word2word
1015,تیسرا,third,1099,False,True,third,third,third; male; The; northeast; corner,True,True,True,kaikki+readurdu+word2word
1016,بہار,bloom; spring (season),1085,False,True,"blossom, bloom; glory, splendor; spring (season)",spring; bloom,Spring; Meet; Third; on; and,True,True,True,kaikki+readurdu+word2word
1017,گرمی,heat,1006,False,True,"heat; anger, rage; love, cordiality",,heat; warmth; mercenaries; summer; Have,False,True,False,kaikki+word2word
1018,مئی,May,986,False,True,May,,May; reportedly; 20th; since; remember,False,True,False,kaikki+word2word
1019,کرم,kindness,982,False,True,bravery; kindness; honour; decency,"kindness, grace, generosity",loaf; Peace; all-clear; upon; pal,True,False,False,kaikki+readurdu
1020,روم,Rome; Asia Minor,962,True,False,Rome; Turkey; Asia Minor,"name: Asia Minor; Byzantine Empire; Ottoman Caliphate | Platts: prop. n. Greece (the lower empire); Rome, the eastern Roman empire; the Turkish empire; Roumelia…",Rom; room; Rome; classes; Wrong,True,True,True,kaikki+readurdu+word2word
1021,شکریہ,thank; thanks; thank you,946,False,True,"gratitude, thank; thanks, thank you",,Thank; Thanks; thank; THANK; YOU,False,True,False,kaikki+word2word
1022,لاش,corpse,903,True,False,corpse,corpse,body; Somebody; Find; jobs; Bring,True,False,False,kaikki+readurdu
1023,بہ,in,894,True,False,"with, by, for, in","n. with, by, for, in | Platts: prep. (separable form), By, with, &c. (see the inseparable form ب ba).",these; Technically; exist; don; t,True,False,False,kaikki+readurdu
1024,صفر,zero,883,False,True,zero,"num. zero | n. nought, naught, cipher, zero",Two-seven-zero; three-zero-zero; zero; ones; among,True,True,True,kaikki+readurdu+word2word
1025,دراز,drawer,873,True,False,"drawer; long, tall",,drawers; empty; Go; all; office,False,True,False,kaikki+word2word
1026,وادی,valley,867,True,False,valley,,THE; LINE; FAULT; valley; IN,False,True,False,kaikki+word2word
1027,ارادہ,intention,857,True,False,intention; purpose; aim; desire; inclination,"intention, resolve",intention; intended; expected; morning; plan,True,True,True,kaikki+readurdu+word2word
1028,بائیں,to the left,853,False,True,,"to the left, leftward",left; Left; lane; Your; launching,False,False,True,readurdu+word2word
1029,مت,don't (imperative negation),847,False,True,"religion, creed; don't (imperative negation)",don't (prohibitive); opinion; vote,Don; Do; worry; forget; touch,True,False,False,kaikki+readurdu
1030,دائیں,to the right,820,False,True,,"to the right, rightward",right; Right; Block; Use; Watch,False,False,True,readurdu+word2word
1031,چودہ,fourteen,805,False,True,fourteen,fourteen,Fourteen; intercept; FOURTEEN-THIRTY; minutes; to,True,True,True,kaikki+readurdu+word2word
1032,محترمہ,lady,762,False,True,lady,lady,Lady; calm; Is; Understand; ladies,True,True,True,kaikki+readurdu+word2word
1033,راز,secret,761,True,False,secret; mystery; confidential; clandestine,secret,secrets; secret; Secret; Savage; Love,True,True,True,kaikki+readurdu+word2word
1034,ستر,seventy,728,False,True,seventy,,Seventy; BACKTRACK; SEVENTY; SO; OR,False,True,False,kaikki+word2word
1035,دروازہ,door,660,True,False,"door; gate; path, way",,door; Open; Knock; DOOR; Stand,False,True,False,kaikki+word2word
