rank,front,meaning,frequency,indowordnet_lemma,kaikki_meaning,readurdu_meaning,word2word_meaning,kaikki_readurdu_agreement,kaikki_word2word_agreement,readurdu_word2word_agreement,semantic_basis
1001,کرتا,does (masculine of کرنا),13089,True,,does (masculine of کرنا); kurta (shirt),works; does; PLAYS; MUSIC; uses,False,False,True,readurdu+word2word
1002,پولیس,police,12285,True,,police,police; Police; cop; policeman; cops,False,False,True,readurdu+word2word
1003,آئے,came (plural),9322,True,,came (plural),come; came; COME; HAVE; forgot,False,False,True,readurdu+word2word
1004,تعمیر,building,8317,True,,"construction, building",build; built; rebuild; BUILT; REBUILD,False,False,True,readurdu+word2word
1005,نمبر,number; phone number,6107,True,,"number, numeral; phone number",number; No; numbers; requested; calling,False,False,True,readurdu+word2word
1006,پیداوار,produce; production,4983,True,,"produce; yield (of land); production, manufacture",produce; production; warm; nice; Increase,False,False,True,readurdu+word2word
1007,ڈالر,dollar,4749,True,,dollar,dollars; billions; Dollars; bald; 1200,False,False,True,readurdu+word2word
1008,کہیں,somewhere; anywhere,4506,True,,"somewhere, anywhere",anywhere; somewhere; nowhere; Anywhere; wherever,False,False,True,readurdu+word2word
1009,آؤٹ,out,4201,True,,out,OUT; walk-out; ONE-NINETY-EIGHT; MIGHT; NOT,False,False,True,readurdu+word2word
1010,برقرار,maintained,3776,True,,"established, confirmed, fixed, settled, maintained",maintain; Maintaining; preserve; oxygen; level,False,False,True,readurdu+word2word
1011,ملے,met,3726,True,,"met, received (plural)",met; ice; Somebody; Tess; anxious,False,False,True,readurdu+word2word
1012,محفوظ,part. Kept safe,3438,True,,"(pass. part. of حفظ 'to keep, preserve, guard,' &c.), part. Kept safe, preserved, guarded, protected, taken…",safe; SAFE; BE; D; WARM,False,False,True,readurdu+word2word
1013,چلا,went (of چلنا),3123,True,,"moved, went (of چلنا)",gone; running; went; goes; stone,False,False,True,readurdu+word2word
1014,طالب,seeker (طالب علم = student),2424,True,,seeker (طالب علم = student),student; Hampshire; Twenty-six; Med; kid,False,False,True,readurdu+word2word
1015,بنائی,made (feminine),2269,True,,made (feminine),made; every; This; phone; Russian,False,False,True,readurdu+word2word
1016,جسٹس,justice (judge's title),2252,True,,justice (judge's title),JUSTICE; justice; law; without; judges,False,False,True,readurdu+word2word
1017,ٹیپ,tape,2178,True,tape,,tapped; tape; -what; Honey; AC,False,True,False,kaikki+word2word
1018,اسرائیلی,Israeli,1902,True,,Israeli,Israeli; Israelis; anything; Go; holiday,False,False,True,readurdu+word2word
1019,محدود,(pass. part. of حدّ 'to define the limits (of); part. Limited,1896,True,,"(pass. part. of حدّ 'to define the limits (of); to define,' &c.), part. Limited, bounded, terminated, finite;…",limited; supervision; restrict; KP; license,False,False,True,readurdu+word2word
1020,میٹر,meter,1760,True,,meter,meters; mm; meter; thick; eight,False,False,True,readurdu+word2word
1021,توڑ,break; breaking,1564,True,,"break, fissure; breaking; check",Break; break; broke; breaking; BREAK,False,False,True,readurdu+word2word
1022,انٹرویو,interview,1421,True,,interview,JOB; BOSS; OF; INTERVIEWS; INTERVIEW,False,False,True,readurdu+word2word
1023,ڈگری,degree,1406,True,,degree,second-degree; charts; degree; ROTC; scholarship,False,False,True,readurdu+word2word
1024,ضمانت,bail; guarantee,1350,True,"bail; guarantee, security",,guarantee; child; bailed; BAILED; bail,False,True,False,kaikki+word2word
1025,چائے,cha; tea,1348,True,cha; tea,tea; chai; cha,GRANNY; PEACH; TEA; S; bucket,True,True,True,kaikki+readurdu+word2word
1026,سمندر,sea; ocean,1328,True,"sea, ocean; vast; boundless; limitless (entity, land etc.)",,sea; ocean; ere; O; forthwith,False,True,False,kaikki+word2word
1027,سنچری,century,1312,True,century,century,hundred; point; fucking; got; at,True,False,False,kaikki+readurdu
1028,چاند,moon,1301,True,moon; silver; a crown,,moon; More; than; -; the,False,True,False,kaikki+word2word
1029,ترکی,the Turkish language; a horse of Turkish breed; Turkish,1294,True,"the Turkish language; a horse of Turkish breed; of or belonging to a Turk; Turkish, Turk-like",Turkey; Turkish,Turkish; Turkey; venerable; harem; disease,True,True,True,kaikki+readurdu+word2word
1030,ترجمہ,translation,1276,True,"rendering, rendition; translation; interpretation",translation,examples; forms; dialect; translate; speak,True,False,False,kaikki+readurdu
1031,جون,June,1276,True,June,,June; Can; bun; hot; seat,False,True,False,kaikki+word2word
1032,نمائندگی,representation (broadly; not limited.),1255,True,"representation (broadly, not limited.)","representation (broadly, not limited.)",represent; Represent; warn; Strategic; Scientific,True,True,True,kaikki+readurdu+word2word
1033,سیٹ,a seat,1246,True,,a seat,set; seat; boss; ringer; vibrate,False,False,True,readurdu+word2word
1034,ٹن,ton,1243,True,,ton,tin; making; foil; hat; ton,False,False,True,readurdu+word2word
1035,گرام,gram (unit of mass),1235,True,gram (unit of mass),gram,150; kilograms; popped; high; explosives,True,False,False,kaikki+readurdu
1036,ٹکٹ,ticket,1233,True,ticket,ticket,ticket; Tickets; Could; stamps; top,True,True,True,kaikki+readurdu+word2word
1037,ریڈیو,radio,1222,True,radio,radio,radio; RADIO; CHATTER; transmitter; CONTINUE,True,True,True,kaikki+readurdu+word2word
1038,شہرت,fame,1214,True,"notoriety; fame, reputation; renown",fame,,True,False,False,kaikki+readurdu
1039,نوٹس,notice,1213,True,,notice,notice; isn; properly; further; scratches,False,False,True,readurdu+word2word
1040,ایمان,faith; belief,1212,True,creed; intention; faith; belief,"faith, belief; integrity",faith; Faith; Evasion; dishonesty; Synesius,True,True,True,kaikki+readurdu+word2word
