rank,front,meaning,frequency_evidence,frequency_source,semantic_support,kaikki_readurdu_agree,kaikki_word2word_agree,readurdu_word2word_agree,kaikki_meaning,readurdu_meaning,word2word_meaning
1001,بہی,quince,140157,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,quince,n. quince | Platts:,Also; as; known; ?
1002,کہا,said (of کہنا),61090,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,said (of کہنا),said; Mother; told; asked; called
1003,گئے,went (plural),34143,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,went (plural),gone; went; took; Went; changed
1004,ٹیم,team,19654,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,team,team; response; Team; kidnap; leading
1005,مطابق,according to (کے مطابق),19398,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,according to (کے مطابق),According; date; table; intruder; release
1006,سکتا,can,18132,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"can, is able (masculine of سکنا)",might; Can; couldn; breathe; happen
1007,پہر,unit of time equalling three hours,17870,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,unit of time equalling three hours,n. unit of time equalling three hours | Platts:,hopefully; raid; afternoon; set; ISI
1008,بارے,about,16822,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"about, regarding (کے بارے میں)",about; About; ABOUT; talking; thinking
1009,لیا,took (masculine of لینا),15557,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,took (masculine of لینا),took; taken; appointment; saved; captured
1010,امریکی,American,13287,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,American,American; U.S; breathe; citizen; Army
1011,کرتا,does (masculine of کرنا),13089,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,does (masculine of کرنا); kurta (shirt),works; does; PLAYS; MUSIC; uses
1012,بتایا,told,12431,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"told, informed (of بتانا)",told; Has; Raptor; cleared; blow
1013,پولیس,police,12285,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,police,police; Police; cop; policeman; cops
1014,سکتے,can,12034,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"can, are able (plural)",CAN; Can; cannot; may; leave
1015,میچ,match (sports),10866,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,match (sports),be; coincidence; ZIP; 6; match
1016,آئے,came (plural),9322,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,came (plural),come; came; COME; HAVE; forgot
1017,عالمی,global,9318,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"global, international",World; War; global; Her; Second
1018,تعمیر,building,8317,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"construction, building",build; built; rebuild; BUILT; REBUILD
1019,مشرف,Musharraf (Pervez Musharraf,7877,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"Musharraf (Pervez Musharraf, Pakistani president 2001–08); honored",Musharraf; tried; mean; kill; trust
1020,اسمبلی,assembly,7049,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"assembly, legislature",member; honored; excuse; assembly
1021,حالات,circumstances; conditions,6537,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"circumstances, conditions",situation; circumstances; Conditions; optimal; Schizophrenia
