rank,front,meaning,status,wordfreq_zipf,kaikki_entry,kaikki_semantic_support,kaikki_overlap_terms,readurdu_entry,readurdu_semantic_support,calima_exact_analyses,flags,readurdu_semantic_agreement,kaikki_semantic_agreement_recheck,word2word_entry,word2word_translations,word2word_semantic_agreement,word2word_overlap_terms,semantic_source_count,combined_status
1001,بہی,"n. quince | Platts: s.f. Book of daily accounts, inerchant's or banker's book, ledger, register, diary, journal… | also: feminine singular of بَہْنا (bahnā — to flow)",verified_strong,3.550,True,True,quince,True,True,,,True,True,True,Also; as; known; ?,True,also,3,verified_strong
1002,کرنے,inflection of करना (karnā): | also: infinitive indirect of کَرْنا (karnā — to do),explicit_review_required,6.330,False,False,,True,True,,,True,False,True,To; try; trying; help; TO,False,,1,explicit_review_required
1003,تہا,"Was, (irreg. past tense masc. sing. of the verb honā, 'to be'; — fem. sing. thī: see Gram.)",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1004,کہا,said (of کہنا),explicit_review_required,6.000,False,False,,True,True,,,True,False,True,said; Mother; told; asked; called,True,said,2,verified_strong
1005,رہے,remained (plural),explicit_review_required,6.310,False,False,,True,True,,,True,False,True,RE; talking; waiting; saying; looking,False,,1,explicit_review_required
1006,کریں,do (polite/plural of کرنا),explicit_review_required,6.080,False,False,,True,True,,,True,False,True,Find; Try; Don; Wait; follow,False,,1,explicit_review_required
1007,کرتے,do (plural of کرنا),explicit_review_required,6.200,False,False,,True,True,,,True,False,True,hate; Let; try; start; feel,False,,1,explicit_review_required
1008,ہونے,"inflection of होना (honā, “to be”):",explicit_review_required,6.240,False,False,,True,True,,,True,False,True,happen; being; stopped; join; catching,False,,1,explicit_review_required
1009,گئے,went (plural),explicit_review_required,6.170,False,False,,True,True,,,True,False,True,gone; went; took; Went; changed,True,went,2,verified_strong
1010,والے,the ones who/that (plural suffix),explicit_review_required,6.270,False,False,,True,True,,,True,False,True,supposed; fear; living; comes; winner-take-all,False,,1,explicit_review_required
1011,جا,"the inflected base, in Braj, of the rel. pron. jo, and = the Hindī jis; — e.g. jā-su, From whom, from which;…",explicit_review_required,5.970,False,False,,True,True,,,True,False,True,going; GOING; taking; being; may,False,,1,explicit_review_required
1012,تہی,"adj. Empty, void, vacant, vain: — tihī-dast, adj. Empty-handed; poor: — tihī-dastī, s.f. Poverty, penury: —…",explicit_review_required,3.600,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1013,گئی,went (feminine of جانا),explicit_review_required,6.120,False,False,,True,True,,,True,False,True,fell; paid; late; gone; broke,False,,1,explicit_review_required
1014,رہا,remained; continuous marker (of رہنا),explicit_review_required,6.160,False,False,,True,True,,,True,False,True,leaving; getting; trying; saying; coming,False,,1,explicit_review_required
1015,رہی,remained (feminine),explicit_review_required,6.020,False,False,,True,True,,,True,False,True,getting; aren; giving; moving; With,False,,1,explicit_review_required
1016,جاتا,"(fem. of jāta, jāt, q.v.), s.f. Female offspring, a daughter",explicit_review_required,6.050,False,False,,True,True,,,True,False,True,gets; goes; finds; known; called,False,,1,explicit_review_required
1017,ہوتی,"happens, is (feminine)",explicit_review_required,5.930,False,False,,True,True,,,True,False,True,bump; October; conversation; having; political,False,,1,explicit_review_required
1018,ٹیم,team,explicit_review_required,5.580,False,False,,True,True,,,True,False,True,team; response; Team; kidnap; leading,True,team,2,verified_strong
1019,مطابق,according to (کے مطابق),explicit_review_required,5.870,False,False,,True,True,,,True,False,True,According; date; table; intruder; release,True,accord|according,2,verified_strong
1020,بی,the English letter B (in acronyms),explicit_review_required,5.630,False,False,,True,True,,,True,False,True,B; squad; heel; barbecue; KGB,True,b,2,verified_strong
1021,ہوئی,"happened, became (feminine of ہونا)",explicit_review_required,6.050,False,False,,True,True,,,True,False,True,meet; Nice; MEET; growing; NICE,False,,1,explicit_review_required
