rank,front,meaning,frequency_evidence,frequency_source,evidence_tier,iwn_en_english_ids,iwn_en_direct_sense_count,external_selector_score,kaikki_meaning,readurdu_meaning,word2word_meaning,semantic_basis
1001,مطابق,accordingly,19398,CLE Urdu top-5000 frequency list,A_direct_corroborated,63396,4,2,,according to (کے مطابق),According; date; table; intruder; release,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1002,پہر,hour; time of day,17870,CLE Urdu top-5000 frequency list,A_direct_corroborated,15029190,1,2,unit of time equalling three hours,n. unit of time equalling three hours | Platts:,hopefully; raid; afternoon; set; ISI,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1003,دونوں,both,13393,CLE Urdu top-5000 frequency list,A_direct_corroborated,2344813,1,1,,,both; deceiving; divided; oppressed; issues,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1004,کرتا,kurta,13089,CLE Urdu top-5000 frequency list,A_direct_corroborated,3589186,1,1,,does (masculine of کرنا); kurta (shirt),works; does; PLAYS; MUSIC; uses,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1005,بتایا,reported,12431,CLE Urdu top-5000 frequency list,A_direct_corroborated,495830,1,2,,"told, informed (of بتانا)",told; Has; Raptor; cleared; blow,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1006,میچ,match,10866,CLE Urdu top-5000 frequency list,A_direct_corroborated,7368771,1,2,,match (sports),be; coincidence; ZIP; 6; match,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1007,علاوہ,other,10312,CLE Urdu top-5000 frequency list,A_direct_corroborated,2140352,3,1,,"besides, in addition to (کے علاوہ)",except; plus; perish; apart; Everyone,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1008,ٹیسٹ,test; mental test; mental testing,9559,CLE Urdu top-5000 frequency list,A_direct_corroborated,992713,1,1,,,test; practice; Missed; ASVAB; CONTINUE,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1009,آئے,came (plural),9322,CLE Urdu top-5000 frequency list,B_two_source_fallback,,0,2,,came (plural),come; came; COME; HAVE; forgot,IndoWordNet lemma + ReadUrdu/word2word agreement
1010,عالمی,global; world,9318,CLE Urdu top-5000 frequency list,A_direct_corroborated,1626667,3,2,,"global, international",World; War; global; Her; Second,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1011,حوالے,devotion,9300,CLE Urdu top-5000 frequency list,A_direct_corroborated,1028510,1,1,,"plural direct of حَوَالَہ (havāla — reference, citing)",hand; regards; over; obliged; fact,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1012,تعمیر,architecture,8317,CLE Urdu top-5000 frequency list,A_direct_corroborated,6043371,4,1,,"construction, building",build; built; rebuild; BUILT; REBUILD,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1013,پابندی,restriction,7664,CLE Urdu top-5000 frequency list,A_direct_corroborated,796615,4,1,,"restriction, curtailment; custom, tradition",banned; punctual; Drink; drinking; particular,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1014,ایس,letter s,7301,CLE Urdu top-5000 frequency list,A_direct_corroborated,6741312,1,1,,the English letter S (in acronyms),ISI; SUV; GPS; hopefully; raid,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1015,اعلان,announcement; declaration,6976,CLE Urdu top-5000 frequency list,A_direct_corroborated,6635639,2,1,,"announcement, declaration",proclaim; martyr; announced; backstabbing; trail,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1016,پروگرام,program; computer program,6197,CLE Urdu top-5000 frequency list,A_direct_corroborated,6482276,2,1,,,program; WOULD; Continuing; vaccination; programs,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1017,سرکاری,governmental,5791,CLE Urdu top-5000 frequency list,A_direct_corroborated,2924583,1,1,,"governmental, official",official; officially; Officially; answer; Google-proof,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1018,صوبائی,provincial,5348,CLE Urdu top-5000 frequency list,A_direct_corroborated,2871065,2,1,,provincial,,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1019,کانفرنس,conference,5120,CLE Urdu top-5000 frequency list,A_direct_corroborated,8194558,2,2,,conference,conference; Sydney; Eyes; Five; -Press,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1020,کونسل,council,4975,CLE Urdu top-5000 frequency list,A_direct_corroborated,8195432,2,1,,,council; Council; grant; supersede; sole,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1021,صورتحال,status,4933,CLE Urdu top-5000 frequency list,A_direct_corroborated,13759811,3,1,,,situation; Steps; Directly; status; SOUNDS,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1022,درج,registered,4899,CLE Urdu top-5000 frequency list,A_direct_corroborated,2027948,2,1,,(inf. n. of درج 'to fold or roll up'),Enter; trumpeted; entered; Ahab; Recorded,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1023,قیام,residence,4801,CLE Urdu top-5000 frequency list,A_direct_corroborated,1039590,3,1,,"stay, residence; establishment",formation; stay; visit; Keep; Mangrove,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1024,بہترین,best,4740,CLE Urdu top-5000 frequency list,A_direct_corroborated,248569,2,2,,"best, excellent",best; demands; Best; school; Detective,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1025,شخصیت,personality,4699,CLE Urdu top-5000 frequency list,A_direct_corroborated,4562609,1,1,,"(for A. شخصية, abst. s. fr. شخصی, rel. n. of shaḵẖṣ)",personality; Multiple; disorder; controversy; figure,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1026,ملا,Mullah,4477,CLE Urdu top-5000 frequency list,A_direct_corroborated,10183939,5,1,,"met, received (of ملنا); mullah",got; Got; found; met; SECOND,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1027,تقریب,celebration; jubilation,4342,CLE Urdu top-5000 frequency list,A_direct_corroborated,7348821,3,1,,"s.f. Giving access (to), causing to approach, bringing near; approaching; approximation, proximity; approach,…",event; an; other; won; night,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1028,آؤٹ,out,4201,CLE Urdu top-5000 frequency list,B_two_source_fallback,,0,2,,out,OUT; walk-out; ONE-NINETY-EIGHT; MIGHT; NOT,IndoWordNet lemma + ReadUrdu/word2word agreement
1029,عرصہ,long time,3902,CLE Urdu top-5000 frequency list,A_direct_corroborated,15043767,3,1,,"(for A. عرصة, v.n. fr. عرص 'to play, sport,' &c.)",long; ago; weren; staying; Tsars,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1030,آپریشن,operation; surgical operation,3566,CLE Urdu top-5000 frequency list,A_direct_corroborated,662975,1,2,,operation (military or medical),ops; operation; Ops; fucked-up; tip,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1031,ٹیکس,tax,3488,CLE Urdu top-5000 frequency list,A_direct_corroborated,13137820,1,2,,tax,tax; Tax; Taxes; Lewis; Tex,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1032,فروخت,sale,3486,CLE Urdu top-5000 frequency list,A_direct_corroborated,1102627,1,2,,"s.f. Selling; sale: — faroḵẖt karnā, v.t. To sell",sell; sold; To; selling; sales,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1033,بحالی,reinstatement,3387,CLE Urdu top-5000 frequency list,A_direct_corroborated,397391,2,1,,,restoration; INTERRUPTING; AM; ANYTHING; mission,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1034,اپوزیشن,adversary; antagonist; opponent,3280,CLE Urdu top-5000 frequency list,A_direct_corroborated,9629916,1,1,,opposition (political),,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1035,شمار,count; counting; reckoning,3217,CLE Urdu top-5000 frequency list,A_direct_corroborated,628546,3,2,,"s.f. Counting, reckoning, computing, numbering; calculation, amount, number; account, note, estimation: —…",count; condolence; letters; On; steps,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1036,عملی,functional; usable; useable,3135,CLE Urdu top-5000 frequency list,A_direct_corroborated,2201198,3,1,,(rel. n. fr. ʻamal),devising; strategy; practically; cult; Even,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1037,مطالبہ,demand,3132,CLE Urdu top-5000 frequency list,A_direct_corroborated,5817818,1,2,,demand,amnesty; demand; demanding; answers; committee,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1038,چلا,went (of چلنا),3123,CLE Urdu top-5000 frequency list,B_two_source_fallback,,0,2,,"moved, went (of چلنا)",gone; running; went; goes; stone,IndoWordNet lemma + ReadUrdu/word2word agreement
1039,یونین,Union,2909,CLE Urdu top-5000 frequency list,A_direct_corroborated,8922457,4,2,,operation denoted by symbol “∪” applied on two sets; the set of all distinct elements in the collection,poverty; union; Like; symbolizes; save,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
