frequency_evidence,frequency_source,front,kaikki,readurdu,reason,word2word
140157,CLE Urdu top-5000 frequency list,بہی,quince,n. quince | Platts:,direct_mapping_without_independent_corroboration,Also; as; known; ?
64589,CLE Urdu top-5000 frequency list,کرنے,,inflection of,not_indowordnet_lemma,To; try; trying; help; TO
61762,CLE Urdu top-5000 frequency list,تہا,,"Was, (irreg. past tense masc. sing. of the verb honā, 'to be'; — fem. sing. thī:",not_indowordnet_lemma,
61090,CLE Urdu top-5000 frequency list,کہا,,said (of کہنا),not_indowordnet_lemma,said; Mother; told; asked; called
47470,CLE Urdu top-5000 frequency list,جائے,,,not_indowordnet_lemma,SAFE; D; BE; safe; AND
43418,CLE Urdu top-5000 frequency list,تہے,,,not_indowordnet_lemma,
39903,CLE Urdu top-5000 frequency list,انہوں,,,not_indowordnet_lemma,shot; tried; gave; killed; looking
39784,CLE Urdu top-5000 frequency list,رہے,,remained (plural),not_indowordnet_lemma,RE; talking; waiting; saying; looking
38807,CLE Urdu top-5000 frequency list,ساتہ,,,not_indowordnet_lemma,
37351,CLE Urdu top-5000 frequency list,کریں,,do (polite/plural of کرنا),not_indowordnet_lemma,Find; Try; Don; Wait; follow
34818,CLE Urdu top-5000 frequency list,کرتے,,do (plural of کرنا),not_indowordnet_lemma,hate; Let; try; start; feel
34212,CLE Urdu top-5000 frequency list,ہونے,,inflection of,not_indowordnet_lemma,happen; being; stopped; join; catching
34143,CLE Urdu top-5000 frequency list,گئے,,went (plural),not_indowordnet_lemma,gone; went; took; Went; changed
33589,CLE Urdu top-5000 frequency list,والے,,the ones who/that (plural suffix),not_indowordnet_lemma,supposed; fear; living; comes; winner-take-all
32228,CLE Urdu top-5000 frequency list,جا,,"the inflected base, in Braj, of the rel. pron. jo, and = the Hindī jis; — e.g. jā-su, From whom, from which;…",not_indowordnet_lemma,going; GOING; taking; being; may
31627,CLE Urdu top-5000 frequency list,تہی,,"adj. Empty, void, vacant, vain: — tihī-dast, adj. Empty-handed; poor: — tihī-dastī",not_indowordnet_lemma,
31279,CLE Urdu top-5000 frequency list,گئی,,went (feminine of جانا),not_indowordnet_lemma,fell; paid; late; gone; broke
30164,CLE Urdu top-5000 frequency list,کیلئے,,,not_indowordnet_lemma,Medicine; medicine; goat; surveillance; ready
29272,CLE Urdu top-5000 frequency list,رہا,,remained; continuous marker (of رہنا),not_indowordnet_lemma,leaving; getting; trying; saying; coming
25044,CLE Urdu top-5000 frequency list,رہی,,remained (feminine),not_indowordnet_lemma,getting; aren; giving; moving; With
24185,CLE Urdu top-5000 frequency list,جاتا,,"(fem. of jāta, jāt",not_indowordnet_lemma,gets; goes; finds; known; called
21568,CLE Urdu top-5000 frequency list,کچہ,,,not_indowordnet_lemma,
19935,CLE Urdu top-5000 frequency list,ہوتی,,"happens, is (feminine)",not_indowordnet_lemma,bump; October; conversation; having; political
