front,zipf,reason
کرنے,6.33,no_modern_corroborated_core_sense
رہے,6.31,no_modern_corroborated_core_sense
والے,6.27,no_modern_corroborated_core_sense
ہونے,6.24,no_modern_corroborated_core_sense
جائے,6.23,no_modern_corroborated_core_sense
کرتے,6.20,no_modern_corroborated_core_sense
رہا,6.16,no_modern_corroborated_core_sense
گئی,6.12,no_modern_corroborated_core_sense
پی,6.08,no_modern_corroborated_core_sense
کریں,6.08,no_modern_corroborated_core_sense
انہوں,6.05,no_modern_corroborated_core_sense
جاتا,6.05,no_modern_corroborated_core_sense
لوگوں,6.05,no_modern_corroborated_core_sense
ہوئی,6.05,no_modern_corroborated_core_sense
دے,6.04,no_modern_corroborated_core_sense
بن,6.02,no_modern_corroborated_core_sense
رہی,6.02,no_modern_corroborated_core_sense
جا,5.97,no_modern_corroborated_core_sense
کیلئے,5.97,no_modern_corroborated_core_sense
ہوتی,5.93,no_modern_corroborated_core_sense
والی,5.91,no_modern_corroborated_core_sense
وسلم,5.88,no_modern_corroborated_core_sense
کرے,5.87,no_modern_corroborated_core_sense
جانے,5.81,no_modern_corroborated_core_sense
ہوتے,5.81,no_modern_corroborated_core_sense
ہوگا,5.80,no_modern_corroborated_core_sense
ٹی,5.79,no_modern_corroborated_core_sense
جاتی,5.78,no_modern_corroborated_core_sense
جائیں,5.77,no_modern_corroborated_core_sense
ایم,5.75,no_modern_corroborated_core_sense
دینے,5.75,no_modern_corroborated_core_sense
علیہ,5.75,no_modern_corroborated_core_sense
نواز,5.75,no_modern_corroborated_core_sense
جیسے,5.74,no_modern_corroborated_core_sense
والا,5.74,no_modern_corroborated_core_sense
دیں,5.72,no_modern_corroborated_core_sense
جاتے,5.71,no_modern_corroborated_core_sense
عمران,5.70,no_modern_corroborated_core_sense
دونوں,5.69,no_modern_corroborated_core_sense
علاوہ,5.69,no_modern_corroborated_core_sense
کیے,5.69,no_modern_corroborated_core_sense
ایس,5.68,no_modern_corroborated_core_sense
میڈیا,5.68,no_modern_corroborated_core_sense
والوں,5.67,no_modern_corroborated_core_sense
لگا,5.65,no_modern_corroborated_core_sense
بی,5.63,no_modern_corroborated_core_sense
تعالی,5.63,no_modern_corroborated_core_sense
ڈی,5.63,no_modern_corroborated_core_sense
علیہ,5.75,no_modern_corroborated_core_sense
وزیراعظم,5.62,no_modern_corroborated_core_sense
این,5.61,no_modern_corroborated_core_sense
دیتے,5.61,no_modern_corroborated_core_sense
صلی,5.61,no_modern_corroborated_core_sense
پوری,5.61,no_modern_corroborated_core_sense
ایسی,5.60,no_modern_corroborated_core_sense
بنانے,5.60,no_modern_corroborated_core_sense
مل,5.60,no_modern_corroborated_core_sense
آنے,5.59,no_modern_corroborated_core_sense
