frequency,front,kaikki,readurdu,reason,word2word
140157,بہی,,,not_indowordnet_urdu_lemma,
64589,کرنے,,,not_indowordnet_urdu_lemma,
61762,تہا,,,not_indowordnet_urdu_lemma,
61090,کہا,,,not_indowordnet_urdu_lemma,
47470,جائے,,,not_indowordnet_urdu_lemma,
43418,تہے,,,not_indowordnet_urdu_lemma,
39903,انہوں,,,not_indowordnet_urdu_lemma,
39784,رہے,,,not_indowordnet_urdu_lemma,
38807,ساتہ,,,not_indowordnet_urdu_lemma,
37351,کریں,,,not_indowordnet_urdu_lemma,
34818,کرتے,,,not_indowordnet_urdu_lemma,
34212,ہونے,,,not_indowordnet_urdu_lemma,
34143,گئے,,,not_indowordnet_urdu_lemma,
33589,والے,,,not_indowordnet_urdu_lemma,
32228,جا,,,not_indowordnet_urdu_lemma,
31627,تہی,,,not_indowordnet_urdu_lemma,
31279,گئی,,,not_indowordnet_urdu_lemma,
30164,کیلئے,,,not_indowordnet_urdu_lemma,
29272,رہا,,,not_indowordnet_urdu_lemma,
25044,رہی,,,not_indowordnet_urdu_lemma,
24185,جاتا,,,not_indowordnet_urdu_lemma,
21568,کچہ,,,not_indowordnet_urdu_lemma,
19935,ہوتی,,,not_indowordnet_urdu_lemma,
19654,ٹیم,,,not_indowordnet_urdu_lemma,
19398,مطابق,,,not_indowordnet_urdu_lemma,
19140,بی,,,not_indowordnet_urdu_lemma,
19080,ہوئی,,,not_indowordnet_urdu_lemma,
18238,والی,,,not_indowordnet_urdu_lemma,
18132,سکتا,,,not_indowordnet_urdu_lemma,
17951,دے,,,not_indowordnet_urdu_lemma,
17870,پہر,unit of time equalling three hours,,no_two_source_semantic_agreement,hopefully; raid; afternoon; set; ISI
17644,لوگوں,,,not_indowordnet_urdu_lemma,
17374,جاتی,,,not_indowordnet_urdu_lemma,
16822,بارے,,,not_indowordnet_urdu_lemma,
16230,ای,,,not_indowordnet_urdu_lemma,
15569,جائیں,,,not_indowordnet_urdu_lemma,
15557,لیا,,,not_indowordnet_urdu_lemma,
15262,جانے,,,not_indowordnet_urdu_lemma,
14970,کئے,,,not_indowordnet_urdu_lemma,
14811,پی,,,not_indowordnet_urdu_lemma,
13393,دونوں,,,no_two_source_semantic_agreement,both; deceiving; divided; oppressed; issues
13287,امریکی,,,not_indowordnet_urdu_lemma,
13202,ہوتے,,,not_indowordnet_urdu_lemma,
12767,ایم,,,not_indowordnet_urdu_lemma,
12459,پرنٹ,,,not_indowordnet_urdu_lemma,
12431,بتایا,,,not_indowordnet_urdu_lemma,
12353,مجہے,,,not_indowordnet_urdu_lemma,
12213,کہیل,,,not_indowordnet_urdu_lemma,
12200,کیجیئے,,,not_indowordnet_urdu_lemma,
12199,کرے,,,not_indowordnet_urdu_lemma,
12034,سکتے,,,not_indowordnet_urdu_lemma,
11973,گہر,,,not_indowordnet_urdu_lemma,
11618,جاتے,,,not_indowordnet_urdu_lemma,
11225,سکتی,,,not_indowordnet_urdu_lemma,
10866,میچ,,,not_indowordnet_urdu_lemma,
10756,بن,,,not_indowordnet_urdu_lemma,
10570,دیں,,,not_indowordnet_urdu_lemma,
10490,سکے,,,not_indowordnet_urdu_lemma,
10449,ٹی,,,not_indowordnet_urdu_lemma,
10312,علاوہ,,,not_indowordnet_urdu_lemma,
10245,خبریں,,,not_indowordnet_urdu_lemma,
9568,سیریز,,,not_indowordnet_urdu_lemma,
9559,ٹیسٹ,,,not_indowordnet_urdu_lemma,
9318,عالمی,,,not_indowordnet_urdu_lemma,
9300,حوالے,,,not_indowordnet_urdu_lemma,
8927,کبہی,,,not_indowordnet_urdu_lemma,
8818,دینے,,,not_indowordnet_urdu_lemma,
8769,آنے,,,not_indowordnet_urdu_lemma,
8665,کرتی,,does (feminine of کرنا),no_two_source_semantic_agreement,much; love; talks; unite; Friends
8556,ایسی,,,not_indowordnet_urdu_lemma,
8359,سید,,,not_indowordnet_urdu_lemma,
8144,بہارتی,,,not_indowordnet_urdu_lemma,
8140,ذریعے,,,not_indowordnet_urdu_lemma,
8052,بنانے,,,not_indowordnet_urdu_lemma,
7977,دیتے,,,not_indowordnet_urdu_lemma,
7877,مشرف,,,not_indowordnet_urdu_lemma,
7745,تہیں,,,not_indowordnet_urdu_lemma,
7711,لاکہ,,,not_indowordnet_urdu_lemma,
7664,پابندی,,"restriction, curtailment; custom, tradition",no_two_source_semantic_agreement,banned; punctual; Drink; drinking; particular
7662,ڈی,,,not_indowordnet_urdu_lemma,
7528,پوری,,,not_indowordnet_urdu_lemma,
7420,لیں,,,not_indowordnet_urdu_lemma,
7301,ایس,,,not_indowordnet_urdu_lemma,
7289,نئے,,,not_indowordnet_urdu_lemma,
7248,والوں,,,not_indowordnet_urdu_lemma,
7226,مل,,,not_indowordnet_urdu_lemma,
7159,جیسے,,,not_indowordnet_urdu_lemma,
7049,اسمبلی,,,not_indowordnet_urdu_lemma,
7006,دیئے,,,not_indowordnet_urdu_lemma,
6976,اعلان,,,not_indowordnet_urdu_lemma,
6919,تحت,,,not_indowordnet_urdu_lemma,
6786,ابہی,,,not_indowordnet_urdu_lemma,
6752,آف,,,not_indowordnet_urdu_lemma,
6748,امدادی,,,not_indowordnet_urdu_lemma,
6693,لیگ,,,not_indowordnet_urdu_lemma,
6633,بہر,,,not_indowordnet_urdu_lemma,
6570,چکے,,,not_indowordnet_urdu_lemma,
6537,حالات,,,not_indowordnet_urdu_lemma,
6529,تکنیکی,,,no_two_source_semantic_agreement,technical; technically; finish; thoroughly; longer
6494,لگا,,,not_indowordnet_urdu_lemma,
6491,سلسلے,,,not_indowordnet_urdu_lemma,
6469,تازہ ترین,,,not_indowordnet_urdu_lemma,
6429,رکہنے,,,not_indowordnet_urdu_lemma,
6428,گرفتار,,,not_indowordnet_urdu_lemma,
6419,بڑہ,,,not_indowordnet_urdu_lemma,
6280,رنز,,,not_indowordnet_urdu_lemma,
6264,اقبال,,,not_indowordnet_urdu_lemma,
6197,پروگرام,,,no_two_source_semantic_agreement,program; WOULD; Continuing; vaccination; programs
6097,لی,,,not_indowordnet_urdu_lemma,
6039,رپورٹ,,,not_indowordnet_urdu_lemma,
