frequency,frequency_source,front,reason
64589,CLE Urdu top-5000 frequency list,کرنے,no_direct_mapping_and_not_indowordnet_lemma
61762,CLE Urdu top-5000 frequency list,تہا,no_direct_mapping_and_not_indowordnet_lemma
61090,CLE Urdu top-5000 frequency list,کہا,no_direct_mapping_and_not_indowordnet_lemma
47470,CLE Urdu top-5000 frequency list,جائے,no_direct_mapping_and_not_indowordnet_lemma
43418,CLE Urdu top-5000 frequency list,تہے,no_direct_mapping_and_not_indowordnet_lemma
39903,CLE Urdu top-5000 frequency list,انہوں,no_direct_mapping_and_not_indowordnet_lemma
39784,CLE Urdu top-5000 frequency list,رہے,no_direct_mapping_and_not_indowordnet_lemma
38807,CLE Urdu top-5000 frequency list,ساتہ,no_direct_mapping_and_not_indowordnet_lemma
37351,CLE Urdu top-5000 frequency list,کریں,no_direct_mapping_and_not_indowordnet_lemma
34818,CLE Urdu top-5000 frequency list,کرتے,no_direct_mapping_and_not_indowordnet_lemma
34212,CLE Urdu top-5000 frequency list,ہونے,no_direct_mapping_and_not_indowordnet_lemma
34143,CLE Urdu top-5000 frequency list,گئے,no_direct_mapping_and_not_indowordnet_lemma
33589,CLE Urdu top-5000 frequency list,والے,no_direct_mapping_and_not_indowordnet_lemma
32228,CLE Urdu top-5000 frequency list,جا,no_direct_mapping_and_not_indowordnet_lemma
31627,CLE Urdu top-5000 frequency list,تہی,no_direct_mapping_and_not_indowordnet_lemma
31279,CLE Urdu top-5000 frequency list,گئی,no_direct_mapping_and_not_indowordnet_lemma
30164,CLE Urdu top-5000 frequency list,کیلئے,no_direct_mapping_and_not_indowordnet_lemma
29272,CLE Urdu top-5000 frequency list,رہا,no_direct_mapping_and_not_indowordnet_lemma
25044,CLE Urdu top-5000 frequency list,رہی,no_direct_mapping_and_not_indowordnet_lemma
24185,CLE Urdu top-5000 frequency list,جاتا,no_direct_mapping_and_not_indowordnet_lemma
21568,CLE Urdu top-5000 frequency list,کچہ,no_direct_mapping_and_not_indowordnet_lemma
19935,CLE Urdu top-5000 frequency list,ہوتی,no_direct_mapping_and_not_indowordnet_lemma
19654,CLE Urdu top-5000 frequency list,ٹیم,no_direct_mapping_and_not_indowordnet_lemma
19140,CLE Urdu top-5000 frequency list,بی,no_direct_mapping_and_not_indowordnet_lemma
19080,CLE Urdu top-5000 frequency list,ہوئی,no_direct_mapping_and_not_indowordnet_lemma
18132,CLE Urdu top-5000 frequency list,سکتا,no_direct_mapping_and_not_indowordnet_lemma
17951,CLE Urdu top-5000 frequency list,دے,no_direct_mapping_and_not_indowordnet_lemma
17644,CLE Urdu top-5000 frequency list,لوگوں,no_direct_mapping_and_not_indowordnet_lemma
17374,CLE Urdu top-5000 frequency list,جاتی,no_direct_mapping_and_not_indowordnet_lemma
16822,CLE Urdu top-5000 frequency list,بارے,no_direct_mapping_and_not_indowordnet_lemma
15569,CLE Urdu top-5000 frequency list,جائیں,no_direct_mapping_and_not_indowordnet_lemma
15557,CLE Urdu top-5000 frequency list,لیا,no_direct_mapping_and_not_indowordnet_lemma
15262,CLE Urdu top-5000 frequency list,جانے,no_direct_mapping_and_not_indowordnet_lemma
14970,CLE Urdu top-5000 frequency list,کئے,no_direct_mapping_and_not_indowordnet_lemma
14811,CLE Urdu top-5000 frequency list,پی,no_direct_mapping_and_not_indowordnet_lemma
13202,CLE Urdu top-5000 frequency list,ہوتے,no_direct_mapping_and_not_indowordnet_lemma
12767,CLE Urdu top-5000 frequency list,ایم,no_direct_mapping_and_not_indowordnet_lemma
12459,CLE Urdu top-5000 frequency list,پرنٹ,no_direct_mapping_and_not_indowordnet_lemma
12353,CLE Urdu top-5000 frequency list,مجہے,no_direct_mapping_and_not_indowordnet_lemma
12213,CLE Urdu top-5000 frequency list,کہیل,no_direct_mapping_and_not_indowordnet_lemma
12200,CLE Urdu top-5000 frequency list,کیجیئے,no_direct_mapping_and_not_indowordnet_lemma
12199,CLE Urdu top-5000 frequency list,کرے,no_direct_mapping_and_not_indowordnet_lemma
12034,CLE Urdu top-5000 frequency list,سکتے,no_direct_mapping_and_not_indowordnet_lemma
11973,CLE Urdu top-5000 frequency list,گہر,no_direct_mapping_and_not_indowordnet_lemma
11618,CLE Urdu top-5000 frequency list,جاتے,no_direct_mapping_and_not_indowordnet_lemma
11225,CLE Urdu top-5000 frequency list,سکتی,no_direct_mapping_and_not_indowordnet_lemma
10756,CLE Urdu top-5000 frequency list,بن,no_direct_mapping_and_not_indowordnet_lemma
10570,CLE Urdu top-5000 frequency list,دیں,no_direct_mapping_and_not_indowordnet_lemma
10490,CLE Urdu top-5000 frequency list,سکے,no_direct_mapping_and_not_indowordnet_lemma
10449,CLE Urdu top-5000 frequency list,ٹی,no_direct_mapping_and_not_indowordnet_lemma
10245,CLE Urdu top-5000 frequency list,خبریں,no_direct_mapping_and_not_indowordnet_lemma
9568,CLE Urdu top-5000 frequency list,سیریز,no_direct_mapping_and_not_indowordnet_lemma
8927,CLE Urdu top-5000 frequency list,کبہی,no_direct_mapping_and_not_indowordnet_lemma
8818,CLE Urdu top-5000 frequency list,دینے,no_direct_mapping_and_not_indowordnet_lemma
