front,frequency,frequency_source,reason
کرنے,64589,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
تہا,61762,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
جائے,47470,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
تہے,43418,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
انہوں,39903,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
رہے,39784,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
ساتہ,38807,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
کریں,37351,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
کرتے,34818,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
ہونے,34212,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
والے,33589,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
جا,32228,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
تہی,31627,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
گئی,31279,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
کیلئے,30164,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
رہا,29272,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
رہی,25044,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
جاتا,24185,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
کچہ,21568,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
ہوتی,19935,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
بی,19140,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
ہوئی,19080,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
والی,18238,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
دے,17951,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
لوگوں,17644,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
جاتی,17374,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
ای,16230,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
جائیں,15569,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
جانے,15262,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
کئے,14970,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
پی,14811,CLE Urdu top-5000 frequency list,no_two_source_semantic_agreement
