rank,front,meaning,status,wordfreq_zipf,kaikki_entry,kaikki_semantic_support,kaikki_overlap_terms,readurdu_entry,readurdu_semantic_support,calima_exact_analyses,flags
1002,کرنے,inflection of करना (karnā): | also: infinitive indirect of کَرْنا (karnā — to do),explicit_review_required,6.330,False,False,,True,True,,
1003,تہا,"Was, (irreg. past tense masc. sing. of the verb honā, 'to be'; — fem. sing. thī: see Gram.)",explicit_review_required,0.000,False,False,,True,True,,
1004,کہا,said (of کہنا),explicit_review_required,6.000,False,False,,True,True,,
1005,رہے,remained (plural),explicit_review_required,6.310,False,False,,True,True,,
1006,کریں,do (polite/plural of کرنا),explicit_review_required,6.080,False,False,,True,True,,
1007,کرتے,do (plural of کرنا),explicit_review_required,6.200,False,False,,True,True,,
1008,ہونے,"inflection of होना (honā, “to be”):",explicit_review_required,6.240,False,False,,True,True,,
1009,گئے,went (plural),explicit_review_required,6.170,False,False,,True,True,,
1010,والے,the ones who/that (plural suffix),explicit_review_required,6.270,False,False,,True,True,,
1011,جا,"the inflected base, in Braj, of the rel. pron. jo, and = the Hindī jis; — e.g. jā-su, From whom, from which;…",explicit_review_required,5.970,False,False,,True,True,,
1012,تہی,"adj. Empty, void, vacant, vain: — tihī-dast, adj. Empty-handed; poor: — tihī-dastī, s.f. Poverty, penury: —…",explicit_review_required,3.600,False,False,,True,True,,
1013,گئی,went (feminine of جانا),explicit_review_required,6.120,False,False,,True,True,,
1014,رہا,remained; continuous marker (of رہنا),explicit_review_required,6.160,False,False,,True,True,,
1015,رہی,remained (feminine),explicit_review_required,6.020,False,False,,True,True,,
1016,جاتا,"(fem. of jāta, jāt, q.v.), s.f. Female offspring, a daughter",explicit_review_required,6.050,False,False,,True,True,,
1017,ہوتی,"happens, is (feminine)",explicit_review_required,5.930,False,False,,True,True,,
1018,ٹیم,team,explicit_review_required,5.580,False,False,,True,True,,
1019,مطابق,according to (کے مطابق),explicit_review_required,5.870,False,False,,True,True,,
1020,بی,the English letter B (in acronyms),explicit_review_required,5.630,False,False,,True,True,,
1021,ہوئی,"happened, became (feminine of ہونا)",explicit_review_required,6.050,False,False,,True,True,,
1022,والی,the one who/that (feminine suffix),explicit_review_required,5.910,False,False,,True,True,,
1023,سکتا,"can, is able (masculine of سکنا)",explicit_review_required,5.850,False,False,,True,True,,
1024,دے,inflection of देना (denā):,explicit_review_required,6.040,False,False,,True,True,,
1026,جاتی,"s.f. See jāt, s.f",explicit_review_required,5.780,False,False,,True,True,,
1027,بارے,"about, regarding (کے بارے میں)",explicit_review_required,5.620,False,False,,True,True,,
1028,ای,the English letter E (in acronyms),explicit_review_required,5.160,False,False,,True,True,,
1029,لیا,took (masculine of لینا),explicit_review_required,5.860,False,False,,True,True,,
1030,جانے,"(2nd. or 3rd. pers. sing. aor. of jānnā), adv. & conj. One would suppose…",explicit_review_required,5.810,False,False,,True,True,,
1031,پی,the English letter P; drank (feminine of پینا),explicit_review_required,6.080,False,False,,True,True,,
1032,امریکی,American,explicit_review_required,5.750,False,False,,True,True,,
1033,ہوتے,"happen, are (plural)",explicit_review_required,5.810,False,False,,True,True,,
1034,کرتا,does (masculine of کرنا); kurta (shirt),explicit_review_required,5.900,False,False,,True,True,,
1035,ایم,the English letter M (in acronyms),explicit_review_required,5.750,False,False,,True,True,,
1036,بتایا,"told, informed (of بتانا)",explicit_review_required,5.160,False,False,,True,True,,
1037,مجہے,"(dialec.) मुझै mujhai (see mujh), pron. Me; to me",explicit_review_required,0.000,False,False,,True,True,,
1038,پولیس,police,explicit_review_required,5.800,False,False,,True,True,,
1039,کہیل,"(prob. akin to khilnā, q.v.), s.f. Parched grain or rice (inflated or puffed out so as to appear like froth;…",explicit_review_required,0.000,False,False,,True,True,,
1040,کرے,may do (subjunctive of کرنا),explicit_review_required,5.870,False,False,,True,True,,
1041,سکتے,"can, are able (plural)",explicit_review_required,5.670,False,False,,True,True,,
1042,گہر,"s.m. House, dwelling, mansion, habitation, abode, home; — a room (in a house), an apartment; — a den; nest;…",explicit_review_required,3.310,False,False,,True,True,,
1043,جاتے,inflection of जाना (jānā):,explicit_review_required,5.710,False,False,,True,True,,
1044,سکتی,"can, is able (feminine)",explicit_review_required,5.460,False,False,,True,True,,
1045,میچ,match (sports),explicit_review_required,5.320,False,False,,True,True,,
1046,دیں,give (polite/plural of دینا),explicit_review_required,5.720,False,False,,True,True,,
1047,سکے,plural direct of سِکَّہ (sikka — coin; medal) | also: oblique singular of سِکَّہ (sikka — coin; medal),explicit_review_required,5.320,False,False,,True,True,,
1048,ٹی,the English letter T (in acronyms),explicit_review_required,5.790,False,False,,True,True,,
1050,خبریں,plural formal of خَبَر (xabar — news),explicit_review_required,4.890,False,False,,True,True,,
1051,آئے,came (plural),explicit_review_required,5.750,False,False,,True,True,,
1052,عالمی,"global, international",explicit_review_required,5.560,False,False,,True,True,,
1053,حوالے,"plural direct of حَوَالَہ (havāla — reference, citing) | also: oblique singular of حَوَالَہ (havāla — reference, citing)",explicit_review_required,5.230,False,False,,True,True,,
1054,دینے,oblique infinitive; masculine plural infinitive participle,explicit_review_required,5.750,True,True,"infinitive,masculine,oblique,participle,plural",False,,,
1055,آنے,inflection of आना (ānā): | also: plural direct of آنَہ (āna — an anna (¹⁄₁₆ of an Indian rupee)),explicit_review_required,5.590,False,False,,True,True,,
1056,کرتی,does (feminine of کرنا),explicit_review_required,5.560,False,False,,True,True,,
1057,ایسی,direct/oblique/vocative feminine singular/plural of ऐसा (aisā),explicit_review_required,5.600,False,False,,True,True,,
1058,سید,Sayyid (title/name: descendant of the Prophet),explicit_review_required,5.400,False,False,,True,True,,
1059,تعمیر,"construction, building",explicit_review_required,5.340,False,False,,True,True,,
1060,ذریعے,"plural direct of ذَرِیعَہ (zariya — means, way, agency) | also: oblique singular of ذَرِیعَہ (zariya — means, way, agency)",explicit_review_required,5.370,False,False,,True,True,,
1061,دیتے,give (plural),explicit_review_required,5.610,False,False,,True,True,,
1062,مشرف,"Musharraf (Pervez Musharraf, Pakistani president 2001–08); honored",explicit_review_required,5.020,False,False,,True,True,,
1063,پابندی,"restriction, curtailment; custom, tradition",explicit_review_required,4.990,False,False,,True,True,,
1064,ڈی,the English letter D (in acronyms),explicit_review_required,5.630,False,False,,True,True,,
1065,پوری,s.f. A thin cake of meal fried in ghī or oil,explicit_review_required,5.610,False,False,,True,True,,
1066,لیں,take (polite/plural of لینا),explicit_review_required,5.510,False,False,,True,True,,
1067,ایس,the English letter S (in acronyms),explicit_review_required,5.680,False,False,,True,True,,
1068,مل,"s.m. Dirt, filth; dust; impurity; impure matter; excrement; refuse; sediment; dregs; scum; alloy or dross (of…",explicit_review_required,5.600,False,False,,True,True,,
1069,اسمبلی,"assembly, legislature",explicit_review_required,5.570,False,False,,True,True,,
1070,اعلان,"announcement, declaration",explicit_review_required,5.570,False,False,,True,True,,
