rank,front,published_meaning,risk,reason,supporting_sources,external_agreement_pairs,kaikki_meaning,readurdu_meaning,word2word_meaning,evidence_tier,semantic_basis
1001,بہی,stub; ticket stub,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,quince,n. quince | Platts:,Also; as; known; ?,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1009,بتایا,reported,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,"told, informed (of بتانا)",told; Has; Raptor; cleared; blow,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1010,پولیس,mayor; city manager,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,police,police; Police; cop; policeman; cops,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1019,تعمیر,architecture,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,"construction, building",build; built; rebuild; BUILT; REBUILD,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1033,لی,Lie; Trygve Lie; Trygve Halvden Lie,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,took (feminine of لینا),took; Le; Midnight; Wherever; meeting,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1060,شرح,ratio,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,rate; commentary,rate; Heart; rising; highest; homicide,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1069,برقرار,firm; steadfast; steady; stiff; unbendable; unfaltering; unshakable; unwavering; present,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,"established, confirmed, fixed, settled, maintained",maintain; Maintaining; preserve; oxygen; level,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1071,ملے,Malay,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,"met, received (plural)",met; ice; Somebody; Tess; anxious,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1079,وفاقی,union,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,federal,Federal; federal; Victoria; decides; daughter,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1146,بیرونی,epidermis; cuticle,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,"adj. Outer, external, &c. = bāharī, q.v",outer; uncommunicative; outsider; wonders; plans,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1162,بنائی,weave; knitting,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,made (feminine),made; every; This; phone; Russian,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1205,جذبات,emotional state; spirit,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,"emotions, feelings",feelings; man; grown; embrace; takes,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1215,غربت,stringency; tightness,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,poverty; living away from home,poverty; union; Like; symbolizes; save,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1218,بدل,second-string; substitute(a),block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,"s.m. Change, alteration; exchange, substitution; return, requital, retaliation; — postp. In exchange (for,…",changed; change; changes; turns; critical,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
