rank,target,english,part_of_speech
1,في,in; at,preposition
2,أن,that; to (subordinator: أَنْ / أَنَّ),particle
3,من,from (مِنْ); who; whom; whoever (مَنْ),"preposition (مِنْ) / interrogative, relative, or conditional pronoun (مَنْ)"
4,على,on; upon; over,preposition
5,لا,no; not,particle
6,إلى,to; toward,preposition
7,هذا,this (masculine singular),demonstrative
8,كان,was; were; be (past form of كان),perfect / past verb
9,إن,if (إِنْ); indeed; certainly (إِنَّ),particle
10,ما,not; what; that which; whatever (conditional),"negative particle / interrogative, relative, or conditional pronoun / subordinating particle (ما المصدرية), depending on use"
11,له,to him; for him; he has,preposition + attached pronoun (لِ + هُ)
12,أنا,I,pronoun
13,عن,about; from; away from,preposition
14,ذلك,that (masculine singular),demonstrative
15,مع,with; together with,noun functioning adverbially (اسم؛ ويكون ظرفًا عند الإضافة)
16,به,with him; by him; with it; by it,preposition + attached pronoun (بِ + هِ)
17,يكون,is; is being; will be (يكون),imperfect / present verb
18,لم,did not (past negation with the jussive),particle
19,أنت,you (singular; masculine or feminine when unvocalized),pronoun
20,هل,yes/no question particle; is/are/do/does/did...?,interrogative particle
21,التي,who; which; that (feminine singular relative pronoun),relative pronoun (اسم موصول)
22,ليس,"is not; are not; was not (ليس, negative copular verb)",negative copular verb
23,لكن,but; however (لَكِنْ / لَكِنَّ),conjunction / particle
24,كل,all; every; each; eat! (كُلّ / كُلْ),noun / imperative verb
25,هذه,this (feminine singular),demonstrative
26,يا,O...!; vocative particle,particle
27,الذي,who; which; that (masculine singular relative pronoun),relative pronoun (اسم موصول)
28,هو,he; it (masculine),pronoun
29,لقد,indeed; certainly; already (لَقَدْ),particle
30,شيء,thing; something,noun
31,ماذا,what?,interrogative particle
32,حسنا,well; okay; fine (حسنًا),discourse adverb / response expression
33,يريد,wants; desires; intends,verb
34,هنا,here,demonstrative of place / adverbial deictic (اسم إشارة للمكان القريب)
35,قال,said; told,perfect / past verb
36,يمكن,can; is possible; may be possible,imperfect / present verb
37,بعد,after; later; afterwards,adverb
38,أي,which; any; whichever,noun used interrogatively / conditionally / relatively (أَيٌّ)
39,يعرف,knows; recognizes; defines/introduces (depending on vocalization),imperfect / present verb
40,هناك,there; over there,demonstrative of place / adverbial deictic (اسم إشارة للمكان البعيد)
41,لدى,with; at; in the possession of,adverb
42,الآن,now,adverb
43,أو,or,conjunction
44,إذا,if; when,adverb
45,نعم,yes; indeed,response particle
46,رئيس,president; head; chief,noun
47,عام,year; general; public (depending on use),noun / adjective
48,هي,she; it (feminine),pronoun
49,يوم,day,noun
50,سيد,Mr.; gentleman; master,noun
51,بين,between; among; clarified/explained (بَيْن / بَيَّن),adverb / perfect / past verb
52,قد,already; indeed; may; might (قَدْ),particle
53,بعض,some; part of,noun
54,فقط,only; just,adverb / restrictive expression
55,لن,will not,particle
56,حتى,until; up to; even; so that,particle / preposition / conjunction
57,أمر,matter; affair; order/command; ordered/commanded,noun / perfect / past verb
58,عمل,work; action; worked; functioned,noun / perfect / past verb
59,يجب,must; should; is necessary,imperfect / present verb
60,أحد,one; someone; anyone,noun
61,وقت,time,noun
62,أجل,term/appointed time; for the sake of/because of (أَجْل); yes/indeed (أَجَلْ),noun / adverbial-causal noun / response particle
63,قبل,before; prior to; earlier,temporal/spatial adverbial noun (ظرف زمان أو مكان)
64,خلال,during; throughout; through,adverb
