rank,level,target,english,attribution
1,A,Sommes-nous prêts ?,Are we ready?,CC-BY 2.0 (France) Attribution: tatoeba.org #2244927 (CK) & #3951162 (serpico)
2,A,Es-tu chez toi ?,Are you home?,CC-BY 2.0 (France) Attribution: tatoeba.org #1126543 (CK) & #1250744 (sacredceltic)
3,A,Es-tu prêt ?,Are you ready?,CC-BY 2.0 (France) Attribution: tatoeba.org #376424 (saeb) & #330331 (hortusdei)
4,A,Vous êtes là ?,Are you there?,CC-BY 2.0 (France) Attribution: tatoeba.org #30970 (CK) & #1991530 (sacredceltic)
5,A,Puis-je venir ?,Can I come?,CC-BY 2.0 (France) Attribution: tatoeba.org #1428567 (CK) & #4678713 (sacredceltic)
6,A,Nous voilà !,Here we are!,CC-BY 2.0 (France) Attribution: tatoeba.org #54174 (CK) & #11619 (sacredceltic)
7,A,Appelle-moi demain.,Call me tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #1493515 (Keder) & #1737988 (sacredceltic)
8,A,Appelle-moi s'il te plaît.,"Call me, please.",CC-BY 2.0 (France) Attribution: tatoeba.org #8794857 (dq) & #7874 (sacredceltic)
9,A,Venez m'aider.,Come help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #1439549 (CM) & #1152087 (Salutlolo)
10,A,"Aide-moi, s'il te plaît.","Help me, please.",CC-BY 2.0 (France) Attribution: tatoeba.org #267179 (CK) & #128433 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
11,A,On y est.,Here we are.,CC-BY 2.0 (France) Attribution: tatoeba.org #35562 (CK) & #13065 (sysko)
12,A,C'est parti !,Here we go.,CC-BY 2.0 (France) Attribution: tatoeba.org #54243 (CK) & #1291346 (sacredceltic)
13,A,Je t'en prie.,You're welcome.,CC-BY 2.0 (France) Attribution: tatoeba.org #2649240 (CK) & #1343877 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
14,A,Je peux venir.,I can come.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245638 (CK) & #4679092 (sacredceltic)
15,A,Je peux attendre.,I can wait.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245647 (CK) & #4679104 (sacredceltic)
16,A,Je pourrais aider.,I could help.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245659 (CK) & #4679124 (sacredceltic)
17,A,Je comprends réellement.,I do understand.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245712 (CK) & #2420637 (sacredceltic)
18,A,Je mange ici.,I eat here.,CC-BY 2.0 (France) Attribution: tatoeba.org #449105 (CK) & #559412 (SUZIE)
19,A,Je me sens prêt.,I feel ready.,CC-BY 2.0 (France) Attribution: tatoeba.org #4498613 (CK) & #5065677 (sacredceltic)
20,A,J'ai du temps.,I have time.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245901 (CK) & #1302575 (sacredceltic)
21,A,Tu me plais.,I like you.,CC-BY 2.0 (France) Attribution: tatoeba.org #410751 (CK) & #885269 (sacredceltic)
22,A,Il me faut du temps.,I need time.,CC-BY 2.0 (France) Attribution: tatoeba.org #2246021 (CK) & #2482626 (sacredceltic)
23,A,J'ai besoin de toi.,I need you.,CC-BY 2.0 (France) Attribution: tatoeba.org #17735 (CK) & #9054 (sacredceltic)
24,A,Je comprends pourquoi.,I understand why.,CC-BY 2.0 (France) Attribution: tatoeba.org #2247435 (CK) & #2426982 (sacredceltic)
25,A,Je te comprends.,I understand you.,CC-BY 2.0 (France) Attribution: tatoeba.org #707386 (papabear) & #501712 (trotter)
26,A,Je veux du temps.,I want time.,CC-BY 2.0 (France) Attribution: tatoeba.org #2247449 (CK) & #2427508 (sacredceltic)
27,A,J'ai envie de toi.,I want you.,CC-BY 2.0 (France) Attribution: tatoeba.org #17707 (CK) & #747142 (Cocorico)
28,A,Je travaille ici.,I work here.,CC-BY 2.0 (France) Attribution: tatoeba.org #730034 (CK) & #3081621 (Aiji)
29,A,"Venez ici, je vous prie.",Please come here.,CC-BY 2.0 (France) Attribution: tatoeba.org #987488 (CK) & #992880 (sacredceltic)
30,A,Pardonne-moi s'il te plaît.,Please forgive me.,CC-BY 2.0 (France) Attribution: tatoeba.org #2249786 (CK) & #12784 (mouche) Editorially corrected after complete row-by-row linguistic audit.
31,A,Je vous prie de m'aider.,Please help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #262424 (CK) & #1994785 (sacredceltic)
32,A,Je te prie de dire oui.,Please say yes.,CC-BY 2.0 (France) Attribution: tatoeba.org #2549630 (CK) & #3646769 (sacredceltic)
33,A,"Dis-moi, s'il te plaît.",Please tell me.,CC-BY 2.0 (France) Attribution: tatoeba.org #2249818 (CK) & #5820510 (Aiji)
34,A,"Attendez ici, s'il vous plaît.",Please wait here.,CC-BY 2.0 (France) Attribution: tatoeba.org #61875 (CK) & #427463 (Archibald)
35,A,Tu y es !,There you are.,CC-BY 2.0 (France) Attribution: tatoeba.org #50990 (CK) & #2221743 (sacredceltic)
