rank,target,english,family
1,مجھے کتاب چاہیے۔,I need the book.,object
2,مجھے کتاب نہیں چاہیے۔,I don't need the book.,object
3,کیا آپ کو کتاب چاہیے؟,Do you need the book?,object
4,ہمیں کتاب چاہیے۔,We need the book.,object
5,کتاب کہاں ہے؟,Where is the book?,object
6,کیا کتاب یہاں ہے؟,Is the book here?,object
7,براہِ کرم کتاب لے آئیے۔,Please bring the book.,object
8,براہِ کرم مجھے کتاب دیجیے۔,Please give me the book.,object
9,میرے پاس کتاب ہے۔,I have the book.,object
10,کیا آپ کے پاس کتاب ہے؟,Do you have the book?,object
