Front,Back
کے,"Rank: 1

Meaning: of; belonging to (genitive, masculine plural/oblique)

Part of speech: particle

Frequency evidence: 743949

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
میں,"Rank: 2

Meaning: I; in; into (depending on context)

Part of speech: postposition / pronoun

Frequency evidence: 582882

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کی,"Rank: 3

Meaning: of; belonging to (genitive, feminine singular)

Part of speech: particle

Frequency evidence: 575545

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ہے,"Rank: 4

Meaning: is; is/exists (third-person singular present of ہونا)

Part of speech: particle / verb

Frequency evidence: 466908

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
اور,"Rank: 5

Meaning: and; more; other; another

Part of speech: conjunction / adverb / adjective-determiner

Frequency evidence: 413788

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
سے,"Rank: 6

Meaning: from; with; by; than

Part of speech: postposition

Frequency evidence: 368155

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کا,"Rank: 7

Meaning: of; belonging to (genitive, masculine singular)

Part of speech: particle

Frequency evidence: 306103

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کو,"Rank: 8

Meaning: to; for; marks dative/accusative objects

Part of speech: postposition

Frequency evidence: 281922

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
نے,"Rank: 9

Meaning: ergative marker

Part of speech: postposition

Frequency evidence: 254385

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
اس,"Rank: 10

Meaning: this/that; him/her/it (oblique singular)

Part of speech: determiner / pronoun

Frequency evidence: 244017

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کہ,"Rank: 11

Meaning: that; saying/having said (depending on construction)

Part of speech: conj / particle / pronoun

Frequency evidence: 237419

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ہیں,"Rank: 12

Meaning: are (plural/honorific present of ہونا)

Part of speech: verb

Frequency evidence: 217948

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
پر,"Rank: 13

Meaning: on; at; upon; but/yet; feather/wing (پَر, context-dependent)

Part of speech: postposition / conjunction / noun

Frequency evidence: 207921

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کر,"Rank: 14

Meaning: do; having done; verb stem/conjunctive form of کرنا

Part of speech: verb

Frequency evidence: 173407

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ہو,"Rank: 15

Meaning: be; become (form of ہونا)

Part of speech: verb

Frequency evidence: 145669

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
بھی,"Rank: 16

Meaning: also; too; even

Part of speech: adv

Frequency evidence: 140157

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ایک,"Rank: 17

Meaning: one; a; an

Part of speech: adj / numeral

Frequency evidence: 129851

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
یہ,"Rank: 18

Meaning: this; these; he/she/it/they (proximal)

Part of speech: determiner / pronoun

Frequency evidence: 128103

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
نہیں,"Rank: 19

Meaning: no; not

Part of speech: adv / particle

Frequency evidence: 115341

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ان,"Rank: 20

Meaning: those; them; these (oblique plural, depending on context)

Part of speech: determiner / prefix / pronoun / suffix

Frequency evidence: 110463

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کیا,"Rank: 21

Meaning: what?; did/done (depending on context)

Part of speech: particle / pronoun / verb

Frequency evidence: 108414

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
تو,"Rank: 22

Meaning: then; so; you (informal)

Part of speech: conj / pronoun

Frequency evidence: 88137

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
وہ,"Rank: 23

Meaning: that; those; he/she/it/they (distal)

Part of speech: determiner / pronoun

Frequency evidence: 83613

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
لئے,"Rank: 24

Meaning: taken; for (in کے لیے)

Part of speech: verb form / compound-postposition component

Frequency evidence: 66765

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
تھا,"Rank: 25

Meaning: was (masculine singular)

Part of speech: verb

Frequency evidence: 61762

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
گیا,"Rank: 26

Meaning: went; gone/left (masculine singular perfect of جانا); Gaya (proper noun, context-dependent)

Part of speech: verb / proper noun

Frequency evidence: 57360

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
جو,"Rank: 27

Meaning: who; which; that (relative pronoun)

Part of speech: relative pronoun

Frequency evidence: 57041

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
و,"Rank: 28

Meaning: and

Part of speech: conjunction

Frequency evidence: 56038

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
گا,"Rank: 29

Meaning: will (masculine singular future marker)

Part of speech: future marker / suffix

Frequency evidence: 49586

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ہی,"Rank: 30

Meaning: only; just; emphatic particle

Part of speech: particle

Frequency evidence: 48594

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
نہ,"Rank: 31

Meaning: not; neither; do not

Part of speech: adv / conj / particle

Frequency evidence: 46989

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
جب,"Rank: 32

Meaning: when

Part of speech: adverb / conjunction

Frequency evidence: 46894

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
اپنے,"Rank: 33

Meaning: one's own; own (masculine plural/oblique form of اپنا)

Part of speech: reflexive possessive determiner / adjective

Frequency evidence: 46829

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
آپ,"Rank: 34

Meaning: you (formal/honorific); oneself

Part of speech: pronoun

Frequency evidence: 46299

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
جس,"Rank: 35

Meaning: whom/which/that (oblique singular relative pronoun)

Part of speech: relative pronoun

Frequency evidence: 45733

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
دیا,"Rank: 36

Meaning: gave; given (masculine singular form of دینا); lamp

Part of speech: noun / verb form

Frequency evidence: 45394

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
تھے,"Rank: 37

Meaning: were (masculine plural/honorific)

Part of speech: verb

Frequency evidence: 43418

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ہوئے,"Rank: 38

Meaning: became; happened; were (plural/honorific form)

Part of speech: verb

Frequency evidence: 42427

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
تک,"Rank: 39

Meaning: until; up to; as far as

Part of speech: postposition / particle

Frequency evidence: 42422

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
بعد,"Rank: 40

Meaning: after; afterwards

Part of speech: noun / postposition / prep

Frequency evidence: 40860

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ساتھ,"Rank: 41

Meaning: with; together; alongside

Part of speech: adv / noun

Frequency evidence: 38807

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
لیکن,"Rank: 42

Meaning: but; however

Part of speech: conj

Frequency evidence: 38482

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
گی,"Rank: 43

Meaning: will (feminine future marker)

Part of speech: suffix

Frequency evidence: 37533

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کوئی,"Rank: 44

Meaning: someone; anyone; some; any

Part of speech: adj / pronoun

Frequency evidence: 36801

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
گے,"Rank: 45

Meaning: will (masculine plural/honorific future marker)

Part of speech: future marker / suffix

Frequency evidence: 36725

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
اپنی,"Rank: 46

Meaning: one's own; own (feminine form of اپنا)

Part of speech: reflexive possessive determiner / adjective

Frequency evidence: 33693

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
وقت,"Rank: 47

Meaning: time; turn; era, duration

Part of speech: noun

Frequency evidence: 33424

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
بہت,"Rank: 48

Meaning: very; much; many; a lot

Part of speech: adverb / quantifier / adjective

Frequency evidence: 33032

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کسی,"Rank: 49

Meaning: oblique of کوئی (koī): anyone, someone; oblique of کوئی (koī): some, a certain, a given

Part of speech: adj / pronoun

Frequency evidence: 32246

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
تھی,"Rank: 50

Meaning: was (feminine singular)

Part of speech: verb

Frequency evidence: 31627

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
یا,"Rank: 51

Meaning: or; O!/oh! (vocative in some contexts)

Part of speech: conj / interjection

Frequency evidence: 31361

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ہم,"Rank: 52

Meaning: we; us

Part of speech: pronoun

Frequency evidence: 30962

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ہوں,"Rank: 53

Meaning: am; be/may be (subjunctive, context-dependent)

Part of speech: verb

Frequency evidence: 30623

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
زیادہ,"Rank: 54

Meaning: more, very many, excessive; more, much, a lot, excessively

Part of speech: adj / adv

Frequency evidence: 29541

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ملک,"Rank: 55

Meaning: country; land; state/realm; property/possession (مِلْک, different vocalization)

Part of speech: noun

Frequency evidence: 29528

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
بات,"Rank: 56

Meaning: talk; conversation; thing; point; matter; saying

Part of speech: noun

Frequency evidence: 29415

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
طرح,"Rank: 57

Meaning: way; manner; method; type; kind

Part of speech: noun

Frequency evidence: 28965

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
اگر,"Rank: 58

Meaning: if; agarwood

Part of speech: conj / noun

Frequency evidence: 28729

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
اب,"Rank: 59

Meaning: now; at present

Part of speech: adverb

Frequency evidence: 28345

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
حکومت,"Rank: 60

Meaning: government; power, reign, rule; jurisdiction; authority

Part of speech: noun

Frequency evidence: 28332

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
دو,"Rank: 61

Meaning: two; give! (informal imperative of دینا)

Part of speech: numeral / imperative verb form

Frequency evidence: 28236

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ہوا,"Rank: 62

Meaning: air; wind; breeze; happened; became; was (masculine singular form of ہونا)

Part of speech: noun / verb form

Frequency evidence: 27535

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
دی,"Rank: 63

Meaning: gave (feminine singular form of دینا)

Part of speech: verb form

Frequency evidence: 27265

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ہوتا,"Rank: 64

Meaning: is/becomes/happens habitually; would be (masculine singular)

Part of speech: verb

Frequency evidence: 26341

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کام,"Rank: 65

Meaning: work; task; job; use

Part of speech: noun

Frequency evidence: 26218

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
حاصل,"Rank: 66

Meaning: result; outcome; obtained; acquired; achieved

Part of speech: noun / adjective / participial form

Frequency evidence: 25881

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
سب,"Rank: 67

Meaning: all; every

Part of speech: adj / determiner / pronoun

Frequency evidence: 24486

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کرنا,"Rank: 68

Meaning: to do; to make; to cause

Part of speech: verb

Frequency evidence: 24242

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
ہر,"Rank: 69

Meaning: each; every

Part of speech: determiner

Frequency evidence: 24102

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
سی,"Rank: 70

Meaning: like; as; -like (feminine resemblance/comparative form)

Part of speech: resemblance/comparative particle

Frequency evidence: 23927

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
طور,"Rank: 71

Meaning: hill, mount; manner, way; state, condition

Part of speech: noun

Frequency evidence: 22284

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
خان,"Rank: 72

Meaning: khan

Part of speech: name / noun

Frequency evidence: 21801

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
پہلے,"Rank: 73

Meaning: before; earlier; previously; first

Part of speech: adverb / adjective

Frequency evidence: 21641

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کچھ,"Rank: 74

Meaning: some; something; a little; any (context-dependent)

Part of speech: quantifier / pronoun / adverb

Frequency evidence: 21568

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
صرف,"Rank: 75

Meaning: only; just; solely; expenditure/spending; morphology (grammar, specialized)

Part of speech: adverb / noun

Frequency evidence: 21425

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
انہیں,"Rank: 76

Meaning: them; to them

Part of speech: pronoun

Frequency evidence: 20853

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
سال,"Rank: 77

Meaning: year

Part of speech: noun

Frequency evidence: 20564

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
وجہ,"Rank: 78

Meaning: reason; cause

Part of speech: noun

Frequency evidence: 20301

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
کم,"Rank: 79

Meaning: few; little (not much); less (in lower degree; to smaller extent)

Part of speech: adj / adv / determiner

Frequency evidence: 20261

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
جنگ,"Rank: 80

Meaning: war; fight; battle

Part of speech: noun

Frequency evidence: 20095

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
اسے,"Rank: 81

Meaning: him; her; it; to him/her/it

Part of speech: pronoun

Frequency evidence: 19942

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
لیے,"Rank: 82

Meaning: for; for the sake of (in کے لیے); taken (form of لینا, context-dependent)

Part of speech: verb form / compound-postposition component

Frequency evidence: 19820

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
صدر,"Rank: 83

Meaning: president; chief, head; host (of an event etc.); Saddar (a neighbourhood of Karachi, Sindh, Pakistan)

Part of speech: name / noun

Frequency evidence: 19575

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
تمام,"Rank: 84

Meaning: all; every

Part of speech: adj

Frequency evidence: 19203

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection and final audit"
